"","awhighPoS_dprime","awlowPoS_dprime","unawhighPoS_dprime","unawlowPoS_dprime"
"AC",1.14874781765718,1.61959385600565,0.271047526841543,-0.00866396569207174
"CL",2.40162203183543,2.09179051351635,0.575515609559039,0.921994316040479
"FW",0.419928784716072,0.607515854940775,-0.396511695604483,0.24532760242119
"HB",3.31889065884806,3.64830396108764,0.657369717487229,0.985805682945838
"KK",2.44174781156867,3.03011510262781,1.26749951070926,0.235683858521567
"LM",2.7268988734837,3.0271283849123,1.96488590917829,1.30585737155524
"MC",1.08858688793576,0.946501910757895,0.638944965679976,0.403923458192446
"MP1",2.60147077825825,1.70109432593788,1.31163396820823,1.04670504581642
"MP2",1.62880214504427,1.53433526106512,0.520310914711552,0.524095077885267
"NN",3.52789568816886,2.15932406639643,1.88010639402159,2.04331487319319
"RP",1.06587171211009,1.02475488534966,0.503388580552824,0.611249861733207
"SD",1.47635133110362,2.35122653834501,0.53495980553543,0.88818701776872
"TJ",2.25076988885632,2.30833996419005,1.07624254479494,1.36680404375002
"TS",0.947779076407713,0.763341907395371,-0.0523125463241008,0.675557151312939
"WT",4.01201507862411,3.57792647486825,1.696603997531,1.48353031905668
