"","awhighPoS_metadprime","awlowPoS_metadprime","unawhighPoS_metadprime","unawlowPoS_metadprime"
"AC",0.710308304303872,1.22642733337064,-0.200817296261508,-0.0494750909149567
"CL",1.03095399216762,1.20026921781598,0.215246067071341,0.611180188017579
"FW",0.297057988797846,0.177283757780652,0.290171988866545,-0.0385644790235627
"HB",1.78608256630187,0.429361404670335,0.534665249647472,0.933352161096708
"KK",0.641787717698731,2.13550402531844,0.641683773719853,0.263960857939607
"LM",1.26501163341546,-0.0949131006037201,1.51617501146544,0.922552491484853
"MC",1.24675225879174,0.404112971730214,-0.219578854563617,0.301827991079212
"MP1",1.53676476067692,0.686805432878272,-0.0469295757623725,0.789204396781197
"MP2",1.37120130036657,1.23052097515796,0.734549483346527,0.508240481527391
"NN",-0.307168191121115,2.02158106930001,0.898900552692292,0.534040157598519
"RP",-0.0609485695938602,0.656885167701668,0.621795878525532,0.177791631895884
"SD",-1.23703483387746,-0.443705918498112,0.527845103964399,0.848569149395436
"TJ",1.25991774187453,0.652884389769649,0.177085157274618,1.19459908266633
"TS",1.08930817716946,0.838596701868125,0.38608106768591,0.591849711126435
"WT",1.76207359938921,0.784383965209585,1.06234917696533,0.0984350048004947
