"","awhighatt_metadprime","awlowatt_metadprime","unawhighatt_metadprime","unawlowatt_metadprime"
"AS",0.472397889331774,1.41899094149499,-0.291122222599426,0.0244164822584209
"BG",2.44796501713355,0.587635697828213,-0.371823609468854,-1.10350046587663
"EU",1.41626035667374,0.255070372350421,0.0341458041092057,-0.092203125405418
"IK",1.44215451823096,1.1623241140832,1.20128079719596,1.13661156193214
"JD",4.62642353357347,2.79139694991846,2.74352081378551,1.58122009025276
"JZ",2.23885713772829,-0.575664084998646,1.76163091053432,1.44296980029707
"KK",4.38252554149614,0.60799036840153,2.28401882843009,2.01177164151929
"KS",1.33081455332974,0.463544825185042,0.710095259652441,0.294677579868483
"OE",1.01484639660838,0.976086591526486,1.41058950295493,1.51619200326512
"OS",2.16372744202043,2.3449532905045,0.437545844706181,0.286732271510639
"PC",1.54597987705423,0.448038129053539,0.618188949839539,0.88785922641564
"RL",0.170274361175645,-0.653577691376718,0.318175189988817,-0.171240427807258
"SO",1.31881800034236,0.363441844525554,0.317865613634743,0.829091084950523
"SP",-0.370843812456246,-0.223249492112785,-0.187655614238044,-0.357369898895903
"WT",1.02757641750179,2.21745204655821,1.04486622914666,0.568063938908108
"YS",1.99462698475253,0.538964681550447,0.564545903745406,0.74126279026586
