"","awhighatt_dprime","awlowatt_dprime","unawhighatt_dprime","unawlowatt_dprime"
"AS",1.86706011262506,2.34968922541417,0.205324944515438,0.549476342231651
"BG",2.74448151356846,4.15751615186187,-0.24562892672096,0.118738009189409
"EU",2.53638365752634,1.84857564108634,0.373370612415918,0.420802579743685
"IK",3.48213629182267,2.31375458546887,1.90028101699011,1.24040658086326
"JD",4.56623644493609,2.89169599900953,1.85282233055244,1.34071540615114
"JZ",2.18014545614161,2.35436199485388,0.97350454563638,1.11499012178133
"KK",4.24703580191333,3.30749853824706,2.34454596830949,1.91192295609224
"KS",2.10291384772456,1.12296838447797,1.06661098217503,0.479082352794448
"OE",3.76018260655888,2.86586933965224,1.87442939957947,1.88562562475555
"OS",1.98980870602618,2.8198043854348,0.208473084536198,0.49302305891122
"PC",1.3733028128709,1.57313472121454,0.499778016605956,0.755683765773844
"RL",0.39227158033116,1.02927595270024,0.108391014036011,0.364469536142159
"SO",1.98228831844577,1.61696656961944,0.716037416723571,0.520182228121469
"SP",1.56348527022128,0.581237605559783,0.276422400382412,0.475253088669532
"WT",3.09336606250562,2.76332702395301,0.728705341298051,0.577375898818732
"YS",2.35621211593369,2.26526603920095,0.885615211238704,0.537017544715875
