,prob,correctness,awareness,confidence,success,sub,window,level
86,0.6666666666666666,incorrect,aware,high confidence,low pos,LM,1,"incorrect, aware, high confidence"
87,0.3333333333333333,incorrect,aware,high confidence,high pos,LM,1,"incorrect, aware, high confidence"
88,0.7378640776699029,correct,unaware,low confidence,low pos,LM,1,"correct, unaware, low confidence"
89,0.2621359223300971,correct,unaware,low confidence,high pos,LM,1,"correct, unaware, low confidence"
90,0.37962962962962965,correct,unaware,high confidence,low pos,LM,1,"correct, unaware, high confidence"
91,0.6203703703703703,correct,unaware,high confidence,high pos,LM,1,"correct, unaware, high confidence"
92,0.5170454545454546,correct,aware,low confidence,low pos,LM,1,"correct, aware, low confidence"
93,0.48295454545454547,correct,aware,low confidence,high pos,LM,1,"correct, aware, low confidence"
94,0.07142857142857142,correct,aware,high confidence,low pos,LM,1,"correct, aware, high confidence"
95,0.9285714285714286,correct,aware,high confidence,high pos,LM,1,"correct, aware, high confidence"
96,0.7064220183486238,incorrect,unaware,low confidence,low pos,MC,1,"incorrect, unaware, low confidence"
97,0.29357798165137616,incorrect,unaware,low confidence,high pos,MC,1,"incorrect, unaware, low confidence"
98,0.5128205128205128,incorrect,unaware,high confidence,low pos,MC,1,"incorrect, unaware, high confidence"
99,0.48717948717948717,incorrect,unaware,high confidence,high pos,MC,1,"incorrect, unaware, high confidence"
100,0.6428571428571429,incorrect,aware,low confidence,low pos,MC,1,"incorrect, aware, low confidence"
101,0.35714285714285715,incorrect,aware,low confidence,high pos,MC,1,"incorrect, aware, low confidence"
102,0.72,incorrect,aware,high confidence,low pos,MC,1,"incorrect, aware, high confidence"
103,0.28,incorrect,aware,high confidence,high pos,MC,1,"incorrect, aware, high confidence"
104,0.691358024691358,correct,unaware,low confidence,low pos,MC,1,"correct, unaware, low confidence"
105,0.30864197530864196,correct,unaware,low confidence,high pos,MC,1,"correct, unaware, low confidence"
106,0.6081081081081081,correct,unaware,high confidence,low pos,MC,1,"correct, unaware, high confidence"
107,0.3918918918918919,correct,unaware,high confidence,high pos,MC,1,"correct, unaware, high confidence"
108,0.6981132075471698,correct,aware,low confidence,low pos,MC,1,"correct, aware, low confidence"
109,0.3018867924528302,correct,aware,low confidence,high pos,MC,1,"correct, aware, low confidence"
110,0.4897959183673469,correct,aware,high confidence,low pos,MC,1,"correct, aware, high confidence"
111,0.5102040816326531,correct,aware,high confidence,high pos,MC,1,"correct, aware, high confidence"
112,0.5769230769230769,incorrect,unaware,low confidence,low pos,MP1,1,"incorrect, unaware, low confidence"
113,0.4230769230769231,incorrect,unaware,low confidence,high pos,MP1,1,"incorrect, unaware, low confidence"
114,0.3188405797101449,incorrect,unaware,high confidence,low pos,MP1,1,"incorrect, unaware, high confidence"
115,0.6811594202898551,incorrect,unaware,high confidence,high pos,MP1,1,"incorrect, unaware, high confidence"
116,0.5,incorrect,aware,low confidence,low pos,MP1,1,"incorrect, aware, low confidence"
117,0.5,incorrect,aware,low confidence,high pos,MP1,1,"incorrect, aware, low confidence"
118,0.08695652173913043,incorrect,aware,high confidence,low pos,MP1,1,"incorrect, aware, high confidence"
119,0.9130434782608695,incorrect,aware,high confidence,high pos,MP1,1,"incorrect, aware, high confidence"
120,0.53125,correct,unaware,low confidence,low pos,MP1,1,"correct, unaware, low confidence"
121,0.46875,correct,unaware,low confidence,high pos,MP1,1,"correct, unaware, low confidence"
122,0.2694610778443114,correct,unaware,high confidence,low pos,MP1,1,"correct, unaware, high confidence"
123,0.7305389221556886,correct,unaware,high confidence,high pos,MP1,1,"correct, unaware, high confidence"
124,0.0,correct,aware,low confidence,low pos,MP1,1,"correct, aware, low confidence"
125,1.0,correct,aware,low confidence,high pos,MP1,1,"correct, aware, low confidence"
126,0.03896103896103896,correct,aware,high confidence,low pos,MP1,1,"correct, aware, high confidence"
