,"correct, aware, high confidence","correct, aware, low confidence","correct, unaware, high confidence","correct, unaware, low confidence","incorrect, aware, high confidence","incorrect, aware, low confidence","incorrect, unaware, high confidence","incorrect, unaware, low confidence"
0,0.38769230769230767,0.56,0.7777777777777778,0.75,0.3333333333333333,0.6111111111111112,0.4,0.7419354838709677
1,0.3316831683168317,0.5576923076923077,0.6052631578947368,0.4444444444444444,,0.35714285714285715,0.6081081081081081,0.6
2,0.29850746268656714,0.44666666666666666,0.4666666666666667,0.5628415300546448,1.0,0.6153846153846154,0.45454545454545453,0.5407407407407407
3,0.4519230769230769,0.5263157894736842,0.48322147651006714,0.6312849162011173,0.0,0.75,0.4375,0.7123287671232876
4,0.5275590551181102,0.6,0.5029585798816568,0.42857142857142855,0.5,0.4,0.5714285714285714,0.4909090909090909
5,0.2857142857142857,0.47692307692307695,0.5925925925925926,0.6593406593406593,0.5,0.3,0.5454545454545454,0.5471698113207547
6,0.23316062176165803,0.8421052631578947,0.4319526627218935,0.5570469798657718,,,0.75,0.6296296296296297
7,0.5966386554621849,0.6111111111111112,0.5774647887323944,0.42424242424242425,0.45454545454545453,0.625,0.44,0.4566929133858268
8,0.4176470588235294,0.5161290322580645,0.5514018691588785,0.4925373134328358,1.0,0.42857142857142855,0.5,0.475
9,0.5102040816326531,0.7,0.5645933014354066,0.6619718309859155,0.6666666666666666,1.0,0.5481481481481482,0.5166666666666667
10,0.46153846153846156,0.5882352941176471,0.41139240506329117,0.4152542372881356,0.625,0.5882352941176471,0.36666666666666664,0.44680851063829785
11,0.5384615384615384,0.5063291139240507,0.2537313432835821,0.2891566265060241,0.52,0.6363636363636364,0.1956521739130435,0.4125
12,0.4925373134328358,0.5384615384615384,0.6370370370370371,0.5844155844155844,0.6923076923076923,0.45454545454545453,0.5873015873015873,0.6363636363636364
13,0.6607142857142857,0.7142857142857143,0.391304347826087,0.4959349593495935,0.5757575757575758,0.7878787878787878,0.6428571428571429,0.4943820224719101
14,0.474025974025974,0.4642857142857143,0.45588235294117646,0.43956043956043955,0.0,0.5,0.45454545454545453,0.5581395348837209
15,0.47619047619047616,0.6029411764705882,0.3333333333333333,0.46206896551724136,0.3,0.6111111111111112,0.2857142857142857,0.4270833333333333
