prob,correctness,awareness,confidence,attention,sub,window
0.48322147651006714,1,0,1,0.0,IK,1
0.5167785234899329,1,0,1,1.0,IK,1
0.5263157894736842,1,1,0,0.0,IK,1
0.47368421052631576,1,1,0,1.0,IK,1
0.4519230769230769,1,1,1,0.0,IK,1
0.5480769230769231,1,1,1,1.0,IK,1
0.4909090909090909,0,0,0,0.0,JD,1
0.509090909090909,0,0,0,1.0,JD,1
0.5714285714285714,0,0,1,0.0,JD,1
0.42857142857142855,0,0,1,1.0,JD,1
0.4,0,1,0,0.0,JD,1
0.6,0,1,0,1.0,JD,1
0.5,0,1,1,0.0,JD,1
0.5,0,1,1,1.0,JD,1
0.42857142857142855,1,0,0,0.0,JD,1
0.5714285714285714,1,0,0,1.0,JD,1
0.5029585798816568,1,0,1,0.0,JD,1
0.4970414201183432,1,0,1,1.0,JD,1
0.6,1,1,0,0.0,JD,1
0.4,1,1,0,1.0,JD,1
0.5275590551181102,1,1,1,0.0,JD,1
0.47244094488188976,1,1,1,1.0,JD,1
0.5471698113207547,0,0,0,0.0,JZ,1
0.4528301886792453,0,0,0,1.0,JZ,1
0.5454545454545454,0,0,1,0.0,JZ,1
0.45454545454545453,0,0,1,1.0,JZ,1
0.3,0,1,0,0.0,JZ,1
0.7,0,1,0,1.0,JZ,1
0.5,0,1,1,0.0,JZ,1
0.5,0,1,1,1.0,JZ,1
0.6593406593406593,1,0,0,0.0,JZ,1
0.34065934065934067,1,0,0,1.0,JZ,1
0.5925925925925926,1,0,1,0.0,JZ,1
0.4074074074074074,1,0,1,1.0,JZ,1
0.47692307692307695,1,1,0,0.0,JZ,1
0.5230769230769231,1,1,0,1.0,JZ,1
0.2857142857142857,1,1,1,0.0,JZ,1
0.7142857142857143,1,1,1,1.0,JZ,1
0.6296296296296297,0,0,0,0.0,KK,1
0.37037037037037035,0,0,0,1.0,KK,1
0.75,0,0,1,0.0,KK,1
0.25,0,0,1,1.0,KK,1
,0,1,0,0.0,KK,1
,0,1,0,1.0,KK,1
,0,1,1,0.0,KK,1
,0,1,1,1.0,KK,1
0.5570469798657718,1,0,0,0.0,KK,1
0.4429530201342282,1,0,0,1.0,KK,1
0.4319526627218935,1,0,1,0.0,KK,1
0.5680473372781065,1,0,1,1.0,KK,1
0.8421052631578947,1,1,0,0.0,KK,1
0.15789473684210525,1,1,0,1.0,KK,1
0.23316062176165803,1,1,1,0.0,KK,1
0.7668393782383419,1,1,1,1.0,KK,1
0.4566929133858268,0,0,0,0.0,KS,1
0.5433070866141733,0,0,0,1.0,KS,1
0.44,0,0,1,0.0,KS,1
0.56,0,0,1,1.0,KS,1
0.625,0,1,0,0.0,KS,1
0.375,0,1,0,1.0,KS,1
0.45454545454545453,0,1,1,0.0,KS,1
0.5454545454545454,0,1,1,1.0,KS,1
0.42424242424242425,1,0,0,0.0,KS,1
0.5757575757575758,1,0,0,1.0,KS,1
0.5774647887323944,1,0,1,0.0,KS,1
0.4225352112676056,1,0,1,1.0,KS,1
0.6111111111111112,1,1,0,0.0,KS,1
0.3888888888888889,1,1,0,1.0,KS,1
0.5966386554621849,1,1,1,0.0,KS,1
0.40336134453781514,1,1,1,1.0,KS,1
0.475,0,0,0,0.0,OE,1
0.525,0,0,0,1.0,OE,1
0.5,0,0,1,0.0,OE,1
0.5,0,0,1,1.0,OE,1
0.42857142857142855,0,1,0,0.0,OE,1
0.5714285714285714,0,1,0,1.0,OE,1
1.0,0,1,1,0.0,OE,1
0.0,0,1,1,1.0,OE,1
0.4925373134328358,1,0,0,0.0,OE,1
0.5074626865671642,1,0,0,1.0,OE,1
0.5514018691588785,1,0,1,0.0,OE,1
0.4485981308411215,1,0,1,1.0,OE,1
0.5161290322580645,1,1,0,0.0,OE,1
0.4838709677419355,1,1,0,1.0,OE,1
0.4176470588235294,1,1,1,0.0,OE,1
0.5823529411764706,1,1,1,1.0,OE,1
0.5166666666666667,0,0,0,0.0,OS,1
0.48333333333333334,0,0,0,1.0,OS,1
0.5481481481481482,0,0,1,0.0,OS,1
0.45185185185185184,0,0,1,1.0,OS,1
1.0,0,1,0,0.0,OS,1
0.0,0,1,0,1.0,OS,1
0.6666666666666666,0,1,1,0.0,OS,1
0.3333333333333333,0,1,1,1.0,OS,1
0.6619718309859155,1,0,0,0.0,OS,1
0.3380281690140845,1,0,0,1.0,OS,1
0.5645933014354066,1,0,1,0.0,OS,1
0.4354066985645933,1,0,1,1.0,OS,1
0.7,1,1,0,0.0,OS,1
0.3,1,1,0,1.0,OS,1
0.5102040816326531,1,1,1,0.0,OS,1
0.4897959183673469,1,1,1,1.0,OS,1
0.44680851063829785,0,0,0,0.0,PC,1
0.5531914893617021,0,0,0,1.0,PC,1
0.36666666666666664,0,0,1,0.0,PC,1
0.6333333333333333,0,0,1,1.0,PC,1
0.5882352941176471,0,1,0,0.0,PC,1
0.4117647058823529,0,1,0,1.0,PC,1
0.625,0,1,1,0.0,PC,1
0.375,0,1,1,1.0,PC,1
0.4152542372881356,1,0,0,0.0,PC,1
0.5847457627118644,1,0,0,1.0,PC,1
0.41139240506329117,1,0,1,0.0,PC,1
0.5886075949367089,1,0,1,1.0,PC,1
0.5882352941176471,1,1,0,0.0,PC,1
0.4117647058823529,1,1,0,1.0,PC,1
0.46153846153846156,1,1,1,0.0,PC,1
0.5384615384615384,1,1,1,1.0,PC,1
0.4125,0,0,0,0.0,RL,1
0.5875,0,0,0,1.0,RL,1
0.1956521739130435,0,0,1,0.0,RL,1
0.8043478260869565,0,0,1,1.0,RL,1
0.6363636363636364,0,1,0,0.0,RL,1
0.36363636363636365,0,1,0,1.0,RL,1
0.52,0,1,1,0.0,RL,1
0.48,0,1,1,1.0,RL,1
0.2891566265060241,1,0,0,0.0,RL,1
0.7108433734939759,1,0,0,1.0,RL,1
0.2537313432835821,1,0,1,0.0,RL,1
0.746268656716418,1,0,1,1.0,RL,1
0.5063291139240507,1,1,0,0.0,RL,1
0.4936708860759494,1,1,0,1.0,RL,1
0.5384615384615384,1,1,1,0.0,RL,1
0.46153846153846156,1,1,1,1.0,RL,1
0.6363636363636364,0,0,0,0.0,SO,1
0.36363636363636365,0,0,0,1.0,SO,1
0.5873015873015873,0,0,1,0.0,SO,1
0.4126984126984127,0,0,1,1.0,SO,1
0.45454545454545453,0,1,0,0.0,SO,1
0.5454545454545454,0,1,0,1.0,SO,1
0.6923076923076923,0,1,1,0.0,SO,1
0.3076923076923077,0,1,1,1.0,SO,1
0.5844155844155844,1,0,0,0.0,SO,1
0.4155844155844156,1,0,0,1.0,SO,1
0.6370370370370371,1,0,1,0.0,SO,1
0.362962962962963,1,0,1,1.0,SO,1
0.5384615384615384,1,1,0,0.0,SO,1
0.46153846153846156,1,1,0,1.0,SO,1
0.4925373134328358,1,1,1,0.0,SO,1
0.5074626865671642,1,1,1,1.0,SO,1
0.4943820224719101,0,0,0,0.0,SP,1
0.5056179775280899,0,0,0,1.0,SP,1
0.6428571428571429,0,0,1,0.0,SP,1
0.35714285714285715,0,0,1,1.0,SP,1
0.7878787878787878,0,1,0,0.0,SP,1
0.21212121212121213,0,1,0,1.0,SP,1
0.5757575757575758,0,1,1,0.0,SP,1
0.42424242424242425,0,1,1,1.0,SP,1
0.4959349593495935,1,0,0,0.0,SP,1
0.5040650406504065,1,0,0,1.0,SP,1
0.391304347826087,1,0,1,0.0,SP,1
0.6086956521739131,1,0,1,1.0,SP,1
0.7142857142857143,1,1,0,0.0,SP,1
0.2857142857142857,1,1,0,1.0,SP,1
0.6607142857142857,1,1,1,0.0,SP,1
0.3392857142857143,1,1,1,1.0,SP,1
0.5581395348837209,0,0,0,0.0,WT,1
0.4418604651162791,0,0,0,1.0,WT,1
0.45454545454545453,0,0,1,0.0,WT,1
0.5454545454545454,0,0,1,1.0,WT,1
0.5,0,1,0,0.0,WT,1
0.5,0,1,0,1.0,WT,1
0.0,0,1,1,0.0,WT,1
1.0,0,1,1,1.0,WT,1
0.43956043956043955,1,0,0,0.0,WT,1
0.5604395604395604,1,0,0,1.0,WT,1
0.45588235294117646,1,0,1,0.0,WT,1
0.5441176470588235,1,0,1,1.0,WT,1
0.4642857142857143,1,1,0,0.0,WT,1
0.5357142857142857,1,1,0,1.0,WT,1
0.474025974025974,1,1,1,0.0,WT,1
0.525974025974026,1,1,1,1.0,WT,1
0.4270833333333333,0,0,0,0.0,YS,1
0.5729166666666666,0,0,0,1.0,YS,1
0.2857142857142857,0,0,1,0.0,YS,1
0.7142857142857143,0,0,1,1.0,YS,1
0.6111111111111112,0,1,0,0.0,YS,1
0.3888888888888889,0,1,0,1.0,YS,1
0.3,0,1,1,0.0,YS,1
0.7,0,1,1,1.0,YS,1
0.46206896551724136,1,0,0,0.0,YS,1
0.5379310344827586,1,0,0,1.0,YS,1
0.3333333333333333,1,0,1,0.0,YS,1
0.6666666666666666,1,0,1,1.0,YS,1
0.6029411764705882,1,1,0,0.0,YS,1
0.39705882352941174,1,1,0,1.0,YS,1
0.47619047619047616,1,1,1,0.0,YS,1
0.5238095238095238,1,1,1,1.0,YS,1
