prob,correctness,awareness,confidence,attention,sub,window
0.7419354838709677,0,0,0,0.0,AS,1
0.25806451612903225,0,0,0,1.0,AS,1
0.4,0,0,1,0.0,AS,1
0.6,0,0,1,1.0,AS,1
0.6111111111111112,0,1,0,0.0,AS,1
0.3888888888888889,0,1,0,1.0,AS,1
0.3333333333333333,0,1,1,0.0,AS,1
0.6666666666666666,0,1,1,1.0,AS,1
0.75,1,0,0,0.0,AS,1
0.25,1,0,0,1.0,AS,1
0.7777777777777778,1,0,1,0.0,AS,1
0.2222222222222222,1,0,1,1.0,AS,1
0.56,1,1,0,0.0,AS,1
0.44,1,1,0,1.0,AS,1
0.38769230769230767,1,1,1,0.0,AS,1
0.6123076923076923,1,1,1,1.0,AS,1
0.6,0,0,0,0.0,BG,1
0.4,0,0,0,1.0,BG,1
0.6081081081081081,0,0,1,0.0,BG,1
0.3918918918918919,0,0,1,1.0,BG,1
0.35714285714285715,0,1,0,0.0,BG,1
0.6428571428571429,0,1,0,1.0,BG,1
,0,1,1,0.0,BG,1
,0,1,1,1.0,BG,1
0.4444444444444444,1,0,0,0.0,BG,1
0.5555555555555556,1,0,0,1.0,BG,1
0.6052631578947368,1,0,1,0.0,BG,1
0.39473684210526316,1,0,1,1.0,BG,1
0.5576923076923077,1,1,0,0.0,BG,1
0.4423076923076923,1,1,0,1.0,BG,1
0.3316831683168317,1,1,1,0.0,BG,1
0.6683168316831684,1,1,1,1.0,BG,1
0.5407407407407407,0,0,0,0.0,EU,1
0.45925925925925926,0,0,0,1.0,EU,1
0.45454545454545453,0,0,1,0.0,EU,1
0.5454545454545454,0,0,1,1.0,EU,1
0.6153846153846154,0,1,0,0.0,EU,1
0.38461538461538464,0,1,0,1.0,EU,1
1.0,0,1,1,0.0,EU,1
0.0,0,1,1,1.0,EU,1
0.5628415300546448,1,0,0,0.0,EU,1
0.4371584699453552,1,0,0,1.0,EU,1
0.4666666666666667,1,0,1,0.0,EU,1
0.5333333333333333,1,0,1,1.0,EU,1
0.44666666666666666,1,1,0,0.0,EU,1
0.5533333333333333,1,1,0,1.0,EU,1
0.29850746268656714,1,1,1,0.0,EU,1
0.7014925373134329,1,1,1,1.0,EU,1
0.7123287671232876,0,0,0,0.0,IK,1
0.2876712328767123,0,0,0,1.0,IK,1
0.4375,0,0,1,0.0,IK,1
0.5625,0,0,1,1.0,IK,1
0.75,0,1,0,0.0,IK,1
0.25,0,1,0,1.0,IK,1
0.0,0,1,1,0.0,IK,1
1.0,0,1,1,1.0,IK,1
0.6312849162011173,1,0,0,0.0,IK,1
0.3687150837988827,1,0,0,1.0,IK,1
