,"correct, aware, high confidence","correct, aware, low confidence","correct, unaware, high confidence","correct, unaware, low confidence","incorrect, aware, high confidence","incorrect, aware, low confidence","incorrect, unaware, high confidence","incorrect, unaware, low confidence"
0,0.3202247191011236,0.5612903225806452,0.5263157894736842,0.6779661016949152,0.4117647058823529,0.6133333333333333,0.6470588235294118,0.5686274509803921
1,0.4108527131782946,0.8080808080808081,0.8,0.9785714285714285,0.375,0.8478260869565217,0.8888888888888888,0.9647058823529412
2,0.6521739130434783,0.7631578947368421,0.6046511627906976,0.6,0.5789473684210527,0.6585365853658537,0.4418604651162791,0.5959595959595959
3,0.27510917030567683,0.31746031746031744,0.30952380952380953,0.44,0.2857142857142857,0.3333333333333333,0.17857142857142858,0.4852941176470588
4,0.3125,0.7692307692307693,0.7037037037037037,0.8947368421052632,0.6666666666666666,1.0,0.7,0.9206349206349206
5,0.07142857142857142,0.5170454545454546,0.37962962962962965,0.7378640776699029,0.6666666666666666,0.4,0.5833333333333334,0.7777777777777778
6,0.4897959183673469,0.6981132075471698,0.6081081081081081,0.691358024691358,0.72,0.6428571428571429,0.5128205128205128,0.7064220183486238
7,0.03896103896103896,0.0,0.2694610778443114,0.53125,0.08695652173913043,0.5,0.3188405797101449,0.5769230769230769
8,0.24,0.5694444444444444,0.7457627118644068,0.9363057324840764,0.3333333333333333,0.3333333333333333,0.9523809523809523,0.9274193548387096
9,0.20535714285714285,0.5590062111801242,0.7,0.85,0.0,0.5714285714285714,0.4,0.8620689655172413
10,0.09523809523809523,0.47368421052631576,0.36054421768707484,0.8391608391608392,0.2857142857142857,0.7777777777777778,0.5128205128205128,0.8055555555555556
11,0.25,0.3821138211382114,0.30327868852459017,0.3728813559322034,0.15789473684210525,0.3333333333333333,0.07272727272727272,0.40229885057471265
12,0.16071428571428573,0.5081967213114754,0.34177215189873417,0.646551724137931,0.3333333333333333,0.5,0.35294117647058826,0.603448275862069
13,0.24242424242424243,0.6,0.40540540540540543,0.6776859504132231,0.328125,0.5277777777777778,0.5,0.5882352941176471
14,0.16326530612244897,0.25961538461538464,0.28448275862068967,0.4906832298136646,,0.2857142857142857,0.4,0.4418604651162791
