prob,correctness,awareness,confidence,success,sub,window
0.7378640776699029,1,0,0,0.0,LM,1
0.2621359223300971,1,0,0,1.0,LM,1
0.37962962962962965,1,0,1,0.0,LM,1
0.6203703703703703,1,0,1,1.0,LM,1
0.5170454545454546,1,1,0,0.0,LM,1
0.48295454545454547,1,1,0,1.0,LM,1
0.07142857142857142,1,1,1,0.0,LM,1
0.9285714285714286,1,1,1,1.0,LM,1
0.7064220183486238,0,0,0,0.0,MC,1
0.29357798165137616,0,0,0,1.0,MC,1
0.5128205128205128,0,0,1,0.0,MC,1
0.48717948717948717,0,0,1,1.0,MC,1
0.6428571428571429,0,1,0,0.0,MC,1
0.35714285714285715,0,1,0,1.0,MC,1
0.72,0,1,1,0.0,MC,1
0.28,0,1,1,1.0,MC,1
0.691358024691358,1,0,0,0.0,MC,1
0.30864197530864196,1,0,0,1.0,MC,1
0.6081081081081081,1,0,1,0.0,MC,1
0.3918918918918919,1,0,1,1.0,MC,1
0.6981132075471698,1,1,0,0.0,MC,1
0.3018867924528302,1,1,0,1.0,MC,1
0.4897959183673469,1,1,1,0.0,MC,1
0.5102040816326531,1,1,1,1.0,MC,1
0.5769230769230769,0,0,0,0.0,MP1,1
0.4230769230769231,0,0,0,1.0,MP1,1
0.3188405797101449,0,0,1,0.0,MP1,1
0.6811594202898551,0,0,1,1.0,MP1,1
0.5,0,1,0,0.0,MP1,1
0.5,0,1,0,1.0,MP1,1
0.08695652173913043,0,1,1,0.0,MP1,1
0.9130434782608695,0,1,1,1.0,MP1,1
0.53125,1,0,0,0.0,MP1,1
0.46875,1,0,0,1.0,MP1,1
0.2694610778443114,1,0,1,0.0,MP1,1
0.7305389221556886,1,0,1,1.0,MP1,1
0.0,1,1,0,0.0,MP1,1
1.0,1,1,0,1.0,MP1,1
0.03896103896103896,1,1,1,0.0,MP1,1
0.961038961038961,1,1,1,1.0,MP1,1
0.9274193548387096,0,0,0,0.0,MP2,1
0.07258064516129033,0,0,0,1.0,MP2,1
0.9523809523809523,0,0,1,0.0,MP2,1
0.047619047619047616,0,0,1,1.0,MP2,1
0.3333333333333333,0,1,0,0.0,MP2,1
0.6666666666666666,0,1,0,1.0,MP2,1
0.3333333333333333,0,1,1,0.0,MP2,1
0.6666666666666666,0,1,1,1.0,MP2,1
0.9363057324840764,1,0,0,0.0,MP2,1
0.06369426751592357,1,0,0,1.0,MP2,1
0.7457627118644068,1,0,1,0.0,MP2,1
0.2542372881355932,1,0,1,1.0,MP2,1
0.5694444444444444,1,1,0,0.0,MP2,1
0.4305555555555556,1,1,0,1.0,MP2,1
0.24,1,1,1,0.0,MP2,1
0.76,1,1,1,1.0,MP2,1
0.8620689655172413,0,0,0,0.0,NN,1
0.13793103448275862,0,0,0,1.0,NN,1
0.4,0,0,1,0.0,NN,1
0.6,0,0,1,1.0,NN,1
0.5714285714285714,0,1,0,0.0,NN,1
0.42857142857142855,0,1,0,1.0,NN,1
0.0,0,1,1,0.0,NN,1
1.0,0,1,1,1.0,NN,1
0.85,1,0,0,0.0,NN,1
0.15,1,0,0,1.0,NN,1
0.7,1,0,1,0.0,NN,1
0.3,1,0,1,1.0,NN,1
0.5590062111801242,1,1,0,0.0,NN,1
0.4409937888198758,1,1,0,1.0,NN,1
0.20535714285714285,1,1,1,0.0,NN,1
0.7946428571428571,1,1,1,1.0,NN,1
0.8055555555555556,0,0,0,0.0,RP,1
0.19444444444444445,0,0,0,1.0,RP,1
0.5128205128205128,0,0,1,0.0,RP,1
0.48717948717948717,0,0,1,1.0,RP,1
0.7777777777777778,0,1,0,0.0,RP,1
0.2222222222222222,0,1,0,1.0,RP,1
0.2857142857142857,0,1,1,0.0,RP,1
0.7142857142857143,0,1,1,1.0,RP,1
0.8391608391608392,1,0,0,0.0,RP,1
0.16083916083916083,1,0,0,1.0,RP,1
0.36054421768707484,1,0,1,0.0,RP,1
0.6394557823129252,1,0,1,1.0,RP,1
0.47368421052631576,1,1,0,0.0,RP,1
0.5263157894736842,1,1,0,1.0,RP,1
0.09523809523809523,1,1,1,0.0,RP,1
0.9047619047619048,1,1,1,1.0,RP,1
0.40229885057471265,0,0,0,0.0,SD,1
0.5977011494252874,0,0,0,1.0,SD,1
0.07272727272727272,0,0,1,0.0,SD,1
0.9272727272727272,0,0,1,1.0,SD,1
0.3333333333333333,0,1,0,0.0,SD,1
0.6666666666666666,0,1,0,1.0,SD,1
0.15789473684210525,0,1,1,0.0,SD,1
0.8421052631578947,0,1,1,1.0,SD,1
0.3728813559322034,1,0,0,0.0,SD,1
0.6271186440677966,1,0,0,1.0,SD,1
0.30327868852459017,1,0,1,0.0,SD,1
0.6967213114754098,1,0,1,1.0,SD,1
0.3821138211382114,1,1,0,0.0,SD,1
0.6178861788617886,1,1,0,1.0,SD,1
0.25,1,1,1,0.0,SD,1
0.75,1,1,1,1.0,SD,1
0.603448275862069,0,0,0,0.0,TJ,1
0.39655172413793105,0,0,0,1.0,TJ,1
0.35294117647058826,0,0,1,0.0,TJ,1
0.6470588235294118,0,0,1,1.0,TJ,1
0.5,0,1,0,0.0,TJ,1
0.5,0,1,0,1.0,TJ,1
0.3333333333333333,0,1,1,0.0,TJ,1
0.6666666666666666,0,1,1,1.0,TJ,1
0.646551724137931,1,0,0,0.0,TJ,1
0.35344827586206895,1,0,0,1.0,TJ,1
0.34177215189873417,1,0,1,0.0,TJ,1
0.6582278481012658,1,0,1,1.0,TJ,1
0.5081967213114754,1,1,0,0.0,TJ,1
0.4918032786885246,1,1,0,1.0,TJ,1
0.16071428571428573,1,1,1,0.0,TJ,1
0.8392857142857143,1,1,1,1.0,TJ,1
0.5882352941176471,0,0,0,0.0,TS,1
0.4117647058823529,0,0,0,1.0,TS,1
0.5,0,0,1,0.0,TS,1
0.5,0,0,1,1.0,TS,1
0.5277777777777778,0,1,0,0.0,TS,1
0.4722222222222222,0,1,0,1.0,TS,1
0.328125,0,1,1,0.0,TS,1
0.671875,0,1,1,1.0,TS,1
0.6776859504132231,1,0,0,0.0,TS,1
0.32231404958677684,1,0,0,1.0,TS,1
0.40540540540540543,1,0,1,0.0,TS,1
0.5945945945945946,1,0,1,1.0,TS,1
0.6,1,1,0,0.0,TS,1
0.4,1,1,0,1.0,TS,1
0.24242424242424243,1,1,1,0.0,TS,1
0.7575757575757576,1,1,1,1.0,TS,1
0.4418604651162791,0,0,0,0.0,WT,1
0.5581395348837209,0,0,0,1.0,WT,1
0.4,0,0,1,0.0,WT,1
0.6,0,0,1,1.0,WT,1
0.2857142857142857,0,1,0,0.0,WT,1
0.7142857142857143,0,1,0,1.0,WT,1
,0,1,1,0.0,WT,1
,0,1,1,1.0,WT,1
0.4906832298136646,1,0,0,0.0,WT,1
0.5093167701863354,1,0,0,1.0,WT,1
0.28448275862068967,1,0,1,0.0,WT,1
0.7155172413793104,1,0,1,1.0,WT,1
0.25961538461538464,1,1,0,0.0,WT,1
0.7403846153846154,1,1,0,1.0,WT,1
0.16326530612244897,1,1,1,0.0,WT,1
0.8367346938775511,1,1,1,1.0,WT,1
