prob,correctness,awareness,confidence,success,sub,window
0.5686274509803921,0,0,0,0.0,AC,1
0.43137254901960786,0,0,0,1.0,AC,1
0.6470588235294118,0,0,1,0.0,AC,1
0.35294117647058826,0,0,1,1.0,AC,1
0.6133333333333333,0,1,0,0.0,AC,1
0.38666666666666666,0,1,0,1.0,AC,1
0.4117647058823529,0,1,1,0.0,AC,1
0.5882352941176471,0,1,1,1.0,AC,1
0.6779661016949152,1,0,0,0.0,AC,1
0.3220338983050847,1,0,0,1.0,AC,1
0.5263157894736842,1,0,1,0.0,AC,1
0.47368421052631576,1,0,1,1.0,AC,1
0.5612903225806452,1,1,0,0.0,AC,1
0.43870967741935485,1,1,0,1.0,AC,1
0.3202247191011236,1,1,1,0.0,AC,1
0.6797752808988764,1,1,1,1.0,AC,1
0.9647058823529412,0,0,0,0.0,CL,1
0.03529411764705882,0,0,0,1.0,CL,1
0.8888888888888888,0,0,1,0.0,CL,1
0.1111111111111111,0,0,1,1.0,CL,1
0.8478260869565217,0,1,0,0.0,CL,1
0.15217391304347827,0,1,0,1.0,CL,1
0.375,0,1,1,0.0,CL,1
0.625,0,1,1,1.0,CL,1
0.9785714285714285,1,0,0,0.0,CL,1
0.02142857142857143,1,0,0,1.0,CL,1
0.8,1,0,1,0.0,CL,1
0.2,1,0,1,1.0,CL,1
0.8080808080808081,1,1,0,0.0,CL,1
0.1919191919191919,1,1,0,1.0,CL,1
0.4108527131782946,1,1,1,0.0,CL,1
0.5891472868217055,1,1,1,1.0,CL,1
0.5959595959595959,0,0,0,0.0,FW,1
0.40404040404040403,0,0,0,1.0,FW,1
0.4418604651162791,0,0,1,0.0,FW,1
0.5581395348837209,0,0,1,1.0,FW,1
0.6585365853658537,0,1,0,0.0,FW,1
0.34146341463414637,0,1,0,1.0,FW,1
0.5789473684210527,0,1,1,0.0,FW,1
0.42105263157894735,0,1,1,1.0,FW,1
0.6,1,0,0,0.0,FW,1
0.4,1,0,0,1.0,FW,1
0.6046511627906976,1,0,1,0.0,FW,1
0.3953488372093023,1,0,1,1.0,FW,1
0.7631578947368421,1,1,0,0.0,FW,1
0.23684210526315788,1,1,0,1.0,FW,1
0.6521739130434783,1,1,1,0.0,FW,1
0.34782608695652173,1,1,1,1.0,FW,1
0.4852941176470588,0,0,0,0.0,HB,1
0.5147058823529411,0,0,0,1.0,HB,1
0.17857142857142858,0,0,1,0.0,HB,1
0.8214285714285714,0,0,1,1.0,HB,1
0.3333333333333333,0,1,0,0.0,HB,1
0.6666666666666666,0,1,0,1.0,HB,1
0.2857142857142857,0,1,1,0.0,HB,1
0.7142857142857143,0,1,1,1.0,HB,1
0.44,1,0,0,0.0,HB,1
0.56,1,0,0,1.0,HB,1
0.30952380952380953,1,0,1,0.0,HB,1
0.6904761904761905,1,0,1,1.0,HB,1
0.31746031746031744,1,1,0,0.0,HB,1
0.6825396825396826,1,1,0,1.0,HB,1
0.27510917030567683,1,1,1,0.0,HB,1
0.7248908296943232,1,1,1,1.0,HB,1
0.9206349206349206,0,0,0,0.0,KK,1
0.07936507936507936,0,0,0,1.0,KK,1
0.7,0,0,1,0.0,KK,1
0.3,0,0,1,1.0,KK,1
1.0,0,1,0,0.0,KK,1
0.0,0,1,0,1.0,KK,1
0.6666666666666666,0,1,1,0.0,KK,1
0.3333333333333333,0,1,1,1.0,KK,1
0.8947368421052632,1,0,0,0.0,KK,1
0.10526315789473684,1,0,0,1.0,KK,1
0.7037037037037037,1,0,1,0.0,KK,1
0.2962962962962963,1,0,1,1.0,KK,1
0.7692307692307693,1,1,0,0.0,KK,1
0.23076923076923078,1,1,0,1.0,KK,1
0.3125,1,1,1,0.0,KK,1
0.6875,1,1,1,1.0,KK,1
0.7777777777777778,0,0,0,0.0,LM,1
0.2222222222222222,0,0,0,1.0,LM,1
0.5833333333333334,0,0,1,0.0,LM,1
0.4166666666666667,0,0,1,1.0,LM,1
0.4,0,1,0,0.0,LM,1
0.6,0,1,0,1.0,LM,1
0.6666666666666666,0,1,1,0.0,LM,1
0.3333333333333333,0,1,1,1.0,LM,1
