RT_awareness,RT_confidence,RT_correct,model,score,sub,window,permutation
0.06285368277021769,-0.09877003343671067,0.08281085635641158,LogisticRegression,0.5270794321957112,FW,0,0
0.21733822665740088,0.4269726738002998,0.3556890995422993,DecisionTreeClassifier,0.513622772576261,FW,0,0
0.06330878268457839,0.02931762649975332,-0.069755504674054,LogisticRegression,0.49740465116279076,FW,1,0
0.19893967687910802,0.08979766346354388,0.7112626596573479,DecisionTreeClassifier,0.5470403100775193,FW,1,0
-0.04382569373335575,-0.08133763402403754,-0.03470411110129324,LogisticRegression,0.5312129987129988,FW,2,0
0.5858258691959868,0.21224325031889582,0.2019308804851173,DecisionTreeClassifier,0.5129198841698842,FW,2,0
-0.15159861696198543,-0.01753120261123309,0.005249080413584133,LogisticRegression,0.5107046070460705,FW,3,0
0.5086002479331517,0.20733886744988683,0.28406088461696155,DecisionTreeClassifier,0.4932249322493225,FW,3,0
-0.02340377754233117,0.0481638558133122,0.008511483909806267,LogisticRegression,0.5134084507042254,FW,4,0
0.3372782500768184,0.29966421094411744,0.3630575389790643,DecisionTreeClassifier,0.5232887323943661,FW,4,0
0.13249759614484288,0.09430911350847734,-0.12194084854628179,LogisticRegression,0.5529022668153103,FW,5,0
0.4002841430884107,0.17930453827705012,0.42041131863453907,DecisionTreeClassifier,0.5093534002229654,FW,5,0
-0.04167885967156117,0.01982612980477839,0.02477318251937415,LogisticRegression,0.47898993808049534,FW,6,0
0.27995375188900923,0.48749504240322844,0.2325512057077626,DecisionTreeClassifier,0.49549148606811144,FW,6,0
0.007804163315048189,0.13450741040576325,-0.021669556043702628,LogisticRegression,0.5150279106858054,FW,7,0
0.13068401935026938,0.39678782055604395,0.4725281600936869,DecisionTreeClassifier,0.49341108452950555,FW,7,0
0.050306903357598146,-0.014531148434392174,-0.10988576712474213,LogisticRegression,0.5313260135135136,FW,8,0
0.29574023608169386,0.19245539638476292,0.5118043675335431,DecisionTreeClassifier,0.5184881756756757,FW,8,0
0.03497198417396738,-0.056632693659921546,-0.01400447245816695,LogisticRegression,0.5004012345679012,FW,9,0
0.5054804659100175,0.10630677133817573,0.3882127627518068,DecisionTreeClassifier,0.5312522045855379,FW,9,0
-0.13834262878091189,-0.052461945278755445,0.040927126201581274,LogisticRegression,0.5152703984819734,FW,10,0
0.43276591532886255,0.208029573936066,0.3592045107350716,DecisionTreeClassifier,0.4908230550284629,FW,10,0
-0.12629475159656078,-0.049325709256660265,-0.007365181818562979,LogisticRegression,0.5075294472968892,FW,0,1
0.40275860571975103,0.28422328288288606,0.31301811139736296,DecisionTreeClassifier,0.5312201751736635,FW,0,1
0.05382521598694631,-0.004620052661296351,0.007142046785544479,LogisticRegression,0.4959224806201551,FW,1,1
0.35258454383514054,0.2804054365002363,0.3670100196646232,DecisionTreeClassifier,0.5153023255813954,FW,1,1
0.08586309303329477,-0.08920879870042113,0.0833359010418596,LogisticRegression,0.5342760617760617,FW,2,1
0.4325564945216693,0.33731652395784295,0.23012698152048794,DecisionTreeClassifier,0.4901946589446588,FW,2,1
0.041181186652033984,0.025819661462275403,-0.02698328955912912,LogisticRegression,0.48069105691056907,FW,3,1
0.3312261971669949,0.45302729592796387,0.21574650690504144,DecisionTreeClassifier,0.47476626016260154,FW,3,1
0.034644922223783736,0.051766117345983735,-0.011661326407104227,LogisticRegression,0.4808028169014084,FW,4,1
0.253891604700711,0.45472158088953146,0.2913868144097576,DecisionTreeClassifier,0.47991197183098594,FW,4,1
-0.03285109006100841,-0.00771884924194698,-0.014749114650965645,LogisticRegression,0.46411371237458204,FW,5,1
0.28529586352505626,0.42646350470487787,0.2882406317700658,DecisionTreeClassifier,0.4924358974358975,FW,5,1
0.06222858710314087,-0.019546553082853874,-0.12371570194032466,LogisticRegression,0.5064202786377711,FW,6,1
0.28542564991362335,0.20217020539737898,0.5124041446889978,DecisionTreeClassifier,0.48587461300309603,FW,6,1
-0.03904456396457383,-0.006590404100606746,-0.0999126538114392,LogisticRegression,0.5274521531100479,FW,7,1
0.24000093144808265,0.37862342071918387,0.3813756478327333,DecisionTreeClassifier,0.4862280701754386,FW,7,1
0.030055046104350315,0.09073731310548575,-0.0711507854135571,LogisticRegression,0.511710304054054,FW,8,1
0.35930255937832706,0.2797984437039849,0.3608989969176879,DecisionTreeClassifier,0.48868454391891886,FW,8,1
-0.16212474945839012,0.10173254636579583,0.01714597014862936,LogisticRegression,0.5648897707231041,FW,9,1
0.5447200153072724,0.19537286457762218,0.2599071201151051,DecisionTreeClassifier,0.5253968253968254,FW,9,1
-0.02914789605767305,0.04829510249439086,-0.08507446352690913,LogisticRegression,0.49973908918406074,FW,10,1
0.2839720860051181,0.32764402131412723,0.3883838926807548,DecisionTreeClassifier,0.515030834914611,FW,10,1
-0.005610429368351667,-0.011048230845951057,0.06886982799870733,LogisticRegression,0.4702778616732104,FW,0,2
0.7194947316254491,0.031026067425351866,0.24947920094919923,DecisionTreeClassifier,0.5387601932950771,FW,0,2
-0.14745955399641997,0.08821201902071897,-0.01770022396752128,LogisticRegression,0.5594914728682171,FW,1,2
0.4139354933080071,0.32541990877250476,0.2606445979194882,DecisionTreeClassifier,0.5131705426356589,FW,1,2
0.025181634218539778,-0.010535272064499678,-0.002842880490221493,LogisticRegression,0.4574710424710424,FW,2,2
0.15363427435063737,0.550815837089086,0.295549888560277,DecisionTreeClassifier,0.4902171814671815,FW,2,2
0.11293476686290932,-0.014317383166540552,0.031106633666495815,LogisticRegression,0.49079268292682926,FW,3,2
