RT_awareness,RT_confidence,RT_correct,awareness,confidence,correct,model,score,sub,window,permutation
0.07492463369214702,0.028122798696481238,0.07273499476873527,0.009212401506806345,0.47482018908408397,0.732515605952131,LogisticRegression,0.5455666666666668,NN,0,0
0.37554876400505965,0.13805839001341863,0.270304378057291,0.004999976597207757,0.11328716766930552,0.09780132365771711,DecisionTreeClassifier,0.5129430555555555,NN,0,0
-0.01636340699583939,0.028501795712249665,-0.026583537828071026,-0.053034843767464215,0.011505571280553612,0.005422497234476666,LogisticRegression,0.48293103448275865,NN,1,0
0.12087847255087829,0.5590674655003713,0.3126356014925488,0.005933880964108875,0.0014845794920929165,0.0,DecisionTreeClassifier,0.5093505747126438,NN,1,0
0.02963391718644694,0.049707360956388315,0.003792084400486782,0.041105371857371634,-0.026906492647825853,-0.020033055653389233,LogisticRegression,0.496366339577758,NN,2,0
0.27572570975069755,0.3619519071162695,0.32332847545342935,0.03587732496127936,0.0031165827183239625,0.0,DecisionTreeClassifier,0.4950267618198037,NN,2,0
-0.0022910658368793546,-0.022579857633195043,-0.028283553792858768,-0.0007194501251850316,0.005810089294766542,-0.0027035838189385093,LogisticRegression,0.5643103448275862,NN,3,0
0.19629731191693048,0.3916751284143936,0.39838801463174434,0.0,0.0051006300664909986,0.008538914970440464,DecisionTreeClassifier,0.5108244514106582,NN,3,0
0.008256801037021361,0.08199764668548058,-0.033077155930241894,0.016193696531123226,0.07182925681683018,0.03662193571938188,LogisticRegression,0.5404158544509423,NN,4,0
0.3301618250968402,0.23573517329288687,0.4282311312677964,0.004988251873248884,0.0008836184692278204,0.0,DecisionTreeClassifier,0.5058593242365172,NN,4,0
0.008984543382128453,0.0591983494084573,-0.0412064052690879,0.08568291349387482,-0.029709706346798606,-0.03474737486941378,LogisticRegression,0.4819485420240137,NN,5,0
0.10291871068742571,0.3448856348569405,0.5422250179584103,0.0046668899414962365,0.0010711662745146668,0.004232580281212305,DecisionTreeClassifier,0.4908799313893654,NN,5,0
-0.06127313392685072,-0.05221320363624961,0.010570073711041522,-0.0624626273243009,-0.025807793372721908,0.013229452773229265,LogisticRegression,0.49631766381766385,NN,6,0
0.281071963409172,0.534045917961588,0.1813879235091382,0.0034941951201020354,0.0,0.0,DecisionTreeClassifier,0.49404914529914534,NN,6,0
0.018388070617890002,-0.03779892229771851,0.005087066329529344,0.0046224271181410995,-0.04860705857961777,-0.061111235253613845,LogisticRegression,0.5052666666666668,NN,7,0
0.31990439702775597,0.46905724113500036,0.19408696795564467,0.0038063383954566347,0.010119703189217809,0.003025352296924429,DecisionTreeClassifier,0.4985018518518519,NN,7,0
-0.04505594078930596,-0.017886896570537766,-0.03303351754140767,0.004064252932583405,-0.027255739090259662,0.011227628641643521,LogisticRegression,0.5636577708006278,NN,8,0
0.25799679121616653,0.4045811161522937,0.32919110517781874,0.0009966602207896447,0.007234327232931399,0.0,DecisionTreeClassifier,0.4996585557299843,NN,8,0
0.023692062634586765,0.15865639338435567,0.07788943671756714,0.0629431639178727,0.36355059057811745,0.16981922110493677,LogisticRegression,0.542250816993464,NN,9,0
0.17663099628241025,0.4817524122590877,0.2260696913500631,0.0025630417860108457,0.10573906170849635,0.007244796613931697,DecisionTreeClassifier,0.4993035130718954,NN,9,0
-0.00026598396108519707,-0.04427881407798829,0.09360601784139698,0.01594309789020734,0.0030839747905370405,0.26055883467647417,LogisticRegression,0.4773478260869566,NN,10,0
0.4489671466451344,0.318641759613722,0.20788008364259747,0.014655191556006792,0.0039532212794561325,0.005902597263083191,DecisionTreeClassifier,0.503704347826087,NN,10,0
-0.1426522800911298,0.0010740960164620707,0.05015686470813236,-0.07814624493179126,-0.14658357722644194,0.08170955935342718,LogisticRegression,0.5098666666666667,NN,0,1
0.3184734393495283,0.35719693207920344,0.28253104432345805,0.0047044601837824,0.019871988361666034,0.017222135702361703,DecisionTreeClassifier,0.5111347222222222,NN,0,1
-0.0378807772405497,0.026984818210265982,-0.060685111738228006,-0.07398918415377839,-0.13430532521598565,-0.08227221993142385,LogisticRegression,0.4731408045977011,NN,1,1
0.30715164135978934,0.49095017213953906,0.16444097171479452,0.029423392891094698,0.008033821894782104,0.0,DecisionTreeClassifier,0.4709137931034483,NN,1,1
-0.048829812570171126,-0.03135017835688117,-0.095990300145696,-0.2554844636910419,-0.21012789088716896,0.17945656216471806,LogisticRegression,0.514442462087422,NN,2,1
0.2453316287305613,0.35262597644956883,0.36551399586611316,0.017236838541000273,0.019291560412756495,0.0,DecisionTreeClassifier,0.4836633957775794,NN,2,1
0.011947196929831554,-0.01612745115607591,0.03486973519751232,0.019294385333969724,0.03097138843079475,0.06371681927440898,LogisticRegression,0.4391724137931034,NN,3,1
0.6247518350097754,0.14694319793520552,0.18681501912267137,0.041489947932347594,0.0,0.0,DecisionTreeClassifier,0.5061316614420063,NN,3,1
0.009952418689598183,0.060886642712067465,0.005986197929177448,-0.054523797230518596,0.00822927015100552,0.028796514613804135,LogisticRegression,0.5255295646523718,NN,4,1
0.22827788632607843,0.45392404637621775,0.27154850423778115,0.003080446878666491,0.03397233989143691,0.0091967762898195,DecisionTreeClassifier,0.4931400259909032,NN,4,1
-0.028933013314402695,-0.0076756081931452745,0.03802300996295805,0.0041207585271482135,0.03851806358641533,0.0034262141984797508,LogisticRegression,0.4421097770154374,NN,5,1
0.2887315990159667,0.3305571556669151,0.36725134445037033,0.008332055737137934,0.002966265480920144,0.0021615796486897675,DecisionTreeClassifier,0.4835471698113208,NN,5,1
