awareness,confidence,correct,model,score,sub,window,permutation
0.1825110710241441,0.0966237671707624,-0.17104218579731875,LogisticRegression,0.4722833333333334,BG,0,0
0.37425278271376244,0.27351219778532165,0.3522350195009157,DecisionTreeClassifier,0.4835708333333333,BG,0,0
-0.15054987346447218,-0.07988109127772254,0.07960715619082354,LogisticRegression,0.46773367845844127,BG,1,0
0.3217189879408803,0.28460517241287947,0.39367583964624037,DecisionTreeClassifier,0.4905104975553638,BG,1,0
0.08127498317800665,-0.014546856299112294,-0.10599558132753367,LogisticRegression,0.4590402384500745,BG,2,0
0.3445127727285805,0.3572815131632642,0.29820571410815533,DecisionTreeClassifier,0.4605901639344262,BG,2,0
0.020443926449898384,0.057377552334560704,0.047085302323800905,LogisticRegression,0.45622798742138365,BG,3,0
0.5091883575711951,0.33964779628685365,0.15116384614195116,DecisionTreeClassifier,0.46750157232704403,BG,3,0
0.10775057239674625,-0.030217362337144303,-0.08486944004523224,LogisticRegression,0.5080833333333333,BG,4,0
0.35841860793393776,0.18769699915347096,0.4538843929125911,DecisionTreeClassifier,0.4851437908496731,BG,4,0
0.2212556662267268,-0.13608247731898626,-0.10500451799200558,LogisticRegression,0.5617013888888888,BG,5,0
0.49432403556132287,0.3000658880945407,0.2056100763441365,DecisionTreeClassifier,0.5493020833333333,BG,5,0
-0.03355553461526631,0.06750100152425509,0.0621276964755253,LogisticRegression,0.49618354885057464,BG,6,0
0.29601696241356845,0.45506245220395897,0.24892058538247264,DecisionTreeClassifier,0.47932112068965516,BG,6,0
0.013042645564601014,0.03387924198058468,-0.052083315916252405,LogisticRegression,0.47213543599257884,BG,7,0
0.40517638683561896,0.1598459977164115,0.4349776154479694,DecisionTreeClassifier,0.4702615955473099,BG,7,0
-0.16273756877889103,-0.13719781608893727,0.17062031761346497,LogisticRegression,0.49438286163522016,BG,8,0
0.41162409726539084,0.2963156938793029,0.2920602088553064,DecisionTreeClassifier,0.5221383647798742,BG,8,0
-0.4099155071107188,-0.22617143516589228,0.31906301957451133,LogisticRegression,0.5098182189542484,BG,9,0
0.3762304412562604,0.46565878305394576,0.1581107756897942,DecisionTreeClassifier,0.48934844771241826,BG,9,0
-0.004756802632907158,-0.1116513033994528,-0.1895094163723993,LogisticRegression,0.498009982638889,BG,10,0
0.2067105520244903,0.375219129427798,0.4180703185477118,DecisionTreeClassifier,0.5040125868055556,BG,10,0
-0.03273618138043689,-0.09719255449961181,0.027915382874049915,LogisticRegression,0.5059208333333334,BG,0,1
0.21151625507211327,0.6047985297024016,0.18368521522548534,DecisionTreeClassifier,0.48270555555555544,BG,0,1
-0.130889006404893,0.005517524859165977,0.07364195577928971,LogisticRegression,0.5021325855622664,BG,1,1
0.4244722003355717,0.25257890894539525,0.3229488907190332,DecisionTreeClassifier,0.47952689099798673,BG,1,1
0.08451773664600674,-0.1867711487698721,-0.3316022682825707,LogisticRegression,0.5357809239940388,BG,2,1
0.3223530036795247,0.3308811715560681,0.34676582476440726,DecisionTreeClassifier,0.535230998509687,BG,2,1
0.08288966531921073,0.12969569633115555,0.005855019207580784,LogisticRegression,0.493311320754717,BG,3,1
0.32287237059417495,0.25722043613256956,0.4199071932732556,DecisionTreeClassifier,0.5176100628930818,BG,3,1
0.06104284580929227,-0.06422458412260564,-0.10513602809636531,LogisticRegression,0.4926029411764706,BG,4,1
0.2455554102277875,0.3077349386651938,0.4467096511070189,DecisionTreeClassifier,0.472187908496732,BG,4,1
-0.14225955083565311,0.1586341998706121,0.13458766499114655,LogisticRegression,0.539907986111111,BG,5,1
0.26074898601378427,0.518419670677956,0.2208313433082597,DecisionTreeClassifier,0.5221961805555554,BG,5,1
0.18471140226547278,0.023668342420860532,-0.44470860268618007,LogisticRegression,0.49140265804597694,BG,6,1
0.2835067018963805,0.19785504601442075,0.5186382520891989,DecisionTreeClassifier,0.48960129310344824,BG,6,1
0.04265700800243998,-0.013250221627679571,-0.07429212701360953,LogisticRegression,0.4353562152133581,BG,7,1
