"","participant","blocks.thisRepN","trials.thisN","firstgabor","key_resp_5.keys","resp.keys","resp.corr","resp.rt","key_resp_2.keys","key_resp_2.rt","resp_mrating.keys","resp_mrating.rt"
"1","AC",0,0,1,1,2,0,2.446140766,1,1.918789387,1,1.633206844
"2","AC",0,1,1,1,1,1,1.704405427,1,0.929433167,1,0.812043428
"3","AC",0,2,2,1,2,1,1.55234158,2,1.446147323,1,1.846280932
"4","AC",0,3,1,1,1,1,2.398402691,1,1.317691803,1,1.011983633
"5","AC",0,4,2,1,2,1,2.364118576,2,1.365719438,1,4.904830933
"6","AC",0,5,2,1,2,1,3.423727751,2,2.081420422,1,1.093405962
"7","AC",0,6,2,1,2,1,2.845516682,2,2.83518362,1,0.435458094
"8","AC",0,7,1,1,1,1,2.423422098,1,1.000510931,1,0.657183647
"9","AC",0,8,2,1,2,1,2.234652519,1,1.670677662,1,1.894231915
"10","AC",0,9,1,1,1,1,1.692587733,2,0.95401293,2,1.434492111
"11","AC",0,10,1,1,1,1,1.834727407,1,2.435801029,2,2.175668001
"12","AC",0,11,2,1,2,1,1.069150448,2,0.54220289,2,0.952281594
"13","AC",0,12,1,1,1,1,1.633790135,1,1.800013185,1,0.799285591
"14","AC",0,13,1,1,2,0,2.975769758,1,0.611866117,1,0.812046885
"15","AC",0,14,2,1,2,1,1.093591928,2,0.75298053,2,1.37585187
"16","AC",0,15,1,1,1,1,0.692635536,2,0.330515116,2,0.50612694
"17","AC",0,16,1,2,1,1,3.398250341,2,0.318688959,1,2.81102705
"18","AC",0,17,2,2,2,1,1.127701998,2,0.529691815,1,0.506159306
"19","AC",0,18,2,1,1,0,1.706283808,1,2.728372335,1,0.834588051
"20","AC",0,19,2,2,1,0,1.058354497,1,1.376483679,1,0.833616674
"21","AC",0,20,1,1,2,0,1.352411032,1,3.058702469,1,0.728758395
"22","AC",0,21,1,1,1,1,0.892555296,2,0.953584015,1,0.693427086
"23","AC",0,22,1,2,1,1,0.775926292,2,1.517679334,2,2.022745132
"24","AC",0,23,2,2,1,0,1.481842875,1,0.388341427,1,0.741530538
"25","AC",0,24,2,1,2,1,2.092554808,2,0.317764193,1,2.682432175
"26","AC",0,25,1,1,1,1,0.858261883,2,0.294213951,2,0.704274893
"27","AC",0,26,2,2,2,1,0.692635119,2,0.40004012,2,1.11687994
"28","AC",0,27,2,2,2,1,1.682714701,1,0.799078822,2,1.857113481
"29","AC",0,28,1,1,1,1,0.918092906,2,2.151928425,1,0.775986731
"30","AC",0,29,2,2,1,0,1.339704394,2,0.318695128,1,0.858089805
"31","AC",0,30,2,2,2,1,1.694334149,1,0.611698985,1,0.927889287
"32","AC",0,31,1,2,2,0,0.635780156,2,1.846076131,1,0.433623165
"33","AC",0,32,1,2,2,0,1.305523753,1,0.258723587,1,0.740266562
"34","AC",0,33,2,2,1,0,0.976047039,1,2.058838129,1,0.646238029
"35","AC",0,34,1,2,1,1,2.540549755,2,3.000876665,1,0.76403892
"36","AC",0,35,1,2,2,0,1.859222054,2,2.034279585,1,0.305384427
"37","AC",0,36,2,1,1,0,0.612179101,2,0.587365687,1,1.023053169
"38","AC",0,37,2,1,2,1,0.670053899,2,0.682405233,2,0.752266347
"39","AC",0,38,1,1,2,0,1.917087674,2,0.952888727,1,0.340527117
"40","AC",0,39,2,2,2,1,1.81018889,2,0.471660316,1,1.148179173
"41","AC",0,40,2,1,2,1,0.599593341,2,0.27162388,1,1.25808835
"42","AC",0,41,1,2,1,1,1.046079874,1,0.470129937,1,0.976716578
"43","AC",0,42,1,2,1,1,5.434406757,1,1.000058532,1,0.374870539
"44","AC",0,43,1,2,1,1,1.15194881,1,1.658293247,1,1.246305704
"45","AC",0,44,2,2,1,0,1.23601532,2,1.564759851,1,0.598914206
"46","AC",0,45,2,2,1,0,2.128884077,1,0.354002982,1,0.752185464
"47","AC",0,46,2,2,1,0,0.871241093,1,1.470677376,1,1.187226653
"48","AC",0,47,1,1,1,1,1.058255196,2,0.388359517,2,0.847347081
"49","AC",0,48,1,1,1,1,0.598558843,2,1.470572233,1,0.800266564
"50","AC",0,49,2,2,2,1,0.658306718,2,0.506038368,1,0.610119343
"51","AC",1,0,1,2,1,1,0.481607646,2,0.435454249,2,1.069583893
"52","AC",1,1,2,2,1,0,0.494515628,2,0.43496874,1,0.386652797
"53","AC",1,2,1,2,1,1,0.59934926,2,0.658934236,2,2.127713919
"54","AC",1,3,2,1,2,1,0.400482088,2,0.223262116,2,0.634607852
"55","AC",1,4,1,2,1,1,1.527943492,1,1.777378559,1,1.14048183
"56","AC",1,5,1,1,1,1,0.375999361,2,0.457939953,1,0.552496731
"57","AC",1,6,2,2,2,1,1.093726277,2,1.189262152,1,0.669907629
"58","AC",1,7,1,2,1,1,0.706350863,2,0.328493834,2,2.834429502
"59","AC",1,8,2,1,2,1,0.669141471,2,0.330484688,2,1.163971663
"60","AC",1,9,2,2,2,1,1.398538589,1,1.800974607,2,1.176663637
"61","AC",1,10,1,1,1,1,1.834728241,2,0.235768944,1,1.457075596
"62","AC",1,11,1,2,2,0,0.870102286,2,0.76380986,1,0.753139496
"63","AC",1,12,2,1,2,1,0.821947277,2,0.282452106,1,0.517098784
"64","AC",1,13,2,2,2,1,0.504419863,2,0.91772294,2,0.564018309
"65","AC",1,14,1,2,1,1,0.365124971,2,0.316791683,2,0.775113583
"66","AC",1,15,2,2,2,1,0.517054856,2,0.329593033,2,0.375785321
"67","AC",1,16,2,2,1,0,2.069732428,1,0.635582685,1,0.975557327
"68","AC",1,17,1,1,1,1,3.622962952,1,2.048037529,1,0.92858541
"69","AC",1,18,1,1,2,0,1.341565847,1,1.410805583,1,1.292499542
"70","AC",1,19,2,1,2,1,0.928796351,2,0.329606891,1,0.481674612
"71","AC",1,20,2,1,2,1,0.458304554,2,0.353186399,2,0.52856952
"72","AC",1,21,1,2,1,1,0.422109634,2,0.32954067,2,0.423826367
"73","AC",1,22,1,2,1,1,0.705345213,2,0.658907294,1,1.281696677
"74","AC",1,23,1,2,1,1,0.353415877,2,0.316822082,2,0.422910839
"75","AC",1,24,2,2,1,0,0.951422989,1,1.553032637,2,0.859095812
"76","AC",1,25,2,2,1,0,1.375996351,1,2.800767183,2,1.17579937
"77","AC",1,26,2,2,2,1,1.045598269,1,1.541211128,1,0.48263675
"78","AC",1,27,2,1,2,1,1.210274458,2,0.282455951,2,1.506095767
"79","AC",1,28,1,1,1,1,0.658316731,2,1.03514421,1,0.869867027
"80","AC",1,29,1,1,1,1,1.140304327,2,0.107290342,2,1.422829986
"81","AC",1,30,2,2,1,0,2.376755953,1,1.293156743,1,1.246376157
"82","AC",1,31,2,1,2,1,0.975870728,2,0.048108827,1,1.421891332
"83","AC",1,32,1,1,1,1,0.799274027,2,0.281698257,1,1.105137825
"84","AC",1,33,2,2,2,1,0.410353959,2,0.188335404,2,0.305235416
"85","AC",1,34,1,2,1,1,0.975165367,2,0.388809204,1,0.894234657
"86","AC",1,35,2,2,2,1,1.165104747,2,0.011918925,2,0.799345672
"87","AC",1,36,1,2,2,0,1.387683392,2,1.952916384,1,1.164122224
"88","AC",1,37,2,1,2,1,0.328040689,2,1.105902791,2,0.694525123
"89","AC",1,38,1,1,1,1,0.435931265,2,0.787218034,2,0.704066277
"90","AC",1,39,1,2,1,1,0.529859304,2,0.305091053,2,1.904129267
"91","AC",1,40,1,2,1,1,1.553298235,2,0.317770362,1,1.399297118
"92","AC",1,41,1,2,2,0,1.812189698,1,1.140231609,1,1.505090117
