experiment_test,experiment_train,fold,model,participant,score,window
ATT,POS,93,LogisticRegression,AS,0.579652409685413,0
ATT,POS,94,LogisticRegression,AS,0.579652409685413,0
ATT,POS,95,LogisticRegression,AS,0.579652409685413,0
ATT,POS,96,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,97,LogisticRegression,AS,0.579652409685413,0
ATT,POS,98,LogisticRegression,AS,0.579652409685413,0
ATT,POS,99,LogisticRegression,AS,0.6007434076741007,0
ATT,POS,100,LogisticRegression,AS,0.579652409685413,0
ATT,POS,1,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,2,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,3,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,4,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,5,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,6,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,7,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,8,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,9,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,10,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,11,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,12,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,13,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,14,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,15,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,16,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,17,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,18,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,19,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,20,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,21,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,22,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,23,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,24,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,25,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,26,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,27,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,28,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,29,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,30,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,31,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,32,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,33,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,34,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,35,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,36,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,37,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,38,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,39,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,40,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,41,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,42,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,43,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,44,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,45,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,46,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,47,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,48,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,49,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,50,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,51,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,52,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,53,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,54,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,55,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,56,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,57,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,58,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,59,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,60,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,61,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,62,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,63,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,64,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,65,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,66,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,67,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,68,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,69,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,70,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,71,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,72,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,73,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,74,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,75,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,76,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,77,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,78,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,79,RandomForestClassifier,AS,0.5804080408040804,0
ATT,POS,80,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,81,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,82,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,83,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,84,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,85,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,86,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,87,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,88,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,89,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,90,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,91,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,92,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,93,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,94,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,95,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,96,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,97,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,98,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,99,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,100,RandomForestClassifier,AS,0.5797079707970797,0
ATT,POS,1,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,2,LogisticRegression,BG,0.652117871905418,0
ATT,POS,3,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,4,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,5,LogisticRegression,BG,0.652117871905418,0
ATT,POS,6,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,7,LogisticRegression,BG,0.6328947953242366,0
ATT,POS,8,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,9,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,10,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,11,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,12,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,13,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,14,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,15,LogisticRegression,BG,0.652117871905418,0
ATT,POS,16,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,17,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,18,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,19,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,20,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,21,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,22,LogisticRegression,BG,0.652117871905418,0
ATT,POS,23,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,24,LogisticRegression,BG,0.652117871905418,0
ATT,POS,25,LogisticRegression,BG,0.652117871905418,0
ATT,POS,26,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,27,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,28,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,29,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,30,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,31,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,32,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,33,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,34,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,35,LogisticRegression,BG,0.652117871905418,0
ATT,POS,36,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,37,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,38,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,39,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,40,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,41,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,42,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,43,LogisticRegression,BG,0.652117871905418,0
ATT,POS,44,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,45,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,46,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,47,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,48,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,49,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,50,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,51,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,52,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,53,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,54,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,55,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,56,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,57,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,58,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,59,LogisticRegression,BG,0.652117871905418,0
ATT,POS,60,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,61,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,62,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,63,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,64,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,65,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,66,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,67,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,68,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,69,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,70,LogisticRegression,BG,0.652117871905418,0
ATT,POS,71,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,72,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,73,LogisticRegression,BG,0.652117871905418,0
ATT,POS,74,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,75,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,76,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,77,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,78,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,79,LogisticRegression,BG,0.652117871905418,0
ATT,POS,80,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,81,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,82,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,83,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,84,LogisticRegression,BG,0.652117871905418,0
ATT,POS,85,LogisticRegression,BG,0.652117871905418,0
ATT,POS,86,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,87,LogisticRegression,BG,0.652117871905418,0
ATT,POS,88,LogisticRegression,BG,0.6358282590337349,0
ATT,POS,89,LogisticRegression,BG,0.6358282590337349,0
