"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","X"
"31",1,"left",0,0,0,0,3,0,30,4,1,0.882393797092,1,1,0.987872315114,2,1.21087926485,0.079934211,0.741935483871,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"32",1,"left",0,0,0,0,3,1,31,0,2,0.447146971756,1,1,0.670093475575,2,3.46910924657,0.079934211,0.75,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"33",2,"down",0,0,0,0,3,2,32,1,1,0.847103004086,2,1,0.775984719887,1,0.799176703447,0.079934211,0.757575757576,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"34",2,"down",0,0,0,0,3,3,33,7,1,0.788509730832,2,1,0.505195846712,1,1.37580615416,0.079934211,0.764705882353,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"35",2,"down",0,0,0,0,3,4,34,9,1,0.905875690074,2,1,0.552376390977,2,0.458294816704,0.079934211,0.771428571429,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"36",1,"left",0,0,0,0,3,5,35,8,2,0.870726194222,1,1,0.646467205392,2,1.10518360352,0.079934211,0.777777777778,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"37",2,"down",0,0,0,0,3,6,36,3,1,0.411882359147,1,0,3.63459978447,1,0.410372366126,0.079934211,0.756756756757,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"38",1,"left",0,0,0,0,3,7,37,6,1,2.18820703922,1,1,0.811299383258,2,0.364036524736,0.079934211,0.763157894737,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"39",2,"down",0,0,0,0,3,8,38,5,1,1.811675919,1,0,0.834831712009,2,1.58681324097,0.079934211,0.74358974359,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
"40",1,"left",0,0,0,0,3,9,39,2,1,1.12947439384,1,1,1.07010879881,1,0.493392721772,0.079934211,0.75,0.079934211,"metacognition_realexp","ab",85.0860733211,1,"2014_Mar_13_1503",NA
