experiment,sub,Transitions,Transition_Probability
1,ah,unaware-unaware,0.6528925619834711
1,av,unaware-unaware,0.4878048780487805
1,bj,unaware-unaware,0.517948717948718
1,cm,unaware-unaware,0.5528455284552846
1,db,unaware-unaware,0.5399239543726235
1,ddb,unaware-unaware,0.6327272727272727
1,fcm,unaware-unaware,0.5225225225225225
1,kf,unaware-unaware,0.5252100840336135
1,kk,unaware-unaware,0.5518672199170125
1,ml,unaware-unaware,0.7085889570552147
1,qa,unaware-unaware,0.6837060702875399
1,sk,unaware-unaware,0.8144329896907216
1,yv,unaware-unaware,0.5573122529644269
2,ack,unaware-unaware,0.6639344262295082
2,cc,unaware-unaware,0.5265700483091788
2,ck,unaware-unaware,0.5291479820627802
2,cpj,unaware-unaware,0.7096774193548387
2,em,unaware-unaware,0.770392749244713
2,es,unaware-unaware,0.9098591549295775
2,fd,unaware-unaware,0.3442622950819672
2,jmac,unaware-unaware,0.3691275167785235
2,lidia,unaware-unaware,0.5789473684210527
2,ls,unaware-unaware,0.42657342657342656
2,mimi,unaware-unaware,0.37681159420289856
2,pr,unaware-unaware,0.5652173913043478
2,pss,unaware-unaware,0.32142857142857145
2,sva,unaware-unaware,0.6231884057971014
2,tj,unaware-unaware,0.9106699751861043
3,ab,unaware-unaware,0.5151515151515151
3,eb,unaware-unaware,0.5412371134020618
3,er,unaware-unaware,0.6363636363636364
3,hgh,unaware-unaware,0.4344262295081967
3,kb,unaware-unaware,0.7896825396825397
3,kj,unaware-unaware,0.8406374501992032
3,mp,unaware-unaware,0.47586206896551725
3,rb,unaware-unaware,0.7640845070422535
3,vs,unaware-unaware,0.8461538461538461
3,wp,unaware-unaware,0.4797297297297297
1,ah,aware-unaware,0.32684824902723736
1,av,aware-unaware,0.043668122270742356
1,bj,aware-unaware,0.3780487804878049
1,cm,aware-unaware,0.43478260869565216
1,db,aware-unaware,0.5154185022026432
1,ddb,aware-unaware,0.4930232558139535
1,fcm,aware-unaware,0.39552238805970147
1,kf,aware-unaware,0.4523809523809524
1,kk,aware-unaware,0.43775100401606426
1,ml,aware-unaware,0.5975609756097561
1,qa,aware-unaware,0.5423728813559322
1,sk,aware-unaware,0.7352941176470589
1,yv,aware-unaware,0.46122448979591835
2,ack,aware-unaware,0.4576271186440678
2,cc,aware-unaware,0.4372093023255814
2,ck,aware-unaware,0.4732142857142857
2,cpj,aware-unaware,0.5454545454545454
2,em,aware-unaware,0.4840764331210191
2,es,aware-unaware,0.2601626016260163
2,fd,aware-unaware,0.18636363636363637
2,jmac,aware-unaware,0.2990936555891239
2,lidia,aware-unaware,0.4734042553191489
2,ls,aware-unaware,0.25161290322580643
2,mimi,aware-unaware,0.32209737827715357
2,pr,aware-unaware,0.48130841121495327
2,pss,aware-unaware,0.2581818181818182
2,sva,aware-unaware,0.09389671361502347
2,tj,aware-unaware,0.41379310344827586
3,ab,aware-unaware,0.3303964757709251
3,eb,aware-unaware,0.4444444444444444
3,er,aware-unaware,0.38144329896907214
3,hgh,aware-unaware,0.24814814814814815
3,kb,aware-unaware,0.4
3,kj,aware-unaware,0.2695035460992908
3,mp,aware-unaware,0.31983805668016196
3,rb,aware-unaware,0.6296296296296297
3,vs,aware-unaware,0.2620689655172414
3,wp,aware-unaware,0.3073770491803279
1,ah,unaware-aware,0.34710743801652894
1,av,unaware-aware,0.5121951219512195
1,bj,unaware-aware,0.48205128205128206
1,cm,unaware-aware,0.44715447154471544
1,db,unaware-aware,0.4600760456273764
1,ddb,unaware-aware,0.36727272727272725
1,fcm,unaware-aware,0.4774774774774775
1,kf,unaware-aware,0.47478991596638653
1,kk,unaware-aware,0.44813278008298757
1,ml,unaware-aware,0.29141104294478526
1,qa,unaware-aware,0.31629392971246006
1,sk,unaware-aware,0.18556701030927836
1,yv,unaware-aware,0.4426877470355731
2,ack,unaware-aware,0.3360655737704918
2,cc,unaware-aware,0.47342995169082125
2,ck,unaware-aware,0.47085201793721976
2,cpj,unaware-aware,0.2903225806451613
2,em,unaware-aware,0.229607250755287
2,es,unaware-aware,0.09014084507042254
2,fd,unaware-aware,0.6557377049180327
2,jmac,unaware-aware,0.6308724832214765
2,lidia,unaware-aware,0.42105263157894735
2,ls,unaware-aware,0.5734265734265734
2,mimi,unaware-aware,0.6231884057971014
2,pr,unaware-aware,0.43478260869565216
2,pss,unaware-aware,0.6785714285714286
2,sva,unaware-aware,0.37681159420289856
2,tj,unaware-aware,0.08933002481389578
3,ab,unaware-aware,0.48484848484848486
3,eb,unaware-aware,0.4587628865979381
3,er,unaware-aware,0.36363636363636365
3,hgh,unaware-aware,0.5655737704918032
3,kb,unaware-aware,0.21031746031746032
3,kj,unaware-aware,0.1593625498007968
3,mp,unaware-aware,0.5241379310344828
3,rb,unaware-aware,0.23591549295774647
3,vs,unaware-aware,0.15384615384615385
3,wp,unaware-aware,0.5202702702702703
1,ah,aware-aware,0.6731517509727627
1,av,aware-aware,0.9563318777292577
1,bj,aware-aware,0.6219512195121951
1,cm,aware-aware,0.5652173913043478
1,db,aware-aware,0.4845814977973568
1,ddb,aware-aware,0.5069767441860465
1,fcm,aware-aware,0.6044776119402985
1,kf,aware-aware,0.5476190476190477
1,kk,aware-aware,0.5622489959839357
1,ml,aware-aware,0.4024390243902439
1,qa,aware-aware,0.4576271186440678
1,sk,aware-aware,0.2647058823529412
1,yv,aware-aware,0.5387755102040817
2,ack,aware-aware,0.5423728813559322
2,cc,aware-aware,0.5627906976744186
2,ck,aware-aware,0.5267857142857143
2,cpj,aware-aware,0.45454545454545453
2,em,aware-aware,0.5159235668789809
2,es,aware-aware,0.7398373983739838
2,fd,aware-aware,0.8136363636363636
2,jmac,aware-aware,0.7009063444108762
2,lidia,aware-aware,0.526595744680851
2,ls,aware-aware,0.7483870967741936
2,mimi,aware-aware,0.6779026217228464
2,pr,aware-aware,0.5186915887850467
2,pss,aware-aware,0.7418181818181818
2,sva,aware-aware,0.9061032863849765
2,tj,aware-aware,0.5862068965517241
3,ab,aware-aware,0.6696035242290749
3,eb,aware-aware,0.5555555555555556
3,er,aware-aware,0.6185567010309279
3,hgh,aware-aware,0.7518518518518519
3,kb,aware-aware,0.6
3,kj,aware-aware,0.7304964539007093
3,mp,aware-aware,0.680161943319838
3,rb,aware-aware,0.37037037037037035
3,vs,aware-aware,0.7379310344827587
3,wp,aware-aware,0.6926229508196722
