sum_sq,df,F,PR(>F),eta_sq,omega_sq
0.0,2.0,0.0,1.0,0.0,-0.00885
1.62275,1.0,75.01454,0.0,0.33326,0.32737
0.08818,2.0,2.03803,0.13398,0.01811,0.00918
3.15834,146.0,,,,
