,awareness,chance,confidence,correctness,model,score,sub,window
0,0.1693201275467653,False,0.486442217369251,0.2465530762631781,LogisticRegression,0.5596068965517241,rb,1
1,0.32802576254782084,False,0.34073451547275513,0.33123972197942453,RandomForestClassifier,0.5623103448275862,rb,1
2,-0.14525718487408448,True,0.01728587455004824,-0.002289715119387973,LogisticRegression,0.4313655172413792,rb,1
3,0.3355157454345176,True,0.3324650546413011,0.33201919992418133,RandomForestClassifier,0.44047586206896555,rb,1
4,0.26352489666724405,False,-0.004462199363145633,0.18190186073804643,LogisticRegression,0.49465517241379303,rb,2
5,0.33642485525924104,False,0.32973587312875124,0.3338392716120077,RandomForestClassifier,0.5085919540229884,rb,2
6,-0.10059525926996286,True,-0.25843331758568705,0.20721755156469374,LogisticRegression,0.49267241379310356,rb,2
7,0.33080076812657777,True,0.3360768177845017,0.3331224140889205,RandomForestClassifier,0.48248563218390805,rb,2
8,0.0767466164214346,False,0.1359887440220142,-0.23474559918989701,LogisticRegression,0.4768412667478951,rb,3
9,0.3309462098135337,False,0.33235077838998583,0.33670301179648054,RandomForestClassifier,0.46799097589787936,rb,3
10,0.019055416244827296,True,-0.708594820819712,0.37617166402919994,LogisticRegression,0.5864283830966355,rb,3
11,0.32151173018167184,True,0.3508572932101818,0.3276309766081462,RandomForestClassifier,0.5780384137101282,rb,3
12,-0.023419015571932284,False,0.06517671081283685,-0.041524028213211,LogisticRegression,0.4128998447204969,rb,4
13,0.3325964833066613,False,0.3342431288823877,0.33316038781095086,RandomForestClassifier,0.41236413043478265,rb,4
14,-0.11599713815216854,True,0.28801741410174275,-0.032541553165604385,LogisticRegression,0.47545419254658383,rb,4
15,0.33126923231216177,True,0.3380899819354324,0.3306407857524061,RandomForestClassifier,0.46706909937888197,rb,4
