"","Estimate","Std. Error","df","t value","Pr(>|t|)","sign","se","dof","t"
"(Intercept)",0.176107961853606,0.038390554875455,23.0114652611401,4.58727315676807,0.000130066417516029,0.000130066417516029,0.038390554875455,23.0114652611401,4.58727315676807
"awareness_1",0.150899429887744,0.0108280322946654,8264.77810309005,13.9359973983535,1.19095030079986e-43,1.19095030079986e-43,0.0108280322946654,8264.77810309005,13.9359973983535
"awareness_2",0.0594036951866721,0.0108739932846716,8264.43581227637,5.46291446311721,4.81996130403439e-08,4.81996130403439e-08,0.0108739932846716,8264.43581227637,5.46291446311721
"awareness_3",0.0233076427838151,0.0108726800023618,8264.3906288005,2.14368884017115,0.0320869227181952,0.0320869227181952,0.0108726800023618,8264.3906288005,2.14368884017115
"awareness_4",0.015425102360856,0.0108285898008241,8264.76754417801,1.42447933152681,0.154345520344435,0.154345520344435,0.0108285898008241,8264.76754417801,1.42447933152681
"confidence_1",0.239271977278814,0.0104929084109221,8266.31443861485,22.8032084059511,1.12690032448645e-111,1.12690032448645e-111,0.0104929084109221,8266.31443861485,22.8032084059511
"confidence_2",0.101588051354063,0.0105152313074034,8265.96824718895,9.66103820108435,5.76499724652869e-22,5.76499724652869e-22,0.0105152313074034,8265.96824718895,9.66103820108435
"confidence_3",0.0448647452764693,0.0105162470672413,8265.9826923454,4.26623157383068,2.01018050305135e-05,2.01018050305135e-05,0.0105162470672413,8265.9826923454,4.26623157383068
"confidence_4",0.0341242596461666,0.0105117844195222,8266.48216916285,3.24628609989298,0.00117387095574236,0.00117387095574236,0.0105117844195222,8266.48216916285,3.24628609989298
"correct_1",0.00577463849055132,0.012074077278865,8265.08167399276,0.478267478100335,0.632472490440265,0.632472490440265,0.012074077278865,8265.08167399276,0.478267478100335
"correct_2",0.0105817369914868,0.0120859487737679,8264.64006532688,0.875540446973773,0.381305357069476,0.381305357069476,0.0120859487737679,8264.64006532688,0.875540446973773
"correct_3",0.00507668375449782,0.0121014610982203,8265.10051477092,0.419509984231939,0.674854362667379,0.674854362667379,0.0121014610982203,8265.10051477092,0.419509984231939
"correct_4",-0.0140211993273536,0.0120691762935815,8265.50385614554,-1.16173622675561,0.245376171217361,0.245376171217361,0.0120691762935815,8265.50385614554,-1.16173622675561
