"","Estimate","Std. Error","df","t value","Pr(>|t|)","sign","se","dof","t"
"(Intercept)",0.454710978512951,0.0231768707191772,135.731039501667,19.6191705093609,1.88482240895076e-41,1.88482240895076e-41,0.0231768707191772,135.731039501667,19.6191705093609
"awareness_1",0.00838015248118706,0.0120180853626379,8341.31865254597,0.697295137147174,0.485637544331372,0.485637544331372,0.0120180853626379,8341.31865254597,0.697295137147174
"awareness_2",0.00144100913774236,0.0120616884169545,8459.30851750967,0.119469935545409,0.904905894334539,0.904905894334539,0.0120616884169545,8459.30851750967,0.119469935545409
"awareness_3",-0.00480849388273685,0.0120539987801579,8458.09003629068,-0.398912756707104,0.689967559876932,0.689967559876932,0.0120539987801579,8458.09003629068,-0.398912756707104
"awareness_4",-0.0191429068490598,0.0119732534861778,8421.94917448124,-1.59880577749053,0.109901277122496,0.109901277122496,0.0119732534861778,8421.94917448124,-1.59880577749053
"confidence_1",0.0653130122079355,0.0115209051663925,8192.98911059756,5.66908686988061,1.48431764211143e-08,1.48431764211143e-08,0.0115209051663925,8192.98911059756,5.66908686988061
"confidence_2",0.00448986779894551,0.0115119871511422,8217.4229863513,0.390016748628843,0.696534270550525,0.696534270550525,0.0115119871511422,8217.4229863513,0.390016748628843
"confidence_3",0.00544110802625206,0.0115052582854294,8220.25675024908,0.47292358774273,0.63628025234855,0.63628025234855,0.0115052582854294,8220.25675024908,0.47292358774273
"confidence_4",-0.00111610039504849,0.0115025880773259,8191.09111399611,-0.097030371560342,0.922704649135358,0.922704649135358,0.0115025880773259,8191.09111399611,-0.097030371560342
"correct_1",0.0268760456340118,0.0132823437639379,8639.95770648718,2.02344150337243,0.04305837458377,0.04305837458377,0.0132823437639379,8639.95770648718,2.02344150337243
"correct_2",0.0091124967297339,0.0132994530417968,8658.14675856678,0.685178307791729,0.493249753313871,0.493249753313871,0.0132994530417968,8658.14675856678,0.685178307791729
"correct_3",-0.00623194737446727,0.0133258528351334,8670.53485427874,-0.467658426936611,0.640040628717289,0.640040628717289,0.0133258528351334,8670.53485427874,-0.467658426936611
"correct_4",-0.00180947349461924,0.0132798892380033,8672.33576017665,-0.136256670683747,0.891621538796652,0.891621538796652,0.0132798892380033,8672.33576017665,-0.136256670683747
