awareness_4,awareness_3,awareness_2,awareness_1,confidence_4,confidence_3,confidence_2,confidence_1,correct_4,correct_3,correct_2,correct_1,attention,sub_name,blocks
0,1,1,1,1,0,0,0,0,1,1,1,0,AS,0
1,1,1,0,0,0,0,0,1,1,1,1,1,AS,0
1,1,0,1,0,0,0,0,1,1,1,1,0,AS,0
1,0,1,1,0,0,0,0,1,1,1,1,1,AS,0
0,1,1,0,0,0,0,0,1,1,1,1,0,AS,0
1,1,0,1,0,0,0,0,1,1,1,1,1,AS,0
1,0,1,1,0,0,0,1,1,1,1,1,1,AS,0
0,1,1,0,0,0,1,0,1,1,1,1,1,AS,0
1,1,0,1,0,1,0,1,1,1,1,1,1,AS,0
1,0,1,0,1,0,1,0,1,1,1,1,0,AS,0
0,1,0,1,0,1,0,1,1,1,1,1,0,AS,0
1,0,1,1,1,0,1,1,1,1,1,1,1,AS,0
0,1,1,0,0,1,1,0,1,1,1,0,1,AS,0
1,1,0,0,1,1,0,0,1,1,0,0,1,AS,0
1,0,0,1,1,0,0,0,1,0,0,1,0,AS,0
0,0,1,0,0,0,0,0,0,0,1,0,1,AS,0
0,1,0,1,0,0,0,1,0,1,0,1,1,AS,0
1,0,1,1,0,0,1,1,1,0,1,1,1,AS,0
0,1,1,1,0,1,1,1,0,1,1,1,1,AS,0
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,0
1,1,0,1,1,1,0,1,1,1,1,1,1,AS,0
1,0,1,1,1,0,1,0,1,1,1,1,1,AS,0
0,1,1,1,0,1,0,1,1,1,1,1,0,AS,0
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,0
1,1,1,1,0,1,1,1,1,1,1,1,0,AS,0
1,1,1,0,1,1,1,0,1,1,1,1,0,AS,0
1,1,0,1,1,1,0,0,1,1,1,1,1,AS,0
1,0,1,1,1,0,0,1,1,1,1,1,0,AS,0
0,1,1,1,0,0,1,0,1,1,1,1,0,AS,0
1,1,1,1,0,1,0,0,1,1,1,1,0,AS,0
1,1,1,1,1,0,0,1,1,1,1,1,0,AS,0
1,1,1,1,0,0,1,1,1,1,1,1,0,AS,0
1,1,1,0,0,1,1,0,1,1,1,1,0,AS,0
1,1,0,1,1,1,0,0,1,1,1,1,0,AS,0
1,0,1,1,1,0,0,0,1,1,1,1,0,AS,0
0,1,1,0,0,0,0,0,1,1,1,0,0,AS,0
1,1,0,1,0,0,0,1,1,1,0,1,0,AS,0
1,0,1,1,0,0,1,1,1,0,1,1,1,AS,0
0,1,1,1,0,1,1,0,0,1,1,1,1,AS,0
1,1,1,1,1,1,0,1,1,1,1,1,1,AS,0
1,1,1,1,1,0,1,1,1,1,1,1,0,AS,0
1,1,1,1,0,1,1,0,1,1,1,0,0,AS,0
1,1,1,1,1,1,0,1,1,1,0,1,0,AS,0
1,1,1,0,1,0,1,1,1,0,1,1,0,AS,0
1,1,0,1,0,1,1,0,0,1,1,1,0,AS,0
1,0,1,0,1,1,0,0,1,1,1,1,0,AS,0
0,1,0,1,0,0,1,0,1,1,1,1,0,AS,1
1,0,1,1,0,1,0,1,1,1,1,1,0,AS,1
0,1,1,0,1,0,1,0,1,1,1,0,0,AS,1
1,1,0,1,0,1,0,1,1,1,0,1,0,AS,1
1,0,1,0,1,0,1,0,1,0,1,1,0,AS,1
0,1,0,1,0,1,0,1,0,1,1,1,1,AS,1
1,0,1,1,1,0,1,1,1,1,1,1,0,AS,1
0,1,1,1,0,1,1,1,1,1,1,1,0,AS,1
1,1,1,1,1,1,1,0,1,1,1,1,1,AS,1
1,1,1,1,1,1,0,1,1,1,1,1,0,AS,1
1,1,1,0,1,0,1,0,1,1,1,0,0,AS,1
1,1,0,0,0,1,0,0,1,1,0,0,0,AS,1
1,0,0,1,1,0,0,0,1,0,0,1,1,AS,1
0,0,1,1,0,0,0,1,0,0,1,1,0,AS,1
0,1,1,1,0,0,1,1,0,1,1,1,0,AS,1
1,1,1,1,0,1,1,1,1,1,1,1,1,AS,1
1,1,1,1,1,1,1,1,1,1,1,0,0,AS,1
1,1,1,1,1,1,1,1,1,1,0,1,0,AS,1
