RT_awareness,RT_confidence,RT_correct,model,score,sub,window
-0.5221680243442084,-0.295122115851637,-0.08902298621900737,LogisticRegression,0.6317916666666666,BG,0
0.341744751816812,0.32928821626512267,0.32896703191806553,RandomForestClassifier,0.6611111111111111,BG,0
-0.15898764471736693,-0.2950679362575865,-0.32974750227768324,LogisticRegression,0.6045470232959448,BG,1
0.3380793090890932,0.3292500064553286,0.33267068445557835,RandomForestClassifier,0.6261834915156744,BG,1
-0.08674746261372607,0.003442384159224789,-0.2830766254197501,LogisticRegression,0.5396572280178837,BG,2
0.33245675343590236,0.32966391072792434,0.33787933583617336,RandomForestClassifier,0.5529791356184799,BG,2
0.11571774982291955,0.17524349676749879,-0.12623048516683585,LogisticRegression,0.506430817610063,BG,3
0.3353873259395643,0.3287357251347334,0.3358769489257022,RandomForestClassifier,0.5232216981132077,BG,3
0.046515117301977146,0.5215481452907142,-0.00969211348001402,LogisticRegression,0.5645816993464051,BG,4
0.33000669405313027,0.34006798360871576,0.3299253223381541,RandomForestClassifier,0.5603251633986929,BG,4
