RT_awareness,RT_confidence,RT_correct,awareness,confidence,correct,model,score,sub,window
0.07815674335696464,-0.3411791881808552,-0.04308278887462166,0.009170983047283645,0.38167938714592653,-0.3092667349766278,LogisticRegression,0.5370842760180996,PC,0
0.16911889665127858,0.16883182869016367,0.16737195137389066,0.16335390988944154,0.16657558457130292,0.16474782882392258,RandomForestClassifier,0.5125608031674208,PC,0
0.014140894403224968,-0.019372444227409177,0.2914835956575585,-0.4489825911826173,0.22575034533758487,0.0776856380707036,LogisticRegression,0.5424941724941724,PC,1
0.16662983842333953,0.1660412158608725,0.16913007669936064,0.16876131794283836,0.16491588495768536,0.16452166611590371,RandomForestClassifier,0.5484950466200466,PC,1
-0.0009975078428774789,-0.02693022511905756,0.14202137236542206,-0.46390922653402356,-0.14093271469747884,-0.04619744447110568,LogisticRegression,0.5217728365384615,PC,2
0.16736563581431807,0.166775674483264,0.16926752634520117,0.17075027251798008,0.16314991532895237,0.16269097551028427,RandomForestClassifier,0.5087680288461537,PC,2
0.12922742421865685,-0.21218763854957998,0.04175735401867284,-0.17684786125782176,-0.07972334407673207,-0.37704055754439025,LogisticRegression,0.524528779253637,PC,3
0.17001670573895047,0.16883917438308,0.16731892955740613,0.16314172504539207,0.1630642747226986,0.16761919055247268,RandomForestClassifier,0.4859930423782416,PC,3
0.17290581027649762,-0.31996378298264383,-0.07958926564316982,-0.09995822763219127,0.2000319821441137,-0.4747741640258485,LogisticRegression,0.5463639344262295,PC,4
0.16964351733641628,0.17035778254637246,0.16728464427035783,0.16272001171855663,0.16306971179526042,0.16692433233303638,RandomForestClassifier,0.5219393442622952,PC,4
