awareness,confidence,correct,model,score,sub,window
0.5230083489920766,0.6245500218757382,-0.2454325845335757,LogisticRegression,0.6115,NN,0
0.33715816768891543,0.3404151822969771,0.3224266500141072,RandomForestClassifier,0.6063361111111112,NN,0
1.780252617264707,1.4896421544440759,-0.2593370301849919,LogisticRegression,0.7798218390804599,NN,1
0.36046214573247504,0.33313819165950453,0.3063996626080203,RandomForestClassifier,0.7818419540229885,NN,1
0.41389294482571204,1.0291657663047689,0.0913992920162064,LogisticRegression,0.6579259589652097,NN,2
0.3237654476642258,0.35583042412888155,0.3204041282068927,RandomForestClassifier,0.6616726137377341,NN,2
0.08523393756316168,0.3610249048310435,0.6610683057935429,LogisticRegression,0.5664169278996866,NN,3
0.324894562756495,0.3372325925148864,0.3378728447286185,RandomForestClassifier,0.571730407523511,NN,3
-0.1820334645109798,0.07042684489527615,-0.35659792795631157,LogisticRegression,0.51046783625731,NN,4
0.3364164354935432,0.3292580745772411,0.33432548992921585,RandomForestClassifier,0.5092007797270955,NN,4
