awareness,confidence,correct,model,score,sub,window
0.5170853867374404,0.5909527401970631,0.18804107634822653,LogisticRegression,0.6032694444444444,EU,0
0.04018386693520382,0.0045405930967428645,0.0158615181609834,RandomForestClassifier,0.6045666666666667,EU,0
0.3338197611932718,0.5857471892022883,0.10159816233538432,LogisticRegression,0.5654883654122379,EU,1
0.03297794317379259,0.010826497165933256,0.009434544828960006,RandomForestClassifier,0.5745116345877621,EU,1
0.21650306960594357,0.14054813391071808,0.21268853835102397,LogisticRegression,0.5431489741302409,EU,2
0.006454846335697385,-0.002674704491725767,0.01586193853427896,RandomForestClassifier,0.5491436217662801,EU,2
0.07224202488372336,0.09915026545952006,-0.02644948853175614,LogisticRegression,0.4617084639498432,EU,3
-0.004215084238702572,-0.0028574240277121766,-0.004566111635962844,RandomForestClassifier,0.46808463949843265,EU,3
-0.31139346172910265,-0.27803069790023044,0.014563100869569688,LogisticRegression,0.5285396361273553,EU,4
0.01931399802322709,0.01899493451939708,0.0040616506053867026,RandomForestClassifier,0.5369574398960363,EU,4
-0.5829098534228851,-0.2659728213895603,0.08053915653119852,LogisticRegression,0.5608799313893652,EU,5
0.05268082368082369,0.00542213642213643,0.0009761904761904944,RandomForestClassifier,0.565205831903945,EU,5
-0.2346978348544451,-0.43987351920777323,-0.07463869949129572,LogisticRegression,0.538258547008547,EU,6
0.007919860627177696,0.02716994492525571,0.00152073732718894,RandomForestClassifier,0.5468447293447294,EU,6
-0.05869200748062016,-0.5099140911647759,-0.0700802939597704,LogisticRegression,0.5195098039215685,EU,7
-0.0025186791429985577,0.026458623046644814,0.00042755792302072546,RandomForestClassifier,0.539816870144284,EU,7
0.12195754616350135,-0.6613142939107415,-0.14032159736852778,LogisticRegression,0.5302529411764706,EU,8
-0.010251724137931028,0.03192413793103448,-0.00462598522167487,RandomForestClassifier,0.5222058823529412,EU,8
0.24023034064522517,-0.5026660936854682,-0.23922517768470175,LogisticRegression,0.5430530612244898,EU,9
-0.003251178573278764,0.025448634927213387,0.005059317204579598,RandomForestClassifier,0.5303142857142857,EU,9
0.15482310494572962,-0.10652340025308404,-0.24708762595370817,LogisticRegression,0.49099435518888407,EU,10
-0.010078958078958082,-0.005371184371184373,0.00442531542531542,RandomForestClassifier,0.48267042987407727,EU,10
