RT_awareness,RT_confidence,RT_correct,model,score,sub,window
0.07037482245432901,-0.15802439966719392,-0.2422536334356277,LogisticRegression,0.5386416666666666,AC,0
0.33352654654119573,0.32708362310343264,0.33938983035537157,RandomForestClassifier,0.5381291666666667,AC,0
-0.33444619056753294,-0.15549150835323033,-0.24880025037234696,LogisticRegression,0.555532892846883,AC,1
0.3324664481651731,0.32911315578699957,0.33842039604782725,RandomForestClassifier,0.5760399310542947,AC,1
-0.1381268765682161,0.11079168697371188,-0.33939417451232295,LogisticRegression,0.564307372175981,AC,2
0.33145942705119696,0.32892921315005375,0.3396113597987494,RandomForestClassifier,0.5451694411414981,AC,2
0.16144610452600208,-0.024288699236338033,-0.09262258981370268,LogisticRegression,0.489874686716792,AC,3
0.33388848596999066,0.3296167081091361,0.33649480592087316,RandomForestClassifier,0.5081657268170425,AC,3
-0.18677782831906536,-0.14457696747329035,0.09230073529546848,LogisticRegression,0.5071883116883117,AC,4
0.3309876799256057,0.33362291970880514,0.3353894003655892,RandomForestClassifier,0.5246282467532467,AC,4
