RT_awareness,RT_confidence,RT_correct,awareness,confidence,correct,model,score,sub,window
0.0860740528915833,0.03595366060972673,-0.0064682909690786175,0.3116700793869391,0.2476198748742952,0.014414271683914993,LogisticRegression,0.5181333333333334,JD,0
0.002095458017917923,0.004580005555941395,0.039861795958052636,0.002105180915341348,0.0004076671991110581,0.00018699215223279885,RandomForestClassifier,0.5848374999999999,JD,0
-0.027629526875038377,0.11173313213862966,-0.2589365215632969,-0.11115378046390437,-0.34969479856068925,0.19101409145027912,LogisticRegression,0.47898305084745757,JD,1
-0.001150468119012677,-0.002159142355263393,-0.005932706760109373,0.0025114539758425204,0.007533909201209685,-0.0012359428478296275,RandomForestClassifier,0.48208848032174667,JD,1
-0.03733492393490002,0.14696577064318525,-0.10960531254385314,-0.25549863394907374,-0.5416437536525538,0.26525430493430074,LogisticRegression,0.5441123996431757,JD,2
-0.004479779168478579,0.003906713807642123,0.020406401845304494,0.007642793670000565,0.020685182734302622,0.00015465769223497628,RandomForestClassifier,0.5487555753791257,JD,2
0.1646956253875953,-0.34140333401406214,0.34539720543144203,0.11649887668281864,0.014289713314319583,-0.06959447631238981,LogisticRegression,0.4756578947368421,JD,3
0.002359062118887446,0.003403949801329717,0.003923934851882453,-0.001535859003107914,-0.0022559896140682233,-0.001092588221409187,RandomForestClassifier,0.489765037593985,JD,3
0.13964231951431486,-0.18253857995494827,-0.17245609877270884,-0.0547992397781796,0.4013352567071967,-0.15724870473437963,LogisticRegression,0.498038961038961,JD,4
-0.011039026497695845,-0.00041114631336405414,0.0015949020737327164,-0.00027001728110598755,0.008649913594470046,-0.0008834965437787994,RandomForestClassifier,0.49120941558441555,JD,4
-0.15004588600060154,0.24989922797111996,-0.0668707325087881,-0.28230212464116194,-0.1429783409537377,-0.04511605028822462,LogisticRegression,0.5112212692967409,JD,5
-0.00817030034085793,-0.0038433339764615128,0.0051196218406328355,0.007710463695414496,0.0033375136664737215,-0.0025869830857289844,RandomForestClassifier,0.5200137221269298,JD,5
-0.12503886174388837,0.24133689406256775,-0.08696424724575837,-0.20368066417674993,0.03917939116574488,-0.36594372982619516,LogisticRegression,0.5241595441595442,JD,6
-0.0009599658519050947,-0.005631065780014367,-0.0021708752695902014,0.0009725467289719714,-0.0011336268871315535,0.000983330337886422,RandomForestClassifier,0.5166150284900286,JD,6
0.27467415087609537,0.05599977587530473,-0.11627081454513961,0.11847327771971987,-0.05170887360047736,-0.21967860874343903,LogisticRegression,0.47860895301516826,JD,7
0.03752027345591701,-0.0021666666666666726,-0.005220650636492225,-0.0012234794908062292,0.00026826968411126196,-0.0011768033946251805,RandomForestClassifier,0.5100702922678505,JD,7
-0.043481674306727704,-0.35629708168860413,0.8354616990802445,0.14348967805700122,-0.09236441015168918,0.44231940066242936,LogisticRegression,0.5078218210361068,JD,8
0.026697181016214096,-0.0022935045093883948,0.011806958750184813,-0.0005504903651865295,-0.0005373071805233814,0.00025035730126657277,RandomForestClassifier,0.5057378335949765,JD,8
-0.3019994156498381,-0.06920881846820924,0.010590868439203191,-0.17499839278870447,-0.09131160309881302,0.3131701241271307,LogisticRegression,0.5195138888888888,JD,9
0.023396661655694376,0.0041733191643771725,0.023385127779793687,-0.0007223575760717404,-0.0015111969312114415,0.00023171427090353246,RandomForestClassifier,0.5431964869281046,JD,9
-0.14829780166908496,0.11337166542931186,-0.19938887469020508,-0.1278987663509918,0.17688470680726248,-0.3390024220808134,LogisticRegression,0.46832392531480677,JD,10
0.0010198761811665053,0.004790648419680682,-0.00594411860540893,0.00026637341153470717,-0.0032917888563049804,-0.0006712284131638874,RandomForestClassifier,0.49567737733391226,JD,10
