RT_awareness,RT_confidence,RT_correct,model,score,sub,window
-0.03131355789673402,0.0010561097206070833,-0.09617159750759234,LogisticRegression,0.4945864661654136,WT,0
-0.0039045564467022733,-9.499121418257372e-05,0.00023982671932357868,RandomForestClassifier,0.5047284878863827,WT,0
0.051399703316853645,0.035507703626864055,0.08232856562981498,LogisticRegression,0.48667338709677416,WT,1
-0.0003170068027210909,-2.5850340136053808e-05,-0.0007854875283446733,RandomForestClassifier,0.4871644585253456,WT,1
0.06109323289653974,0.029108436445360875,-0.13958084317572328,LogisticRegression,0.48225892857142855,WT,2
-0.001325564664230676,-0.0007198167326151606,0.00805070145212895,RandomForestClassifier,0.4543511904761904,WT,2
0.028626146691866642,0.10554344673401843,0.06238767308020255,LogisticRegression,0.5195172413793103,WT,3
0.00018008974964572378,-0.00027908990710124703,0.000179892930247203,RandomForestClassifier,0.5113463949843261,WT,3
0.15300416780731102,-0.039560360088911194,0.11356784436662672,LogisticRegression,0.522722547108512,WT,4
0.0003427419354838712,-0.001129032258064513,-9.720622119815725e-05,RandomForestClassifier,0.50979044834308,WT,4
0.2853002727063004,0.02530538853749503,-0.08232404008244129,LogisticRegression,0.5466380789022298,WT,5
0.017841983407293073,-0.0022940382018136183,0.0007225545051128701,RandomForestClassifier,0.5259536878216123,WT,5
0.04048591479897873,0.13050710381253622,-0.208859138668249,LogisticRegression,0.5410861823361823,WT,6
-0.005486349848331651,0.0017681159420289865,0.0054545556679024805,RandomForestClassifier,0.5026424501424501,WT,6
-0.07974247022062182,-0.028839042933922844,0.14462721206306217,LogisticRegression,0.5046984831668516,WT,7
-0.003355728429985857,-0.0016228194247996253,0.0007192362093352184,RandomForestClassifier,0.5082297447280799,WT,7
-0.00919665719658373,-0.1679502933629405,0.07754847204973335,LogisticRegression,0.5015843137254902,WT,8
-0.003949876847290645,0.006007019704433491,-0.004542487684729072,RandomForestClassifier,0.4837450980392158,WT,8
-0.0719862662954008,-0.04700264339161539,0.009553341304758867,LogisticRegression,0.4766163265306122,WT,9
0.00031623931623931734,0.003397824397824404,-0.0028049728049728017,RandomForestClassifier,0.48566938775510204,WT,9
-0.14454625643654273,0.1811602637444759,0.09619308405441113,LogisticRegression,0.5465479808944853,WT,10
0.005074335322843189,0.0015529028757460721,0.0012742810634834472,RandomForestClassifier,0.528658271819366,WT,10
