awareness,confidence,correct,model,score,sub,window
0.03588352602200234,0.38772689661371623,-0.27560878155385937,LogisticRegression,0.5355246040723982,PC,0
0.0,0.0,0.0,RandomForestClassifier,0.5316558257918552,PC,0
-0.47052561887208655,0.18532433768233625,0.06787075453436862,LogisticRegression,0.5354443473193473,PC,1
4.734292425132292e-05,-0.00015762624779800115,-2.825895478567264e-05,RandomForestClassifier,0.5239058857808857,PC,1
-0.4562998875364307,-0.1684805163183466,-0.0442084760095617,LogisticRegression,0.5428395432692308,PC,2
-0.00023495827843653783,-0.0021212121212121175,-0.0013416776460254687,RandomForestClassifier,0.5500510817307692,PC,2
-0.13241106171261674,-0.08461581670792803,-0.34650521481852326,LogisticRegression,0.5365227703984821,PC,3
-0.0004839702844430327,-4.2706181471476315e-05,-3.813761322103926e-05,RandomForestClassifier,0.5474746995572424,PC,3
-0.07000000702872235,0.21459079580047075,-0.41204623200196067,LogisticRegression,0.5400524590163933,PC,4
0.0,0.0,0.0,RandomForestClassifier,0.5358819672131148,PC,4
0.11457735454776521,0.13415250328074094,-0.33704403071841016,LogisticRegression,0.5317586805555554,PC,5
0.0,0.0,0.0,RandomForestClassifier,0.5277274305555555,PC,5
-0.05428389551915742,0.028204602193261673,0.19146098754037197,LogisticRegression,0.4762783988460151,PC,6
0.0,-2.1276595744680883e-05,-4.2553191489361765e-05,RandomForestClassifier,0.48106743598990254,PC,6
-0.53204353785879,-0.11871552570622532,0.3370926090454882,LogisticRegression,0.5560544979469951,PC,7
0.003493993135011441,-0.00021214721586575446,0.0033776697177726883,RandomForestClassifier,0.5532885405001866,PC,7
-0.5207082912973539,-0.11327161672466499,0.11240985599857128,LogisticRegression,0.5430714285714285,PC,8
0.0003799630885873906,0.00011185654429369529,-0.000173458699122106,RandomForestClassifier,0.541984126984127,PC,8
-0.3584839308080506,0.2570257011352703,-0.18343431182470243,LogisticRegression,0.5289451827242524,PC,9
-2.262443438914019e-05,4.524886877828038e-05,0.0,RandomForestClassifier,0.5209468438538205,PC,9
-0.40926438247397884,0.5232303351696317,-0.3133205670705891,LogisticRegression,0.5850727513227513,PC,10
-4.298941798941747e-05,0.00011243386243386277,7.605820105820116e-05,RandomForestClassifier,0.575244708994709,PC,10
