awareness,confidence,correct,model,score,sub,window
-0.006999535940212595,0.4522083125798377,0.7582313848881372,LogisticRegression,0.5731762065095398,KK,0
0.32941269519913896,0.33559702576729394,0.33499027903356743,RandomForestClassifier,0.5787794612794612,KK,0
1.2522178453168764,1.7871699914761578,0.38947308228777816,LogisticRegression,0.7804456018518521,KK,1
0.34878198955701384,0.33521663388191575,0.31600137656107047,RandomForestClassifier,0.7795717592592593,KK,1
0.6151372554115969,1.1199495749258404,0.29651765820093723,LogisticRegression,0.6868249701314216,KK,2
0.3392103345492758,0.3383684869831083,0.3224211784676158,RandomForestClassifier,0.6847461170848268,KK,2
0.33394211344889335,0.4993593881197244,0.3227471877592305,LogisticRegression,0.6093994325346784,KK,3
0.3364046759371173,0.333164429501585,0.33043089456129754,RandomForestClassifier,0.611297288776797,KK,3
-0.08055130594089953,0.9056415910804639,0.26526229546804814,LogisticRegression,0.594282679738562,KK,4
0.3264042534332285,0.3445414652594463,0.32905428130732517,RandomForestClassifier,0.600766339869281,KK,4
