RT_awareness,RT_confidence,RT_correct,model,score,sub,window
-0.5042835212950064,0.0417402549027238,0.08949698329758926,LogisticRegression,0.6041986013986014,JZ,0
0.05672552447552446,-0.0002010489510489516,0.0026765734265734283,RandomForestClassifier,0.5912713286713287,JZ,0
-0.13999304721695033,0.1045794083320211,0.08337174712947494,LogisticRegression,0.5166261574074072,JZ,1
-3.921568627450855e-05,0.000948472412220705,0.0003233014135886936,RandomForestClassifier,0.5373668981481482,JZ,1
-0.013994984678148517,0.03800996531905777,0.1171827439935233,LogisticRegression,0.49064690026954166,JZ,2
-0.00021327014218009978,-3.6163611793155195e-06,0.00020280172823997354,RandomForestClassifier,0.5129769392033543,JZ,2
0.11332688031853765,-0.0425278687451305,0.026664487488238287,LogisticRegression,0.5112484237074402,JZ,3
0.0007618595074047673,-0.000953017343787122,0.00017343787122832188,RandomForestClassifier,0.5078609709962169,JZ,3
0.24913954895483273,0.002593048460886388,-0.1828986593270966,LogisticRegression,0.5683137254901961,JZ,4
0.00013548987184787143,-0.00026384869780901154,-0.00018551054154609337,RandomForestClassifier,0.5351192810457517,JZ,4
0.23767652242956214,-0.18339243966317997,0.05313761231314057,LogisticRegression,0.5313620689655172,JZ,5
-0.0008522323447696595,0.0015041674743167361,-2.4875621890548815e-05,RandomForestClassifier,0.5116931034482759,JZ,5
0.11948294402989439,-0.05038907542913675,0.005509430393985842,LogisticRegression,0.5007876834944505,JZ,6
-0.00018195773884775057,5.463247245801162e-05,-3.228282463427823e-05,RandomForestClassifier,0.5386143931256714,JZ,6
-0.019833188602380238,-0.03396526843538543,0.18091640523328276,LogisticRegression,0.4934895833333334,JZ,7
-0.00015765765765765827,-1.1379800853485999e-05,2.2522522522522292e-05,RandomForestClassifier,0.46488467261904765,JZ,7
-0.04146317907657977,-0.12897800837205536,0.17627751233265493,LogisticRegression,0.5170513833992095,JZ,8
-5.459598967638701e-06,-0.0005577476672622572,0.00023377010125074483,RandomForestClassifier,0.4769743083003952,JZ,8
-0.0751749433843917,-0.003574879681748923,0.08855811306681867,LogisticRegression,0.48315637860082306,JZ,9
-1.8421740266526543e-05,-0.00022863862032924064,-0.00025581395348837243,RandomForestClassifier,0.4442510288065844,JZ,9
0.033879148499379175,-0.005539653020650383,0.04456847309577979,LogisticRegression,0.46245192307692307,JZ,10
-9.52380952380949e-05,-0.00045730706075533534,-4.761904761904745e-05,RandomForestClassifier,0.45468094405594406,JZ,10
