sub,correlation,pvals,feature_name_1,feature_name_2
WT,0.2173127777352253,7.601769072605633e-08,correct,awareness
WT,0.2030618156853508,5.277031624051895e-07,correct,confidence
WT,0.17952677564452632,9.67489834420993e-06,awareness,confidence
