sub,correlation,pvals,feature_name_1,feature_name_2,r
WT,0.3701800104310606,6.3500380452471206e-21,correct,awareness,0.37018001043106064
WT,0.3326318238662735,5.746915230615607e-17,correct,confidence,0.3326318238662735
WT,0.5674507940308757,1.97501263552457e-52,awareness,confidence,0.5674507940308757
