sub,window,fold,success_high_cond_correct_low,success_high_cond_correct_high,success_high_cond_awareness_low,success_high_cond_awareness_high,success_high_cond_confidence_low,success_high_cond_confidence_high,success_high_cond_RT_correct_low,success_high_cond_RT_correct_high,success_high_cond_RT_awareness_low,success_high_cond_RT_awareness_high,success_high_cond_RT_confidence_low,success_high_cond_RT_confidence_high
SD,1,0,0.7132352941176471,0.6706586826347305,0.6918032786885245,0.6666666666666666,0.625,0.7626262626262627,0.7090464547677262,0.625,0.7032710280373832,0.48484848484848486,0.7073170731707317,0.5217391304347826
SD,1,1,0.7388059701492538,0.6607142857142857,0.680921052631579,0.6867469879518072,0.6044776119402985,0.7871287128712872,0.7014563106796117,0.7027027027027027,0.703962703962704,0.47058823529411764,0.7051597051597052,0.5319148936170213
SD,1,2,0.7391304347826086,0.6596385542168675,0.695364238410596,0.6607142857142857,0.6156716417910447,0.7722772277227723,0.7107843137254902,0.6052631578947368,0.7069767441860465,0.43333333333333335,0.7087378640776699,0.4782608695652174
SD,1,3,0.7285714285714285,0.6636363636363637,0.686084142394822,0.6770186335403726,0.6123188405797102,0.7835051546391752,0.7125603864734299,0.59375,0.7072599531615925,0.45714285714285713,0.7038834951456311,0.5111111111111111
SD,1,4,0.7272727272727273,0.665680473372781,0.6778523489932886,0.6918604651162791,0.6218181818181818,0.7692307692307693,0.7051597051597052,0.7105263157894737,0.704225352112676,0.5151515151515151,0.7083333333333334,0.5208333333333334
SD,1,5,0.7218045112781954,0.6676557863501483,0.6925675675675675,0.6666666666666666,0.6223021582733813,0.7708333333333334,0.7024390243902439,0.7297297297297297,0.7009345794392523,0.5142857142857142,0.7017114914425427,0.5434782608695652
SD,1,6,0.7463768115942029,0.6566265060240963,0.6883116883116883,0.6728395061728395,0.6096654275092936,0.7810945273631841,0.7111650485436893,0.6486486486486487,0.7058823529411765,0.5,0.711864406779661,0.4444444444444444
SD,1,7,0.726027397260274,0.6635802469135802,0.695364238410596,0.6607142857142857,0.6187050359712231,0.7760416666666666,0.708029197080292,0.6388888888888888,0.7009345794392523,0.5483870967741935,0.6995192307692307,0.5227272727272727
SD,1,8,0.7251908396946565,0.6666666666666666,0.6784565916398714,0.6918238993710691,0.6179775280898876,0.7684729064039408,0.7160493827160493,0.6052631578947368,0.7126168224299065,0.4117647058823529,0.7073170731707317,0.5
SD,1,9,0.7397260273972602,0.6574074074074074,0.686084142394822,0.6770186335403726,0.6263736263736264,0.7614213197969543,0.7121951219512195,0.6470588235294118,0.6976744186046512,0.53125,0.7007299270072993,0.5454545454545454
SD,1,10,0.7293233082706767,0.6646884272997032,0.6854304635761589,0.6785714285714286,0.6139705882352942,0.7777777777777778,0.7094430992736077,0.5833333333333334,0.7058823529411765,0.4857142857142857,0.711864406779661,0.4772727272727273
SD,1,11,0.7333333333333333,0.6626865671641791,0.686084142394822,0.6770186335403726,0.6236559139784946,0.7696335078534031,0.7100737100737101,0.6341463414634146,0.7092198581560284,0.4594594594594595,0.708433734939759,0.4772727272727273
SD,1,12,0.7463768115942029,0.6566265060240963,0.6887417218543046,0.6726190476190477,0.6195652173913043,0.7731958762886598,0.7073170731707317,0.625,0.705607476635514,0.46875,0.7070217917675545,0.4883720930232558
SD,1,13,0.7352941176470589,0.6616766467065869,0.6812080536912751,0.686046511627907,0.6223021582733813,0.7708333333333334,0.6985294117647058,0.7,0.7069767441860465,0.45161290322580644,0.7067307692307693,0.4878048780487805
SD,1,14,0.7446808510638298,0.6565349544072948,0.685064935064935,0.6790123456790124,0.602996254681648,0.7881773399014779,0.708029197080292,0.6756756756756757,0.7013888888888888,0.5,0.706601466992665,0.5111111111111111
