sub,window,fold,success_high_cond_correct_low,success_high_cond_correct_high,success_high_cond_awareness_low,success_high_cond_awareness_high,success_high_cond_confidence_low,success_high_cond_confidence_high
WT,1,0,0.5918367346938775,0.6912114014251781,0.5779467680608364,0.8115942028985508,0.5912698412698413,0.7844036697247706
WT,1,1,0.5909090909090909,0.6901408450704225,0.5961538461538461,0.7857142857142857,0.6147859922178989,0.7605633802816901
WT,1,2,0.6136363636363636,0.687793427230047,0.5827067669172933,0.8088235294117647,0.6,0.7688888888888888
WT,1,3,0.5957446808510638,0.6903073286052009,0.5970149253731343,0.7920792079207921,0.5968992248062015,0.7830188679245284
WT,1,4,0.6153846153846154,0.6889952153110048,0.5931558935361216,0.7922705314009661,0.604,0.7681818181818182
WT,1,5,0.6037735849056604,0.6906474820143885,0.6037735849056604,0.7804878048780488,0.6171875,0.7570093457943925
WT,1,6,0.6170212765957447,0.6879432624113475,0.5846153846153846,0.8,0.6,0.7688888888888888
WT,1,7,0.5918367346938775,0.6912114014251781,0.6045627376425855,0.7777777777777778,0.604,0.7681818181818182
WT,1,8,0.5833333333333334,0.6919431279620853,0.5992647058823529,0.7929292929292929,0.5967741935483871,0.7747747747747747
WT,1,9,0.4791666666666667,0.7037914691943128,0.5923076923076923,0.7904761904761904,0.5953307392996109,0.784037558685446
WT,1,10,0.5833333333333334,0.6919431279620853,0.583969465648855,0.8028846153846154,0.6172839506172839,0.748898678414097
WT,1,11,0.6222222222222222,0.6870588235294117,0.5902255639097744,0.7990196078431373,0.6039215686274509,0.772093023255814
WT,1,12,0.6086956521739131,0.6886792452830188,0.5931558935361216,0.7922705314009661,0.596078431372549,0.7813953488372093
WT,1,13,0.62,0.6880952380952381,0.5977859778597786,0.7939698492462312,0.6007905138339921,0.7741935483870968
WT,1,14,0.5434782608695652,0.6957547169811321,0.5932835820895522,0.7970297029702971,0.6086956521739131,0.7649769585253456
WT,1,15,0.6078431372549019,0.6897374701670644,0.6090225563909775,0.7745098039215687,0.6055776892430279,0.7671232876712328
WT,1,16,0.56,0.6952380952380952,0.599250936329588,0.7881773399014779,0.6062992125984252,0.7685185185185185
WT,1,17,0.5777777777777777,0.691764705882353,0.596958174904943,0.7874396135265701,0.6,0.7767441860465116
WT,1,18,0.574468085106383,0.6926713947990544,0.5946969696969697,0.7912621359223301,0.6031746031746031,0.7706422018348624
WT,1,19,0.5849056603773585,0.6930455635491607,0.5931558935361216,0.7922705314009661,0.5936254980079682,0.7808219178082192
WT,1,20,0.5925925925925926,0.6923076923076923,0.6037735849056604,0.7804878048780488,0.611764705882353,0.7627906976744186
WT,1,21,0.5777777777777777,0.691764705882353,0.6007604562737643,0.782608695652174,0.5992063492063492,0.7752293577981652
WT,1,22,0.56,0.6952380952380952,0.5938697318007663,0.7894736842105263,0.592156862745098,0.786046511627907
WT,1,23,0.574468085106383,0.6926713947990544,0.5769230769230769,0.8095238095238095,0.6,0.7727272727272727
WT,1,24,0.5319148936170213,0.6973995271867612,0.5909090909090909,0.7961165048543689,0.5856573705179283,0.7899543378995434
WT,1,25,0.6097560975609756,0.6876456876456877,0.5779467680608364,0.8115942028985508,0.5968379446640316,0.7788018433179723
WT,1,26,0.5490196078431373,0.6968973747016707,0.596958174904943,0.7874396135265701,0.604,0.7681818181818182
WT,1,27,0.6363636363636364,0.6854460093896714,0.5946969696969697,0.7912621359223301,0.5912698412698413,0.7844036697247706
WT,1,28,0.6521739130434783,0.6839622641509434,0.5910931174089069,0.7802690582959642,0.6147859922178989,0.7605633802816901
WT,1,29,0.5918367346938775,0.6912114014251781,0.585820895522388,0.806930693069307,0.6038461538461538,0.7761904761904762
WT,1,30,0.6153846153846154,0.6889952153110048,0.5886792452830188,0.8,0.5916030534351145,0.7932692307692307
WT,1,31,0.6304347826086957,0.6863207547169812,0.6037735849056604,0.7804878048780488,0.6129032258064516,0.7567567567567568
WT,1,32,0.5625,0.6943127962085308,0.5895522388059702,0.801980198019802,0.5860655737704918,0.7831858407079646
WT,1,33,0.6363636363636364,0.6854460093896714,0.582089552238806,0.8118811881188119,0.5863453815261044,0.7873303167420814
WT,1,34,0.5918367346938775,0.6912114014251781,0.5888888888888889,0.805,0.604,0.7681818181818182
WT,1,35,0.5909090909090909,0.6901408450704225,0.5680933852140078,0.8169014084507042,0.5992063492063492,0.7752293577981652
WT,1,36,0.6086956521739131,0.6886792452830188,0.59375,0.7850467289719626,0.5942622950819673,0.7743362831858407
WT,1,37,0.5416666666666666,0.6966824644549763,0.5923076923076923,0.7904761904761904,0.5914396887159533,0.7887323943661971
