sub,window,fold,attention_high_cond_RT_correct_low,attention_high_cond_RT_correct_high,attention_high_cond_RT_awareness_low,attention_high_cond_RT_awareness_high,attention_high_cond_RT_confidence_low,attention_high_cond_RT_confidence_high
WT,1,0,0.5186915887850467,0.5135135135135135,0.5225653206650831,0.5,0.5147392290249433,0.5925925925925926
WT,1,1,0.5210280373831776,0.5,0.5201900237529691,0.5121951219512195,0.5136986301369864,0.6
WT,1,2,0.5258215962441315,0.45,0.5225653206650831,0.5,0.5181818181818182,0.5517241379310345
WT,1,3,0.5210280373831776,0.4864864864864865,0.52,0.5263157894736842,0.5172413793103449,0.5588235294117647
WT,1,4,0.5233644859813084,0.4594594594594595,0.5247058823529411,0.47368421052631576,0.5159090909090909,0.5714285714285714
WT,1,5,0.5199063231850117,0.48717948717948717,0.5249406175771971,0.5,0.5192743764172335,0.5185185185185185
WT,1,6,0.5241379310344828,0.41935483870967744,0.5188679245283019,0.5641025641025641,0.5137614678899083,0.6060606060606061
WT,1,7,0.5232558139534884,0.4444444444444444,0.5152941176470588,0.575,0.5136986301369864,0.6
WT,1,8,0.522248243559719,0.47368421052631576,0.5164319248826291,0.5555555555555556,0.5205479452054794,0.5
WT,1,9,0.5199063231850117,0.4864864864864865,0.523696682464455,0.5,0.5126436781609195,0.6060606060606061
WT,1,10,0.5186046511627908,0.4857142857142857,0.5140845070422535,0.6111111111111112,0.5148741418764302,0.5806451612903226
WT,1,11,0.5221445221445221,0.4864864864864865,0.5274463007159904,0.4772727272727273,0.5159817351598174,0.5806451612903226
WT,1,12,0.5197215777262181,0.5,0.5225653206650831,0.5121951219512195,0.5125858123569794,0.6129032258064516
WT,1,13,0.5175644028103045,0.5384615384615384,0.5140845070422535,0.6111111111111112,0.5159817351598174,0.5666666666666667
WT,1,14,0.5175644028103045,0.5135135135135135,0.5212264150943396,0.5365853658536586,0.5158371040723982,0.5769230769230769
WT,1,15,0.5212264150943396,0.4878048780487805,0.5223529411764706,0.5384615384615384,0.5159817351598174,0.5666666666666667
WT,1,16,0.5219399538106235,0.5,0.5154394299287411,0.575,0.5148741418764302,0.59375
WT,1,17,0.5231481481481481,0.47058823529411764,0.5177304964539007,0.5609756097560976,0.517162471395881,0.5483870967741935
WT,1,18,0.5220417633410673,0.47058823529411764,0.518957345971564,0.5476190476190477,0.5193621867881549,0.5172413793103449
WT,1,19,0.5176470588235295,0.5128205128205128,0.5174825174825175,0.5675675675675675,0.5124716553287982,0.6428571428571429
WT,1,20,0.5231481481481481,0.45454545454545453,0.5188679245283019,0.5263157894736842,0.518348623853211,0.53125
WT,1,21,0.5211267605633803,0.5,0.5166666666666667,0.5581395348837209,0.5172413793103449,0.5588235294117647
WT,1,22,0.5176470588235295,0.525,0.514218009478673,0.5952380952380952,0.5150115473441108,0.5714285714285714
WT,1,23,0.5175644028103045,0.5,0.523696682464455,0.5121951219512195,0.5127020785219399,0.6
WT,1,24,0.5162790697674419,0.5142857142857142,0.5283018867924528,0.46153846153846156,0.517162471395881,0.5625
WT,1,25,0.5175644028103045,0.5135135135135135,0.5153664302600472,0.5789473684210527,0.5172413793103449,0.5454545454545454
WT,1,26,0.5210280373831776,0.4864864864864865,0.5152941176470588,0.5526315789473685,0.5137614678899083,0.59375
WT,1,27,0.5221445221445221,0.4864864864864865,0.5141509433962265,0.5609756097560976,0.5170068027210885,0.5714285714285714
WT,1,28,0.5198135198135199,0.4857142857142857,0.514218009478673,0.5897435897435898,0.5170842824601367,0.5517241379310345
WT,1,29,0.5257009345794392,0.43243243243243246,0.5211267605633803,0.5263157894736842,0.5147392290249433,0.5925925925925926
WT,1,30,0.5198135198135199,0.5135135135135135,0.5176470588235295,0.5526315789473685,0.5136986301369864,0.6
WT,1,31,0.5196304849884527,0.5151515151515151,0.5225653206650831,0.5238095238095238,0.5160550458715596,0.5625
WT,1,32,0.5245901639344263,0.43243243243243246,0.5212264150943396,0.5121951219512195,0.5137614678899083,0.59375
WT,1,33,0.5211267605633803,0.5,0.5152224824355972,0.5641025641025641,0.5159817351598174,0.5666666666666667
WT,1,34,0.5220417633410673,0.45454545454545453,0.5201900237529691,0.5238095238095238,0.5206422018348624,0.5
WT,1,35,0.5235849056603774,0.43902439024390244,0.5255813953488372,0.48484848484848486,0.5126436781609195,0.6176470588235294
WT,1,36,0.5209302325581395,0.4857142857142857,0.5186915887850467,0.5428571428571428,0.5148741418764302,0.5806451612903226
WT,1,37,0.5162037037037037,0.5454545454545454,0.5214285714285715,0.5,0.518348623853211,0.53125
WT,1,38,0.5218390804597701,0.4838709677419355,0.5188679245283019,0.5526315789473685,0.5170842824601367,0.5517241379310345
WT,1,39,0.5176470588235295,0.525,0.5214285714285715,0.4883720930232558,0.517162471395881,0.5625
WT,1,40,0.5187793427230047,0.5128205128205128,0.5165094339622641,0.55,0.5160550458715596,0.5757575757575758
WT,1,41,0.52,0.5,0.5202863961813843,0.5227272727272727,0.5127020785219399,0.6
WT,1,42,0.5174825174825175,0.5277777777777778,0.5285714285714286,0.4772727272727273,0.5160550458715596,0.5757575757575758
WT,1,43,0.5176470588235295,0.5128205128205128,0.514018691588785,0.5833333333333334,0.5216400911161732,0.5
WT,1,44,0.522248243559719,0.47368421052631576,0.5225653206650831,0.5121951219512195,0.5170842824601367,0.5666666666666667
WT,1,45,0.522248243559719,0.475,0.5152941176470588,0.6052631578947368,0.5148741418764302,0.59375
WT,1,46,0.5212264150943396,0.475,0.5225653206650831,0.5121951219512195,0.5180995475113123,0.5555555555555556
WT,1,47,0.5257009345794392,0.42105263157894735,0.5155131264916468,0.5581395348837209,0.5170068027210885,0.5714285714285714
WT,1,48,0.5245901639344263,0.4634146341463415,0.514218009478673,0.5714285714285714,0.5194508009153318,0.5454545454545454
WT,1,49,0.52,0.48717948717948717,0.5141509433962265,0.6,0.518348623853211,0.5454545454545454
WT,1,50,0.5234741784037559,0.475,0.5214285714285715,0.5238095238095238,0.5169300225733634,0.56
WT,1,51,0.5233644859813084,0.4473684210526316,0.5177304964539007,0.5476190476190477,0.5180180180180181,0.56
WT,1,52,0.5266821345707656,0.4117647058823529,0.5177304964539007,0.55,0.5194508009153318,0.53125
WT,1,53,0.5198135198135199,0.5,0.5200945626477541,0.5,0.5159817351598174,0.5666666666666667
WT,1,54,0.5269320843091335,0.42105263157894735,0.514218009478673,0.5581395348837209,0.5136986301369864,0.6
WT,1,55,0.5188679245283019,0.5,0.514218009478673,0.5897435897435898,0.5148063781321185,0.5862068965517241
WT,1,56,0.52,0.5,0.5224586288416075,0.5,0.517162471395881,0.5483870967741935
WT,1,57,0.5196304849884527,0.5294117647058824,0.5152224824355972,0.5833333333333334,0.5181818181818182,0.5517241379310345
WT,1,58,0.5277777777777778,0.43243243243243246,0.52,0.525,0.5170068027210885,0.5714285714285714
WT,1,59,0.5175644028103045,0.5,0.518957345971564,0.5365853658536586,0.5125858123569794,0.625
WT,1,60,0.5221445221445221,0.45714285714285713,0.5223529411764706,0.5135135135135135,0.518348623853211,0.53125
WT,1,61,0.5163551401869159,0.5263157894736842,0.5152224824355972,0.5714285714285714,0.517162471395881,0.5483870967741935
WT,1,62,0.5208333333333334,0.48484848484848486,0.5234741784037559,0.5384615384615384,0.5160550458715596,0.5757575757575758
WT,1,63,0.5174013921113689,0.5142857142857142,0.5190476190476191,0.5365853658536586,0.5172413793103449,0.5588235294117647
WT,1,64,0.5164319248826291,0.5128205128205128,0.5152224824355972,0.5882352941176471,0.5182648401826484,0.5333333333333333
WT,1,65,0.5199063231850117,0.5,0.5202863961813843,0.5348837209302325,0.504524886877828,0.7692307692307693
WT,1,66,0.5174825174825175,0.5277777777777778,0.523696682464455,0.5,0.5159817351598174,0.5806451612903226
WT,1,67,0.5173210161662818,0.5294117647058824,0.5215311004784688,0.5227272727272727,0.5138888888888888,0.5833333333333334
WT,1,68,0.5201900237529691,0.4883720930232558,0.518957345971564,0.5365853658536586,0.5170842824601367,0.5806451612903226
WT,1,69,0.5209302325581395,0.4857142857142857,0.5199063231850117,0.5,0.5202702702702703,0.52
WT,1,70,0.5211267605633803,0.47368421052631576,0.5200945626477541,0.5263157894736842,0.5137614678899083,0.6060606060606061
WT,1,71,0.5233644859813084,0.46153846153846156,0.52,0.5128205128205128,0.5146726862302483,0.6
WT,1,72,0.5220417633410673,0.47058823529411764,0.5201900237529691,0.5365853658536586,0.5147392290249433,0.6071428571428571
WT,1,73,0.5223529411764706,0.46153846153846156,0.5224586288416075,0.525,0.518348623853211,0.53125
WT,1,74,0.5151515151515151,0.5277777777777778,0.5238095238095238,0.4883720930232558,0.5125858123569794,0.6129032258064516
WT,1,75,0.5177304964539007,0.5121951219512195,0.5152224824355972,0.6,0.5170842824601367,0.5806451612903226
WT,1,76,0.5221445221445221,0.45714285714285713,0.5154394299287411,0.5476190476190477,0.5181818181818182,0.5357142857142857
WT,1,77,0.5245901639344263,0.43243243243243246,0.5200945626477541,0.5128205128205128,0.5137614678899083,0.59375
WT,1,78,0.522248243559719,0.4594594594594595,0.5166666666666667,0.5581395348837209,0.5170842824601367,0.5517241379310345
WT,1,79,0.5187793427230047,0.5,0.5201900237529691,0.5238095238095238,0.5125858123569794,0.6129032258064516
WT,1,80,0.5225653206650831,0.46511627906976744,0.5164319248826291,0.5714285714285714,0.5114678899082569,0.625
WT,1,81,0.5232558139534884,0.4864864864864865,0.5165094339622641,0.55,0.5159817351598174,0.5666666666666667
WT,1,82,0.5175644028103045,0.5263157894736842,0.5190476190476191,0.5116279069767442,0.5159090909090909,0.5862068965517241
WT,1,83,0.5279069767441861,0.3888888888888889,0.513126491646778,0.6046511627906976,0.5137614678899083,0.59375
WT,1,84,0.5234741784037559,0.4473684210526316,0.518957345971564,0.525,0.518348623853211,0.53125
WT,1,85,0.5258215962441315,0.4358974358974359,0.5166666666666667,0.5714285714285714,0.5114155251141552,0.6333333333333333
WT,1,86,0.5247058823529411,0.45,0.518957345971564,0.5365853658536586,0.5159090909090909,0.5862068965517241
WT,1,87,0.5188679245283019,0.5238095238095238,0.5201900237529691,0.5365853658536586,0.5115740740740741,0.6111111111111112
WT,1,88,0.5210280373831776,0.4864864864864865,0.5213270142180095,0.5128205128205128,0.518348623853211,0.53125
WT,1,89,0.5211267605633803,0.5,0.5190476190476191,0.5365853658536586,0.5159817351598174,0.5666666666666667
WT,1,90,0.52,0.5,0.5176470588235295,0.5675675675675675,0.5160550458715596,0.5625
WT,1,91,0.5223529411764706,0.46153846153846156,0.5155131264916468,0.5714285714285714,0.5160550458715596,0.5625
WT,1,92,0.5164319248826291,0.5384615384615384,0.5224586288416075,0.5128205128205128,0.517162471395881,0.5625
WT,1,93,0.5212264150943396,0.475,0.5152941176470588,0.5526315789473685,0.5148741418764302,0.5806451612903226
WT,1,94,0.5257009345794392,0.4166666666666667,0.5258215962441315,0.4444444444444444,0.5136986301369864,0.6
WT,1,95,0.5253456221198156,0.4375,0.5200945626477541,0.5384615384615384,0.5126436781609195,0.6060606060606061
WT,1,96,0.5245901639344263,0.46153846153846156,0.513126491646778,0.5681818181818182,0.5182648401826484,0.5333333333333333
WT,1,97,0.5233644859813084,0.4594594594594595,0.518957345971564,0.525,0.5159817351598174,0.5806451612903226
WT,1,98,0.5209302325581395,0.47058823529411764,0.52,0.5128205128205128,0.5136986301369864,0.6129032258064516
WT,1,99,0.5199063231850117,0.5,0.5263157894736842,0.4888888888888889,0.5147392290249433,0.5925925925925926
WT,2,0,0.5299760191846523,0.47368421052631576,0.5143540669856459,0.5277777777777778,0.5187793427230047,0.53125
WT,2,1,0.5299760191846523,0.4864864864864865,0.5180722891566265,0.5263157894736842,0.5163551401869159,0.5666666666666667
WT,2,2,0.5298329355608592,0.4594594594594595,0.5183374083129584,0.4883720930232558,0.5070093457943925,0.7096774193548387
WT,2,3,0.5346062052505967,0.40540540540540543,0.5096153846153846,0.5945945945945946,0.5130023640661938,0.5833333333333334
WT,2,4,0.5311004784688995,0.4594594594594595,0.5180722891566265,0.5384615384615384,0.5164319248826291,0.5625
WT,2,5,0.5301204819277109,0.48717948717948717,0.5171568627450981,0.5227272727272727,0.52,0.5151515151515151
WT,2,6,0.5273159144893111,0.5,0.5183374083129584,0.5,0.5186046511627908,0.5517241379310345
WT,2,7,0.5344418052256532,0.4,0.5135135135135135,0.5652173913043478,0.5104895104895105,0.6551724137931034
WT,2,8,0.5284360189573459,0.48484848484848486,0.5218446601941747,0.4878048780487805,0.5150812064965197,0.5714285714285714
WT,2,9,0.5323741007194245,0.4358974358974359,0.5157384987893463,0.5,0.5128205128205128,0.6
WT,2,10,0.5325301204819277,0.45,0.5155131264916468,0.5405405405405406,0.5163551401869159,0.5666666666666667
WT,2,11,0.5278450363196125,0.5121951219512195,0.5230024213075061,0.475,0.5093896713615024,0.65625
WT,2,12,0.5334928229665071,0.43243243243243246,0.5132530120481927,0.5641025641025641,0.5153664302600472,0.5714285714285714
WT,2,13,0.5311004784688995,0.4722222222222222,0.5180722891566265,0.5128205128205128,0.5188679245283019,0.5428571428571428
WT,2,14,0.5261904761904762,0.5,0.5155875299760192,0.5428571428571428,0.5140845070422535,0.59375
WT,2,15,0.5296912114014252,0.47058823529411764,0.5181598062953995,0.525,0.5175644028103045,0.5483870967741935
WT,2,16,0.5176470588235295,0.59375,0.5108958837772397,0.5897435897435898,0.5104895104895105,0.6551724137931034
WT,2,17,0.5278450363196125,0.5,0.5192307692307693,0.5135135135135135,0.5116822429906542,0.6333333333333333
WT,2,18,0.5296912114014252,0.45714285714285713,0.5264423076923077,0.4473684210526316,0.5174825174825175,0.5666666666666667
WT,2,19,0.5264423076923077,0.5,0.5219512195121951,0.4772727272727273,0.5198135198135199,0.5172413793103449
WT,2,20,0.5289855072463768,0.4878048780487805,0.5119617224880383,0.5757575757575758,0.5164319248826291,0.5625
WT,2,21,0.5273159144893111,0.5,0.5195121951219512,0.5,0.5174825174825175,0.5517241379310345
WT,2,22,0.53125,0.47368421052631576,0.5180722891566265,0.5263157894736842,0.5187793427230047,0.53125
