sub,window,fold,success_high_cond_RT_correct_low,success_high_cond_RT_correct_high,success_high_cond_RT_awareness_low,success_high_cond_RT_awareness_high,success_high_cond_RT_confidence_low,success_high_cond_RT_confidence_high
HB,1,0,0.6814814814814815,0.5319148936170213,0.6797066014669927,0.5952380952380952,0.6903553299492385,0.5636363636363636
HB,1,1,0.6882793017456359,0.5,0.6838235294117647,0.5897435897435898,0.6863753213367609,0.6
HB,1,2,0.6881188118811881,0.4897959183673469,0.6919315403422983,0.5384615384615384,0.6968911917098446,0.576271186440678
HB,1,3,0.6831683168316832,0.5434782608695652,0.687192118226601,0.5897435897435898,0.6938775510204082,0.55
HB,1,4,0.6814814814814815,0.5416666666666666,0.6896551724137931,0.5581395348837209,0.6919191919191919,0.5769230769230769
HB,1,5,0.6840796019900498,0.5208333333333334,0.6838235294117647,0.5952380952380952,0.6881443298969072,0.5967741935483871
HB,1,6,0.681704260651629,0.54,0.6862745098039216,0.5897435897435898,0.7005208333333334,0.532258064516129
HB,1,7,0.6838235294117647,0.4772727272727273,0.6805896805896806,0.5476190476190477,0.6863753213367609,0.603448275862069
HB,1,8,0.6799007444168734,0.5531914893617021,0.6847290640394089,0.6153846153846154,0.6940874035989717,0.55
HB,1,9,0.693069306930693,0.4489795918367347,0.6861313868613139,0.5641025641025641,0.6881188118811881,0.574468085106383
HB,1,10,0.6799007444168734,0.5434782608695652,0.6740196078431373,0.6829268292682927,0.6913265306122449,0.543859649122807
HB,1,11,0.6915422885572139,0.49019607843137253,0.6855036855036855,0.5789473684210527,0.7017994858611826,0.5517241379310345
HB,1,12,0.6896551724137931,0.44680851063829785,0.6780487804878049,0.6410256410256411,0.6971279373368147,0.5573770491803278
HB,1,13,0.6790123456790124,0.5454545454545454,0.6786570743405276,0.65625,0.7010309278350515,0.559322033898305
HB,1,14,0.684596577017115,0.5,0.6821515892420538,0.5789473684210527,0.6852791878172588,0.5964912280701754
HB,1,15,0.6898263027295285,0.4791666666666667,0.6813725490196079,0.631578947368421,0.7005208333333334,0.5161290322580645
HB,1,16,0.6928746928746928,0.4186046511627907,0.6878048780487804,0.5405405405405406,0.7055837563451777,0.48214285714285715
HB,1,17,0.683291770573566,0.5490196078431373,0.687192118226601,0.5555555555555556,0.6884422110552764,0.5660377358490566
HB,1,18,0.6896551724137931,0.48936170212765956,0.6844660194174758,0.5833333333333334,0.6961038961038961,0.5666666666666667
HB,1,19,0.6804878048780488,0.5416666666666666,0.6765432098765433,0.627906976744186,0.6835443037974683,0.5925925925925926
HB,1,20,0.6881188118811881,0.5,0.691358024691358,0.525,0.6976744186046512,0.5409836065573771
HB,1,21,0.687960687960688,0.4888888888888889,0.6887254901960784,0.5609756097560976,0.699228791773779,0.559322033898305
HB,1,22,0.6814814814814815,0.5217391304347826,0.6843373493975904,0.5675675675675675,0.6911392405063291,0.6037735849056604
HB,1,23,0.6856435643564357,0.5,0.6780487804878049,0.6,0.6878172588832487,0.6206896551724138
HB,1,24,0.6839506172839506,0.5106382978723404,0.6853658536585366,0.5789473684210527,0.6944444444444444,0.5454545454545454
HB,1,25,0.6923076923076923,0.4583333333333333,0.6885644768856448,0.5526315789473685,0.6923076923076923,0.5614035087719298
HB,1,26,0.6904176904176904,0.48936170212765956,0.6823821339950372,0.5909090909090909,0.696969696969697,0.5471698113207547
HB,1,27,0.6904176904176904,0.4222222222222222,0.6781326781326781,0.627906976744186,0.6976744186046512,0.559322033898305
HB,1,28,0.6898263027295285,0.46938775510204084,0.6803874092009685,0.5714285714285714,0.7020725388601037,0.53125
