sub,window,fold,attention_high_cond_correct_low,attention_high_cond_correct_high,attention_high_cond_awareness_low,attention_high_cond_awareness_high,attention_high_cond_confidence_low,attention_high_cond_confidence_high
KS,1,0,0.5454545454545454,0.48623853211009177,0.5357142857142857,0.4253731343283582,0.5333333333333333,0.4594594594594595
KS,1,1,0.5407407407407407,0.48955223880597015,0.5239520958083832,0.45588235294117646,0.5480427046263345,0.43915343915343913
KS,1,2,0.5337837837837838,0.4906832298136646,0.5373134328358209,0.4222222222222222,0.5376344086021505,0.45549738219895286
KS,1,3,0.543046357615894,0.48589341692789967,0.5315315315315315,0.43795620437956206,0.5454545454545454,0.44021739130434784
KS,1,4,0.547945205479452,0.4845679012345679,0.5405405405405406,0.41605839416058393,0.5471014492753623,0.44329896907216493
KS,1,5,0.5277777777777778,0.4938650306748466,0.5285285285285285,0.44525547445255476,0.5523465703971119,0.43523316062176165
KS,1,6,0.5310344827586206,0.49230769230769234,0.5427728613569321,0.40458015267175573,0.5519713261648745,0.43455497382198954
KS,1,7,0.5202702702702703,0.4968944099378882,0.5377906976744186,0.4126984126984127,0.549645390070922,0.43617021276595747
KS,1,8,0.5490196078431373,0.48264984227129337,0.5252225519287834,0.45112781954887216,0.5406360424028268,0.44919786096256686
KS,1,9,0.5342465753424658,0.49074074074074076,0.55,0.38461538461538464,0.545774647887324,0.44086021505376344
KS,1,10,0.5539568345323741,0.48338368580060426,0.5384615384615384,0.4166666666666667,0.5512367491166078,0.43315508021390375
KS,1,11,0.5594405594405595,0.4801223241590214,0.5355029585798816,0.42424242424242425,0.5587188612099644,0.42328042328042326
KS,1,12,0.5314685314685315,0.4923547400611621,0.5384615384615384,0.4166666666666667,0.5523465703971119,0.43523316062176165
KS,1,13,0.5563380281690141,0.4817073170731707,0.5432835820895522,0.4074074074074074,0.545774647887324,0.44086021505376344
KS,1,14,0.512987012987013,0.5,0.5358166189111748,0.4132231404958678,0.5322033898305085,0.45714285714285713
KS,1,15,0.5100671140939598,0.5015576323987538,0.5373134328358209,0.4222222222222222,0.5516014234875445,0.43386243386243384
KS,1,16,0.5347222222222222,0.49079754601226994,0.5391566265060241,0.42028985507246375,0.5595667870036101,0.42487046632124353
KS,1,17,0.5234899328859061,0.4953271028037383,0.5405405405405406,0.41605839416058393,0.5531135531135531,0.4365482233502538
KS,1,18,0.5328947368421053,0.49056603773584906,0.5459940652818991,0.39849624060150374,0.5594405594405595,0.41847826086956524
KS,1,19,0.547945205479452,0.4845679012345679,0.5355029585798816,0.42424242424242425,0.5539568345323741,0.4322916666666667
KS,1,20,0.5436241610738255,0.48598130841121495,0.5380116959064327,0.4140625,0.5403508771929825,0.4486486486486487
KS,1,21,0.5306122448979592,0.49226006191950467,0.5502958579881657,0.38636363636363635,0.5477031802120141,0.4385026737967914
KS,1,22,0.5342465753424658,0.49074074074074076,0.5492537313432836,0.3925925925925926,0.5507246376811594,0.4381443298969072
KS,1,23,0.5586206896551724,0.48,0.5375722543352601,0.4112903225806452,0.5517241379310345,0.42777777777777776
KS,1,24,0.5416666666666666,0.48773006134969327,0.5339233038348082,0.42748091603053434,0.5535714285714286,0.43157894736842106
KS,1,25,0.5306122448979592,0.49226006191950467,0.5359281437125748,0.4264705882352941,0.5368421052631579,0.4540540540540541
KS,1,26,0.5594405594405595,0.4801223241590214,0.5451807228915663,0.4057971014492754,0.555956678700361,0.43005181347150256
KS,1,27,0.5503355704697986,0.48286604361370716,0.5562130177514792,0.3712121212121212,0.5547703180212014,0.42780748663101603
KS,1,28,0.572463768115942,0.4759036144578313,0.5532544378698225,0.3787878787878788,0.5704225352112676,0.4032258064516129
KS,1,29,0.4861111111111111,0.5122699386503068,0.530791788856305,0.43410852713178294,0.545774647887324,0.44086021505376344
KS,1,30,0.539568345323741,0.48942598187311176,0.5339233038348082,0.42748091603053434,0.5517241379310345,0.42777777777777776
KS,1,31,0.5570469798657718,0.4797507788161994,0.5350877192982456,0.421875,0.5567375886524822,0.425531914893617
KS,1,32,0.5540540540540541,0.4813664596273292,0.543026706231454,0.40601503759398494,0.5460992907801419,0.44148936170212766
KS,1,33,0.541095890410959,0.4876543209876543,0.5343283582089552,0.42962962962962964,0.555956678700361,0.43005181347150256
KS,1,34,0.5524475524475524,0.4831804281345566,0.5382262996941896,0.42657342657342656,0.5471014492753623,0.44329896907216493
KS,1,35,0.5533333333333333,0.48125,0.5454545454545454,0.3953488372093023,0.5629370629370629,0.41304347826086957
KS,1,36,0.5379310344827586,0.48923076923076925,0.5454545454545454,0.40714285714285714,0.5434782608695652,0.4484536082474227
KS,1,37,0.5608108108108109,0.4782608695652174,0.547112462006079,0.40425531914893614,0.5539568345323741,0.4322916666666667
KS,1,38,0.5136986301369864,0.5,0.5436046511627907,0.3968253968253968,0.5528169014084507,0.43010752688172044
KS,1,39,0.5337837837837838,0.4906832298136646,0.533724340175953,0.4263565891472868,0.5567375886524822,0.425531914893617
KS,1,40,0.525974025974026,0.4936708860759494,0.5359281437125748,0.4264705882352941,0.5451263537906137,0.44559585492227977
KS,1,41,0.5205479452054794,0.49691358024691357,0.5414201183431953,0.4090909090909091,0.5400696864111498,0.44808743169398907
KS,1,42,0.5460992907801419,0.48632218844984804,0.5327380952380952,0.43283582089552236,0.5477031802120141,0.4385026737967914
KS,1,43,0.5416666666666666,0.48773006134969327,0.5319148936170213,0.4397163120567376,0.5373134328358209,0.4603960396039604
KS,1,44,0.5068493150684932,0.5030864197530864,0.5281899109792285,0.44360902255639095,0.5371024734982333,0.45454545454545453
KS,1,45,0.5298013245033113,0.49216300940438873,0.538235294117647,0.4153846153846154,0.5384615384615384,0.45108695652173914
KS,1,46,0.5220588235294118,0.49700598802395207,0.5391566265060241,0.42028985507246375,0.5492957746478874,0.43548387096774194
KS,1,47,0.5277777777777778,0.4938650306748466,0.5384615384615384,0.4166666666666667,0.5512367491166078,0.43315508021390375
KS,1,48,0.5547945205479452,0.48148148148148145,0.5470588235294118,0.3923076923076923,0.5528169014084507,0.43010752688172044
KS,1,49,0.5594405594405595,0.4801223241590214,0.5435435435435435,0.40875912408759124,0.5719424460431655,0.40625
KS,1,50,0.5147058823529411,0.5,0.5555555555555556,0.3795620437956204,0.5503597122302158,0.4375
KS,1,51,0.5547445255474452,0.48348348348348347,0.5476190476190477,0.39552238805970147,0.5555555555555556,0.435
KS,1,52,0.5102040816326531,0.5015479876160991,0.5375375375375375,0.4233576642335766,0.5370370370370371,0.46
KS,1,53,0.55,0.48484848484848486,0.5389221556886228,0.41911764705882354,0.5432525951557093,0.4419889502762431
KS,1,54,0.5314685314685315,0.4923547400611621,0.5304878048780488,0.44366197183098594,0.5362318840579711,0.4587628865979381
KS,1,55,0.5384615384615384,0.4892966360856269,0.5373134328358209,0.4222222222222222,0.549645390070922,0.43617021276595747
KS,1,56,0.5306122448979592,0.49226006191950467,0.5370919881305638,0.42105263157894735,0.5508771929824562,0.43243243243243246
KS,1,57,0.541095890410959,0.4876543209876543,0.5398773006134969,0.4236111111111111,0.5441176470588235,0.4494949494949495
KS,1,58,0.5379310344827586,0.48923076923076925,0.5389221556886228,0.41911764705882354,0.5464285714285714,0.4421052631578947
KS,1,59,0.5611510791366906,0.48036253776435045,0.5416666666666666,0.41044776119402987,0.549645390070922,0.43617021276595747
KS,1,60,0.5460526315789473,0.48427672955974843,0.5411764705882353,0.4076923076923077,0.5578947368421052,0.42162162162162165
KS,1,61,0.5104895104895105,0.5015290519877675,0.5427728613569321,0.40458015267175573,0.5480427046263345,0.43915343915343913
KS,1,62,0.5724137931034483,0.47384615384615386,0.5522388059701493,0.3851851851851852,0.5622775800711743,0.41798941798941797
KS,1,63,0.5238095238095238,0.4953560371517028,0.5292397660818714,0.4375,0.5470383275261324,0.4371584699453552
KS,1,64,0.5602836879432624,0.48024316109422494,0.5339506172839507,0.4383561643835616,0.5487364620938628,0.44041450777202074
KS,1,65,0.5163398692810458,0.49842271293375395,0.5327380952380952,0.43283582089552236,0.5409252669039146,0.4497354497354497
KS,1,66,0.5314685314685315,0.4923547400611621,0.5269461077844312,0.4485294117647059,0.5519713261648745,0.43455497382198954
KS,1,67,0.538961038961039,0.4873417721518987,0.5315315315315315,0.43795620437956206,0.5406360424028268,0.44919786096256686
KS,1,68,0.5369127516778524,0.48909657320872274,0.5309734513274337,0.4351145038167939,0.5319148936170213,0.4627659574468085
KS,1,69,0.5436241610738255,0.48598130841121495,0.5249266862170088,0.4496124031007752,0.5448028673835126,0.44502617801047123
KS,1,70,0.5570469798657718,0.4797507788161994,0.5457227138643068,0.3969465648854962,0.5519713261648745,0.43455497382198954
KS,1,71,0.5510204081632653,0.48297213622291024,0.5515151515151515,0.39285714285714285,0.5494505494505495,0.4416243654822335
KS,1,72,0.5294117647058824,0.4940119760479042,0.5400593471810089,0.41353383458646614,0.5464285714285714,0.4421052631578947
KS,1,73,0.4966887417218543,0.5078369905956113,0.5377906976744186,0.4126984126984127,0.5536332179930796,0.425414364640884
KS,1,74,0.5547945205479452,0.48148148148148145,0.5335365853658537,0.43661971830985913,0.5437956204379562,0.4489795918367347
KS,1,75,0.4965034965034965,0.5076452599388379,0.5405405405405406,0.41605839416058393,0.5464285714285714,0.4421052631578947
KS,1,76,0.5407407407407407,0.48955223880597015,0.5386904761904762,0.417910447761194,0.5535714285714286,0.43157894736842106
