sub,window,fold,success_high_cond_RT_correct_low,success_high_cond_RT_correct_high,success_high_cond_RT_awareness_low,success_high_cond_RT_awareness_high,success_high_cond_RT_confidence_low,success_high_cond_RT_confidence_high
WT,1,0,0.7166212534059946,0.5573770491803278,0.6666666666666666,0.7307692307692307,0.6816901408450704,0.6823529411764706
WT,1,1,0.7150684931506849,0.5573770491803278,0.6692506459948321,0.7254901960784313,0.6875,0.6630434782608695
WT,1,2,0.7178082191780822,0.5901639344262295,0.6743002544529262,0.6730769230769231,0.680672268907563,0.6785714285714286
WT,1,3,0.726027397260274,0.532258064516129,0.6744791666666666,0.6785714285714286,0.6861111111111111,0.6588235294117647
WT,1,4,0.7213114754098361,0.5666666666666667,0.6692506459948321,0.7307692307692307,0.6825842696629213,0.6896551724137931
WT,1,5,0.7202216066481995,0.5396825396825397,0.6752577319587629,0.6938775510204082,0.6901408450704225,0.6395348837209303
WT,1,6,0.7127371273712737,0.5818181818181818,0.6649484536082474,0.72,0.6862745098039216,0.6470588235294118
WT,1,7,0.7146739130434783,0.5357142857142857,0.6726804123711341,0.6923076923076923,0.6821917808219178,0.7
WT,1,8,0.7084468664850136,0.5666666666666667,0.6795865633074936,0.6666666666666666,0.6771428571428572,0.7032967032967034
WT,1,9,0.7277628032345014,0.5423728813559322,0.6570680628272252,0.7777777777777778,0.6842105263157895,0.6707317073170732
WT,1,10,0.7169811320754716,0.5333333333333333,0.6726804123711341,0.7,0.6861111111111111,0.6785714285714286
WT,1,11,0.71900826446281,0.5423728813559322,0.6709844559585493,0.6792452830188679,0.6810344827586207,0.6774193548387096
WT,1,12,0.7243243243243244,0.5192307692307693,0.6640625,0.72,0.6888888888888889,0.6547619047619048
WT,1,13,0.7162534435261708,0.5666666666666667,0.6794871794871795,0.673469387755102,0.6834733893557423,0.6931818181818182
WT,1,14,0.7205479452054795,0.5245901639344263,0.6753246753246753,0.6909090909090909,0.6878453038674033,0.6666666666666666
WT,1,15,0.7247956403269755,0.5178571428571429,0.6717557251908397,0.6808510638297872,0.6820652173913043,0.6883116883116883
WT,1,16,0.7229916897506925,0.5333333333333333,0.6640419947506562,0.75,0.6883852691218131,0.6477272727272727
WT,1,17,0.7138964577656676,0.5892857142857143,0.6615776081424937,0.7446808510638298,0.6685552407932012,0.7282608695652174
WT,1,18,0.7131367292225201,0.559322033898305,0.676923076923077,0.6730769230769231,0.6813186813186813,0.6875
WT,1,19,0.7146739130434783,0.5636363636363636,0.671875,0.6792452830188679,0.6901408450704225,0.6588235294117647
WT,1,20,0.7240437158469946,0.5,0.6718346253229974,0.68,0.6825842696629213,0.6666666666666666
WT,1,21,0.7209944751381215,0.559322033898305,0.6759493670886076,0.6888888888888889,0.6868131868131868,0.6666666666666666
WT,1,22,0.7220708446866485,0.543859649122807,0.6684073107049608,0.75,0.6833333333333333,0.6823529411764706
WT,1,23,0.7178082191780822,0.5645161290322581,0.6709511568123393,0.6938775510204082,0.6840659340659341,0.6419753086419753
WT,1,24,0.7178082191780822,0.559322033898305,0.6701030927835051,0.6981132075471698,0.6833333333333333,0.6904761904761905
