sub,window,fold,attention_high_cond_correct_low,attention_high_cond_correct_high,attention_high_cond_awareness_low,attention_high_cond_awareness_high,attention_high_cond_confidence_low,attention_high_cond_confidence_high
WT,1,0,0.4596774193548387,0.5433526011560693,0.5047619047619047,0.5548387096774193,0.5092250922509225,0.5376884422110553
WT,1,1,0.45528455284552843,0.5446685878962536,0.5078864353312302,0.5490196078431373,0.5126353790613718,0.533678756476684
WT,1,2,0.456,0.5449275362318841,0.5172413793103449,0.5298013245033113,0.5109489051094891,0.5357142857142857
WT,1,3,0.453781512605042,0.5441595441595442,0.5264797507788161,0.5100671140939598,0.5018587360594795,0.5472636815920398
WT,1,4,0.456,0.5449275362318841,0.5079872204472844,0.5477707006369427,0.5038167938931297,0.5432692307692307
WT,1,5,0.44881889763779526,0.5481049562682215,0.5248447204968945,0.5135135135135135,0.5259259259259259,0.515
WT,1,6,0.46774193548387094,0.5404624277456648,0.5248447204968945,0.5135135135135135,0.5276752767527675,0.5125628140703518
WT,1,7,0.46511627906976744,0.5425219941348973,0.5046153846153846,0.5586206896551724,0.5108695652173914,0.5360824742268041
WT,1,8,0.47580645161290325,0.5375722543352601,0.5141065830721003,0.5364238410596026,0.5126353790613718,0.533678756476684
WT,1,9,0.45038167938931295,0.5486725663716814,0.5166163141993958,0.5323741007194245,0.5035714285714286,0.5473684210526316
WT,1,10,0.45528455284552843,0.5446685878962536,0.5217391304347826,0.5202702702702703,0.5144927536231884,0.5309278350515464
WT,1,11,0.4462809917355372,0.5472779369627507,0.5207667731629393,0.5222929936305732,0.516245487364621,0.5284974093264249
WT,1,12,0.44,0.5507246376811594,0.5107692307692308,0.5448275862068965,0.5108695652173914,0.5360824742268041
WT,1,13,0.4796747967479675,0.5360230547550432,0.5125786163522013,0.5394736842105263,0.5072463768115942,0.5412371134020618
WT,1,14,0.44,0.5507246376811594,0.5138461538461538,0.5379310344827586,0.5109489051094891,0.5357142857142857
WT,1,15,0.45384615384615384,0.5470588235294118,0.5077881619937694,0.5503355704697986,0.5070921985815603,0.5425531914893617
WT,1,16,0.475,0.5371428571428571,0.5206349206349207,0.5225806451612903,0.5145985401459854,0.5306122448979592
WT,1,17,0.47107438016528924,0.5386819484240688,0.5220125786163522,0.5197368421052632,0.5147058823529411,0.5303030303030303
WT,1,18,0.4609375,0.543859649122807,0.5174603174603175,0.5290322580645161,0.5220588235294118,0.5202020202020202
WT,1,19,0.4728682170542636,0.5395894428152492,0.5240963855421686,0.5144927536231884,0.5228070175438596,0.518918918918919
WT,1,20,0.48,0.5362318840579711,0.5207667731629393,0.5222929936305732,0.52,0.5230769230769231
WT,1,21,0.4915254237288136,0.53125,0.5316455696202531,0.5,0.5145985401459854,0.5306122448979592
WT,1,22,0.46774193548387094,0.5404624277456648,0.5125786163522013,0.5394736842105263,0.5018315018315018,0.5482233502538071
WT,1,23,0.4621212121212121,0.5443786982248521,0.5329153605015674,0.4966887417218543,0.5289855072463768,0.5103092783505154
WT,1,24,0.4745762711864407,0.5369318181818182,0.5189873417721519,0.525974025974026,0.4981549815498155,0.5527638190954773
WT,1,25,0.48360655737704916,0.5344827586206896,0.5077881619937694,0.5503355704697986,0.5127272727272727,0.5333333333333333
WT,1,26,0.4672131147540984,0.5402298850574713,0.5047021943573667,0.5562913907284768,0.5018587360594795,0.5472636815920398
WT,1,27,0.475,0.5371428571428571,0.5171339563862928,0.5302013422818792,0.5215827338129496,0.5208333333333334
WT,1,28,0.4426229508196721,0.5488505747126436,0.5159235668789809,0.532051282051282,0.5072992700729927,0.5408163265306123
WT,1,29,0.456,0.5449275362318841,0.5169230769230769,0.5310344827586206,0.5181159420289855,0.5257731958762887
WT,1,30,0.46825396825396826,0.5406976744186046,0.5217391304347826,0.5202702702702703,0.5161290322580645,0.5287958115183246
WT,1,31,0.45384615384615384,0.5470588235294118,0.5246913580246914,0.5136986301369864,0.5197132616487455,0.5235602094240838
WT,1,32,0.48739495798319327,0.5327635327635327,0.5111821086261981,0.5414012738853503,0.5111111111111111,0.535
WT,1,33,0.4918032786885246,0.5316091954022989,0.5259938837920489,0.5104895104895105,0.5182481751824818,0.5255102040816326
WT,1,34,0.4596774193548387,0.5433526011560693,0.5111821086261981,0.5414012738853503,0.5054945054945055,0.5431472081218274
WT,1,35,0.47540983606557374,0.5373563218390804,0.5318471337579618,0.5,0.5144927536231884,0.5309278350515464
WT,1,36,0.48412698412698413,0.5348837209302325,0.5185185185185185,0.5273972602739726,0.5053763440860215,0.5445026178010471
WT,1,37,0.4796747967479675,0.5360230547550432,0.5182926829268293,0.528169014084507,0.5107913669064749,0.5364583333333334
WT,1,38,0.46825396825396826,0.5406976744186046,0.526813880126183,0.5098039215686274,0.5276752767527675,0.5125628140703518
WT,1,39,0.45454545454545453,0.5444126074498568,0.5264797507788161,0.5100671140939598,0.5075187969924813,0.5392156862745098
WT,1,40,0.464,0.5420289855072464,0.509493670886076,0.5454545454545454,0.5054545454545455,0.5435897435897435
WT,1,41,0.45528455284552843,0.5446685878962536,0.5232198142414861,0.5170068027210885,0.5212765957446809,0.5212765957446809
WT,1,42,0.4728682170542636,0.5395894428152492,0.5122699386503068,0.5416666666666666,0.5018181818181818,0.5487179487179488
WT,1,43,0.4666666666666667,0.54,0.5141065830721003,0.5364238410596026,0.5091575091575091,0.5380710659898477
WT,1,44,0.43902439024390244,0.5504322766570605,0.5170278637770898,0.5306122448979592,0.5128205128205128,0.5329949238578681
WT,1,45,0.48,0.5362318840579711,0.5217391304347826,0.5202702702702703,0.516245487364621,0.5284974093264249
WT,1,46,0.4696969696969697,0.5414201183431953,0.5230769230769231,0.5172413793103449,0.5107913669064749,0.5364583333333334
WT,1,47,0.4728682170542636,0.5395894428152492,0.5141065830721003,0.5364238410596026,0.5090252707581228,0.538860103626943
WT,1,48,0.4369747899159664,0.5498575498575499,0.526813880126183,0.5098039215686274,0.5201465201465202,0.5228426395939086
WT,1,49,0.4921875,0.5321637426900585,0.5157232704402516,0.5328947368421053,0.5166051660516605,0.5276381909547738
WT,1,50,0.4274193548387097,0.5549132947976878,0.5125,0.54,0.516728624535316,0.527363184079602
WT,1,51,0.45528455284552843,0.5446685878962536,0.5108359133126935,0.54421768707483,0.5090252707581228,0.538860103626943
WT,1,52,0.4715447154471545,0.5389048991354467,0.5245398773006135,0.5138888888888888,0.5110294117647058,0.5353535353535354
WT,1,53,0.4444444444444444,0.5494186046511628,0.5125,0.54,0.5071428571428571,0.5421052631578948
WT,1,54,0.460431654676259,0.5468277945619335,0.5245398773006135,0.5138888888888888,0.5090252707581228,0.538860103626943
WT,1,55,0.46511627906976744,0.5425219941348973,0.5175718849840255,0.5286624203821656,0.5131086142322098,0.5320197044334976
