,pvalue,p_corrected,interpret,experiment,features
1>3,0.00037996200379962,0.0011398860113988598,**,pos,all
1>2,0.000397960203979602,0.001193880611938806,**,pos,all
2>3,0.02280771922807718,0.06842315768423154,ns,pos,all
confidence>RT_awareness,9.999000099989991e-05,0.0014998500149984986,**,pos,all
confidence>RT_correct,9.999000099989991e-05,0.0014998500149984986,**,pos,all
confidence>correct,9.999000099989991e-05,0.0014998500149984986,**,pos,all
confidence>RT_confidence,0.0001019898010198979,0.0015298470152984686,**,pos,all
awareness>RT_awareness,0.0002219778022197778,0.0033296670332966668,**,pos,all
awareness>RT_confidence,0.0002479752024797519,0.003719628037196278,**,pos,all
awareness>RT_correct,0.0002569743025697429,0.0038546145385461436,**,pos,all
awareness>correct,0.0003679632036796319,0.005519448055194478,**,pos,all
correct>RT_awareness,0.001735826417358264,0.02603739626037396,*,pos,all
correct>RT_correct,0.019969003099690033,0.2995350464953505,ns,pos,all
RT_confidence>RT_awareness,0.03416158384161585,0.5124237576242378,ns,pos,all
correct>RT_confidence,0.060978902109789034,0.9146835316468355,ns,pos,all
RT_correct>RT_awareness,0.126023397660234,1.0,ns,pos,all
RT_confidence>RT_correct,0.274008599140086,1.0,ns,pos,all
awareness>confidence,0.28678232176782326,1.0,ns,pos,all
1>2,0.013380661933806619,0.04014198580141986,*,att,all
1>3,0.014255574442555749,0.04276672332766725,*,att,all
2>3,0.2454174582541746,0.7362523747625238,ns,att,all
confidence>RT_correct,0.00028297170282971687,0.004244575542445753,**,att,all
confidence>RT_awareness,0.000811918808119188,0.01217878212178782,*,att,all
confidence>RT_confidence,0.0018298170182981703,0.027447255274472556,*,att,all
confidence>correct,0.010802919708029192,0.16204379562043789,ns,att,all
awareness>RT_correct,0.05757624237576239,0.8636436356364359,ns,att,all
correct>RT_correct,0.05874712528747127,0.8812068793120691,ns,att,all
correct>RT_confidence,0.07001899810018997,1.0,ns,att,all
awareness>RT_awareness,0.0813098690130987,1.0,ns,att,all
awareness>RT_confidence,0.08205779422057793,1.0,ns,att,all
confidence>awareness,0.08410158984101594,1.0,ns,att,all
correct>RT_awareness,0.08478752124787521,1.0,ns,att,all
awareness>correct,0.21377362263773636,1.0,ns,att,all
RT_awareness>RT_confidence,0.37518548145185493,1.0,ns,att,all
RT_awareness>RT_correct,0.3951464853514649,1.0,ns,att,all
RT_correct>RT_confidence,0.49293270672932704,1.0,ns,att,all
1>3,0.00011998800119987984,0.0003599640035996395,***,pos,judgment
1>2,0.00014098590140985883,0.0004229577042295765,***,pos,judgment
2>3,0.0012128787121287868,0.0036386361363863603,**,pos,judgment
confidence>correct,0.00010198980101989792,0.00030596940305969376,***,pos,judgment
awareness>correct,0.0005329467053294669,0.0015988401159884006,**,pos,judgment
awareness>confidence,0.3227757224277571,0.9683271672832713,ns,pos,judgment
1>3,0.0052674732526747335,0.0158024197580242,*,att,judgment
1>2,0.009949005099490052,0.029847015298470156,*,att,judgment
2>3,0.07586141385861415,0.22758424157584245,ns,att,judgment
3>1,0.0001229877012298769,0.0003689631036896307,***,pos,RT
2>1,0.002410758924107588,0.007232276772322764,**,pos,RT
3>2,0.005174482551744825,0.015523447655234477,*,pos,RT
RT_confidence>RT_correct,0.00012798720127987187,0.0003839616038396156,***,pos,RT
RT_confidence>RT_awareness,0.0025587441255874397,0.007676232376762319,**,pos,RT
RT_awareness>RT_correct,0.31681231876812327,0.9504369563043698,ns,pos,RT
