model,ps_mean,ps_std,window,ps_corrected
DecisionTreeClassifier,6.363872722545549e-05,2.991178047287844e-05,0,0.0007000259994800104
DecisionTreeClassifier,0.0011887762244755106,0.00015033314999932793,1,0.013076538469230617
DecisionTreeClassifier,0.0027522649547009055,0.00023641231344066201,4,0.030274914501709962
DecisionTreeClassifier,0.0031790564188716227,0.00023731197377830997,2,0.03496962060758785
DecisionTreeClassifier,0.023298134037319253,0.0006549901368304881,10,0.2562794744105118
DecisionTreeClassifier,0.05321297574048519,0.001026694070280822,3,0.5853427331453371
DecisionTreeClassifier,0.060000359992800144,0.0010924527576977902,7,0.6600039599208016
DecisionTreeClassifier,0.08227087458250835,0.0011700108085144977,8,0.904979620407592
DecisionTreeClassifier,0.08288134237315253,0.0012099410072911702,9,0.9116947661046779
DecisionTreeClassifier,0.09424131517369652,0.001315648175654397,6,1.0
DecisionTreeClassifier,0.11218007639847204,0.0014234290887763636,5,1.0
LogisticRegression,1.9999600007999844e-05,3.3881317890172014e-21,0,0.0002199956000879983
LogisticRegression,8.011839763204737e-05,3.567540735721601e-05,1,0.0008813023739525211
LogisticRegression,0.0006775064498710026,0.00011686446552483344,2,0.007452570948581028
LogisticRegression,0.006166316673666527,0.00034593314319756875,3,0.06782948341033179
LogisticRegression,0.010343393132137358,0.00041957025438137276,4,0.11377732445351094
LogisticRegression,0.013795324093518128,0.0005448970208862406,9,0.1517485650286994
LogisticRegression,0.041643407131857366,0.0009096734149353406,7,0.458077478450431
LogisticRegression,0.04788768224635507,0.0009658198784998002,6,0.5267645047099058
LogisticRegression,0.09100225995480091,0.0012875751779773104,10,1.0
LogisticRegression,0.1572630147397052,0.0016963241885379367,8,1.0
LogisticRegression,0.18806007879842407,0.0017317481615791062,5,1.0
