model,ps_mean,ps_std,window,ps_corrected
LogisticRegression,0.00010668933106689328,2.5787147921990912e-05,1,0.00042675732426757313
LogisticRegression,0.00026137386261373865,0.00012460712041387957,2,0.0010454954504549546
LogisticRegression,0.035540145985401464,0.0017487048595126555,3,0.14216058394160586
LogisticRegression,0.0002288771122887711,0.00011407097541614889,4,0.0009155084491550844
RandomForestClassifier,0.00010488951104889507,2.2042976581617928e-05,1,0.0004195580441955803
RandomForestClassifier,0.0002618738126187381,0.0001241583939348848,2,0.0010474952504749525
RandomForestClassifier,0.03704019598040196,0.0019476765807630663,3,0.14816078392160784
RandomForestClassifier,0.0012137786221377862,0.00032658147198191915,4,0.004855114488551145
