df,level1,level2,model,pval,t,p_corrected
382,1,4,LogisticRegression,0.00613361094489911,2.870024146154508,0.03680166566939466
382,1,3,LogisticRegression,0.008690842041405838,2.738506004852194,0.05214505224843503
382,1,2,LogisticRegression,0.023816817362544786,2.335847864804361,0.1429009041752687
382,2,4,LogisticRegression,0.08009702107270968,1.7887756250250955,0.4805821264362581
382,2,3,LogisticRegression,0.13279876986217543,1.5296817371468023,0.7967926191730526
382,3,4,LogisticRegression,0.33603160974806456,0.9719897634102493,1.0
382,confidence,correct,LogisticRegression,0.028600698098587105,2.2403898555200823,0.08580209429576131
382,awareness,confidence,LogisticRegression,0.05679605553385303,-1.940507651359877,0.1703881666015591
382,awareness,correct,LogisticRegression,0.6197440121210614,0.4986765100386011,1.0
30,window 1_confidence,window 1_correct,LogisticRegression,0.012679245272513497,2.82958332667474,0.15215094327016196
30,window 4_awareness,window 4_confidence,LogisticRegression,0.13675343997112094,-1.572209976521772,1.0
30,window 1_awareness,window 1_correct,LogisticRegression,0.28815355145600097,1.101232039225481,1.0
30,window 1_awareness,window 1_confidence,LogisticRegression,0.31900505521114286,-1.030722392238538,1.0
30,window 3_awareness,window 3_confidence,LogisticRegression,0.3369352923415788,-0.9919911626212753,1.0
30,window 3_confidence,window 3_correct,LogisticRegression,0.42260528166325717,0.8244420702617636,1.0
30,window 4_awareness,window 4_correct,LogisticRegression,0.46189383128754724,-0.75507876440578,1.0
30,window 4_confidence,window 4_correct,LogisticRegression,0.6124991517537214,0.5172874620841085,1.0
30,window 2_awareness,window 2_correct,LogisticRegression,0.6981938452939376,-0.3952895135541421,1.0
30,window 2_awareness,window 2_confidence,LogisticRegression,0.6983750904693462,-0.3950385899890642,1.0
30,window 3_awareness,window 3_correct,LogisticRegression,0.8779574130816036,-0.1562010138701119,1.0
30,window 2_confidence,window 2_correct,LogisticRegression,0.9495898517668,-0.06428798249804783,1.0
382,1,2,RandomForestClassifier,0.9999999999999869,1.6486495113570087e-14,1.0
382,1,3,RandomForestClassifier,0.9999999999999911,1.1087011175345593e-14,1.0
382,1,4,RandomForestClassifier,0.9999999999999923,9.685184610686554e-15,1.0
382,2,3,RandomForestClassifier,0.9999999999999929,-8.99594230882351e-15,1.0
382,2,4,RandomForestClassifier,0.9999999999999938,-7.766888335797015e-15,1.0
382,3,4,RandomForestClassifier,1.0,0.0,1.0
382,awareness,correct,RandomForestClassifier,0.000815021987086244,3.517160826196067,0.002445065961258732
382,confidence,correct,RandomForestClassifier,0.0017708630616180164,3.2652213558262693,0.005312589184854049
382,awareness,confidence,RandomForestClassifier,0.2518176718324305,1.1565632955077085,0.7554530154972914
30,window 1_awareness,window 1_correct,RandomForestClassifier,0.0022608281151779044,3.6729804890001243,0.02712993738213485
30,window 1_confidence,window 1_correct,RandomForestClassifier,0.0038860269087095376,3.408916758275486,0.04663232290451445
30,window 2_awareness,window 2_correct,RandomForestClassifier,0.017887860086024325,2.6584173018759385,0.2146543210322919
30,window 1_awareness,window 1_confidence,RandomForestClassifier,0.08478049960117852,1.8456059766090709,1.0
30,window 2_confidence,window 2_correct,RandomForestClassifier,0.14462084781411902,1.5390399343759422,1.0
30,window 4_confidence,window 4_correct,RandomForestClassifier,0.3007968249990396,1.071697334380761,1.0
30,window 2_awareness,window 2_confidence,RandomForestClassifier,0.45071402096329893,0.7744260320293954,1.0
30,window 3_confidence,window 3_correct,RandomForestClassifier,0.49563658029460544,0.6983611505370511,1.0
30,window 4_awareness,window 4_confidence,RandomForestClassifier,0.5290684887428168,-0.6443675932489455,1.0
30,window 3_awareness,window 3_correct,RandomForestClassifier,0.7400084134997165,0.3380526731455154,1.0
30,window 4_awareness,window 4_correct,RandomForestClassifier,0.7631981569621489,0.3068204469367513,1.0
30,window 3_awareness,window 3_confidence,RandomForestClassifier,0.8351197939230117,-0.2117924650765699,1.0
