ps_mean,ps_std,level1,level2,p_corrected
0.00013738626137386258,5.9502368509354624e-05,1,4,0.0008243175682431755
0.0001561843815618438,7.225313726493762e-05,2,4,0.0009371062893710628
0.00016978302169783023,8.382454663647572e-05,1,2,0.0010186981301869814
0.00020317968203179682,9.812152840663605e-05,1,3,0.0012190780921907808
0.016816518348165187,0.001327771120013088,3,4,0.10089911008899112
0.03816798320167983,0.0018513182465141513,2,3,0.22900789921007897
9.999000099989999e-05,2.710505431213761e-20,confidence,RT_awareness,0.0014998500149985
9.999000099989999e-05,2.710505431213761e-20,confidence,RT_confidence,0.0014998500149985
9.999000099989999e-05,2.710505431213761e-20,confidence,RT_correct,0.0014998500149985
9.999000099989999e-05,2.710505431213761e-20,confidence,correct,0.0014998500149985
0.0013644635536446356,0.00036323608106915455,awareness,RT_confidence,0.020466953304669532
0.0014962503749625037,0.00039506432802087667,awareness,RT_awareness,0.022443755624437556
0.0019194080591940805,0.00042088051766097056,awareness,RT_correct,0.028791120887911206
0.002454954504549545,0.0004745818287348219,awareness,correct,0.03682431756824318
0.012870112988701131,0.0010832946611149556,correct,RT_correct,0.19305169483051696
0.032478552144785525,0.0017897620172391212,correct,RT_awareness,0.4871782821717829
0.10284131586841316,0.0030939396974900835,correct,RT_confidence,1.0
0.1560997900209979,0.003690173333053694,RT_confidence,RT_awareness,1.0
0.24832016798320167,0.00432976736504908,RT_correct,RT_awareness,1.0
0.6449219078092192,0.004725626784563412,RT_confidence,RT_correct,1.0
0.7398176182381762,0.004661247019625991,awareness,confidence,1.0
9.999000099989999e-05,2.710505431213761e-20,1_confidence,1_correct,0.005999400059994
9.999000099989999e-05,2.710505431213761e-20,1_confidence,1_RT_awareness,0.005999400059994
9.999000099989999e-05,2.710505431213761e-20,1_confidence,1_RT_correct,0.005999400059994
9.999000099989999e-05,2.710505431213761e-20,1_confidence,1_RT_confidence,0.005999400059994
0.00010438956104389559,2.05074592433465e-05,2_confidence,2_RT_awareness,0.006263373662633735
0.00010898910108989098,2.9980330668063092e-05,2_confidence,2_RT_correct,0.0065393460653934594
0.00017898210178982099,8.377109531659429e-05,2_confidence,2_correct,0.01073892610738926
0.0002337766223377662,0.00010805195434734206,2_confidence,2_RT_confidence,0.014026597340265972
0.0003241675832416758,0.0001520188732405893,2_RT_confidence,2_RT_awareness,0.01945005499450055
0.0008349165083491651,0.00026844103107006895,1_awareness,1_RT_awareness,0.050094990500949906
0.0009599040095990401,0.00030453481046085524,1_awareness,1_RT_confidence,0.05759424057594241
0.0011184881511848814,0.0003268220867637221,1_awareness,1_RT_correct,0.06710928907109288
0.0012040795920407958,0.00035227480643834635,4_awareness,4_RT_confidence,0.07224477552244775
0.001208879112088791,0.00033171824113444504,2_awareness,2_RT_awareness,0.07253274672532746
0.0013328667133286672,0.0003672383774147121,1_awareness,1_correct,0.07997200279972003
0.001336066393360664,0.00036244073450587936,2_awareness,2_RT_correct,0.08016398360163984
0.0029055094490550945,0.0005319114317407166,2_awareness,2_correct,0.17433056694330568
0.003918208179182082,0.0006158556491346848,2_awareness,2_RT_confidence,0.23509249075092492
0.0041863813618638135,0.0006459274815066346,4_awareness,4_RT_awareness,0.2511828817118288
0.005252074792520748,0.0007054315759037205,4_awareness,4_correct,0.31512448755124484
