df,level1,level2,model,pval,t,p_corrected
358,2,4,LogisticRegression,2.9428765973779992e-05,4.659455938105304,0.00017657259584267994
358,1,4,LogisticRegression,3.150270088859231e-05,4.638475562743786,0.00018901620533155386
358,1,3,LogisticRegression,5.3704276079737514e-05,4.4732155660693,0.0003222256564784251
358,1,2,LogisticRegression,8.496911559397381e-05,4.329623175730239,0.0005098146935638429
358,2,3,LogisticRegression,0.003309148849986636,3.106595446448067,0.019854893099919814
358,3,4,LogisticRegression,0.06016484444293966,1.9292490571135312,0.36098906665763797
358,confidence,correct,LogisticRegression,1.6488907380509182e-06,5.325065333750194,4.9466722141527546e-06
358,awareness,correct,LogisticRegression,0.00011594662336951722,4.129767617496435,0.0003478398701085517
358,awareness,confidence,LogisticRegression,0.6485614146978436,0.45810280232113404,1.0
28,window 1_confidence,window 1_correct,LogisticRegression,6.93902949554056e-05,5.567224216019205,0.0008326835394648672
28,window 2_confidence,window 2_correct,LogisticRegression,0.0019376859378143181,3.803418539413845,0.023252231253771818
28,window 1_awareness,window 1_correct,LogisticRegression,0.007261457390080414,3.1380939666700765,0.08713748868096496
28,window 2_awareness,window 2_correct,LogisticRegression,0.00854391956127607,3.0562061318557068,0.10252703473531283
28,window 4_awareness,window 4_correct,LogisticRegression,0.020878108390965728,2.602435962429263,0.25053730069158875
28,window 4_confidence,window 4_correct,LogisticRegression,0.06117428345583308,2.0356028254478096,0.734091401469997
28,window 3_awareness,window 3_correct,LogisticRegression,0.08433121622807047,1.8579480121044998,1.0
28,window 3_confidence,window 3_correct,LogisticRegression,0.1387532589203119,1.5699223649784153,1.0
28,window 3_awareness,window 3_confidence,LogisticRegression,0.472596788014237,0.7381830148468489,1.0
28,window 4_awareness,window 4_confidence,LogisticRegression,0.8479847420738592,0.19527317591511717,1.0
28,window 2_awareness,window 2_confidence,LogisticRegression,0.8810783760002616,0.15235819900171646,1.0
28,window 1_awareness,window 1_confidence,LogisticRegression,0.8935679749421872,0.13624421120019922,1.0
358,3,4,RandomForestClassifier,0.9999999999999871,1.6318125278460693e-14,1.0
358,2,3,RandomForestClassifier,0.9999999999999905,-1.1968262769853556e-14,1.0
358,1,3,RandomForestClassifier,0.9999999999999942,-7.201997326340159e-15,1.0
358,1,2,RandomForestClassifier,0.9999999999999982,-2.2727322844798986e-15,1.0
358,2,4,RandomForestClassifier,0.9999999999999984,2.0624777143502204e-15,1.0
358,1,4,RandomForestClassifier,0.9999999999999991,-1.0297984276269618e-15,1.0
358,confidence,correct,RandomForestClassifier,2.03249202818311e-07,5.881467624231242,6.09747608454933e-07
358,awareness,correct,RandomForestClassifier,4.0150278623743576e-07,5.702009957425082,1.2045083587123074e-06
358,awareness,confidence,RandomForestClassifier,0.9388131098138193,0.07708958681907807,1.0
28,window 1_confidence,window 1_correct,RandomForestClassifier,1.4280405309520508e-05,6.488777671628688,0.0001713648637142461
28,window 2_awareness,window 2_correct,RandomForestClassifier,0.0009931122498792883,4.143999806787315,0.011917346998551459
28,window 1_awareness,window 1_correct,RandomForestClassifier,0.0017025539029091963,3.8690084077510143,0.020430646834910356
28,window 2_confidence,window 2_correct,RandomForestClassifier,0.0034461948467322044,3.5128331950508156,0.04135433816078645
28,window 4_awareness,window 4_correct,RandomForestClassifier,0.04699017300343002,2.178070203702133,0.5638820760411603
28,window 3_awareness,window 3_correct,RandomForestClassifier,0.07527739819034342,1.9214048244916153,0.9033287782841211
28,window 4_confidence,window 4_correct,RandomForestClassifier,0.09161536515389805,1.8111926629963397,1.0
28,window 3_confidence,window 3_correct,RandomForestClassifier,0.15763714510781718,1.4929652136872196,1.0
28,window 1_awareness,window 1_confidence,RandomForestClassifier,0.46204521521086905,-0.7562340570337764,1.0
28,window 3_awareness,window 3_confidence,RandomForestClassifier,0.6103517047876192,0.5212320486415961,1.0
28,window 2_awareness,window 2_confidence,RandomForestClassifier,0.6634950975684175,0.4444719512656702,1.0
28,window 4_awareness,window 4_confidence,RandomForestClassifier,0.7209089739297734,0.36453069734017673,1.0
