model,ps_mean,ps_std,window,ps_corrected
DecisionTreeClassifier,0.0003103937921241575,6.889158262150272e-05,0,0.0034143317133657324
DecisionTreeClassifier,0.0037918041639167215,0.00026914228220088765,2,0.041709845803083935
DecisionTreeClassifier,0.006842703145937081,0.00035809329107999634,3,0.07526973460530789
DecisionTreeClassifier,0.008497270054598906,0.00040185343956214935,10,0.09346997060058797
DecisionTreeClassifier,0.011099738005239895,0.0004534231738837114,4,0.12209711805763884
DecisionTreeClassifier,0.012461470770584586,0.0004748979052269796,1,0.13707617847643044
DecisionTreeClassifier,0.022400271994560107,0.0006876904570257212,6,0.2464029919401612
DecisionTreeClassifier,0.05110321793564128,0.0010029864319751778,5,0.5621353972920541
DecisionTreeClassifier,0.05879158416831663,0.001022324887721559,7,0.646707425851483
DecisionTreeClassifier,0.13525717485650288,0.0015032168167846594,9,1.0
DecisionTreeClassifier,0.1459814803703926,0.0015636453688571532,8,1.0
LogisticRegression,3.3359332813343735e-05,1.6849303959650185e-05,0,0.00036695266094678106
LogisticRegression,0.00013611727765444693,4.795053314547339e-05,1,0.0014972900541989163
LogisticRegression,0.00014895702085958282,5.2608057316205596e-05,2,0.0016385272294554111
LogisticRegression,0.0019675606487870242,0.00020232202701515645,4,0.021643167136657267
LogisticRegression,0.006391232175356493,0.0003326970436640677,5,0.07030355392892143
LogisticRegression,0.010902181956360873,0.00044885875389945583,6,0.1199240015199696
LogisticRegression,0.010907421851562968,0.00045177855876935095,9,0.11998164036719265
LogisticRegression,0.02122877542449151,0.0006649848657136889,10,0.23351652966940661
LogisticRegression,0.03292706145877082,0.0007964575491268567,3,0.362197676046479
LogisticRegression,0.12053874922501549,0.0014965248644901842,8,1.0
LogisticRegression,0.15357056858862825,0.001607439017492937,7,1.0
