experiment_test,experiment_train,model,ps_mean,ps_std,window,ps_corrected
POS,ATT,LogisticRegression,0.16648270345930816,0.004667015182798548,3,0.6659308138372326
POS,ATT,LogisticRegression,0.41396720655868835,0.0068981493395618146,2,1.0
POS,ATT,LogisticRegression,0.4766146770645871,0.006332160760134943,4,1.0
POS,ATT,LogisticRegression,0.6493041391721656,0.006298648523595484,1,1.0
POS,ATT,RandomForestClassifier,0.13317736452709458,0.004687429393963271,3,0.5327094581083783
POS,ATT,RandomForestClassifier,0.4029294141171766,0.0066768305497684486,2,1.0
POS,ATT,RandomForestClassifier,0.5006818636272745,0.007381969684961394,4,1.0
POS,ATT,RandomForestClassifier,0.7099500099980004,0.006413414192306926,1,1.0
POS,POS,LogisticRegression,0.0005058988202359528,0.0002614128202699571,1,0.002529494101179764
POS,POS,LogisticRegression,0.0016296740651869626,0.0005893734314412916,2,0.008148370325934812
POS,POS,LogisticRegression,0.05368526294741052,0.0033270941878648097,3,0.2684263147370526
POS,POS,LogisticRegression,0.45316736652669465,0.006776154341238602,0,1.0
POS,POS,LogisticRegression,0.46129374125174955,0.007453829750298719,4,1.0
POS,POS,RandomForestClassifier,0.00036392721455708846,0.00019669398324107876,1,0.0018196360727854423
POS,POS,RandomForestClassifier,0.002275544891021796,0.0006030576374172212,2,0.011377724455108979
POS,POS,RandomForestClassifier,0.05384123175364927,0.002983845557354229,3,0.2692061587682464
POS,POS,RandomForestClassifier,0.4602419516096781,0.0067216344771764665,4,1.0
POS,POS,RandomForestClassifier,0.4952949410117977,0.007941481890898276,0,1.0
