,df,model,pval,t,window,ps_corrected
3,15,LogisticRegression,0.05338558799192701,2.0967002813899223,1,0.21354235196770804
1,15,LogisticRegression,0.0063336749146099,3.170605181176756,2,0.0253346996584396
2,15,LogisticRegression,0.00944300771243275,2.9749006846379777,3,0.037772030849731
0,15,LogisticRegression,0.0003727104109790766,4.563961454553547,4,0.0014908416439163065
4,15,RandomForestClassifier,0.009773069264113185,2.9580067238618644,1,0.03909227705645274
6,15,RandomForestClassifier,0.04064335322738051,2.2402281012602043,2,0.16257341290952204
7,15,RandomForestClassifier,0.11905266011877348,1.653241079323993,3,0.4762106404750939
5,15,RandomForestClassifier,0.028904582196557,2.4160235865196005,4,0.115618328786228
