df,level1,level2,model,pval,t,p_corrected
766,1,4,LogisticRegression,0.011779457648927382,2.56825982818111,0.07067674589356429
766,1,2,LogisticRegression,0.03411952931297757,2.1496919695599424,0.20471717587786542
766,1,3,LogisticRegression,0.047617769548444606,2.006756836963292,0.28570661729066765
766,3,4,LogisticRegression,0.16743071623092187,1.3911458733146809,1.0
766,2,4,LogisticRegression,0.2902836417083027,1.0634278445768892,1.0
766,2,3,LogisticRegression,0.9613839464304752,0.04854483499749168,1.0
766,RT_awareness,confidence,LogisticRegression,0.012748941485792286,-2.5638720210916524,0.1912341222868843
766,RT_confidence,confidence,LogisticRegression,0.01937030110456898,-2.399842470620992,0.2905545165685347
766,confidence,correct,LogisticRegression,0.030683688611161424,2.2108590490307205,0.46025532916742135
766,RT_correct,confidence,LogisticRegression,0.05324728914774616,-1.9699195749549574,0.7987093372161924
766,awareness,confidence,LogisticRegression,0.08968728963183109,-1.723586584452034,1.0
766,RT_confidence,awareness,LogisticRegression,0.3278023515525137,-0.9862105609042929,1.0
766,RT_confidence,correct,LogisticRegression,0.3429858138902939,-0.9554825884065431,1.0
766,RT_awareness,awareness,LogisticRegression,0.41064070818628773,-0.8282766470851487,1.0
766,RT_confidence,RT_correct,LogisticRegression,0.47035566636506165,-0.7262821163398611,1.0
766,RT_awareness,correct,LogisticRegression,0.4946587777737932,-0.6869123617228209,1.0
766,awareness,correct,LogisticRegression,0.6272865611630039,0.4879395401464101,1.0
766,RT_awareness,RT_correct,LogisticRegression,0.6353619789823566,-0.4765067460485393,1.0
766,RT_correct,awareness,LogisticRegression,0.6469461657563993,-0.46021534378267565,1.0
766,RT_awareness,RT_confidence,LogisticRegression,0.6626729218990678,0.43829332394092474,1.0
766,RT_correct,correct,LogisticRegression,0.9844320637181355,-0.019590364726815253,1.0
30,window 1_RT_awareness,window 1_confidence,LogisticRegression,0.005519115674250176,-3.2378399138491116,0.3311469404550106
30,window 1_RT_confidence,window 1_confidence,LogisticRegression,0.006700238404331192,-3.14310026305143,0.4020143042598715
30,window 1_confidence,window 1_correct,LogisticRegression,0.008489564222834999,3.0271713502501885,0.5093738533700999
30,window 1_RT_correct,window 1_confidence,LogisticRegression,0.06137013693153078,-2.022153422342695,1.0
30,window 2_RT_awareness,window 2_RT_confidence,LogisticRegression,0.08421960075166163,-1.849291131387839,1.0
30,window 1_RT_confidence,window 1_RT_correct,LogisticRegression,0.10514276651607132,-1.7245768414706009,1.0
