,model,ps_mean,ps_std,window,ps_corrected
3,LogisticRegression,0.020187481251874813,0.001436254560981075,1,0.08074992500749925
1,LogisticRegression,0.0021335866413358666,0.00044208423445260406,2,0.008534346565343466
2,LogisticRegression,0.002917708229177082,0.0005294902503458949,3,0.011670832916708328
0,LogisticRegression,9.999000099989996e-05,5.421010862427522e-20,4,0.00039996000399959984
4,RandomForestClassifier,0.0023574642535746423,0.00046363532685415746,1,0.009429857014298569
6,RandomForestClassifier,0.013285171482851714,0.0011286155158714312,2,0.053140685931406854
7,RandomForestClassifier,0.05062403759624037,0.0020828191278924684,3,0.2024961503849615
5,RandomForestClassifier,0.007798820117988201,0.0008679223321427914,4,0.031195280471952806
