Model,level1,level2,mean1,mean2,p_corrected,ps_mean,ps_std
LogisticRegression,1,4,1.2686184481668408,0.9948855388293133,0.024489955100448997,0.004081659183408166,0.00020656053991651037
LogisticRegression,1,3,1.2686184481668408,1.0340489567791777,0.036006539934600644,0.006001089989100108,0.00026198054282148566
LogisticRegression,1,2,1.2686184481668408,1.096848081713863,0.11045439545604543,0.018409065909340907,0.0004236429487376043
LogisticRegression,2,4,1.096848081713863,0.9948855388293133,0.42405265947340526,0.07067544324556754,0.0007513450519274134
LogisticRegression,2,3,1.096848081713863,1.0340489567791777,0.7321741782582174,0.1220290297097029,0.0009680210204909659
LogisticRegression,3,4,1.0340489567791777,0.9948855388293133,1.0,0.3256616433835661,0.0014377282944076448
LogisticRegression,confidence,correct,1.1775803453676277,1.0420274809319325,0.07134663653363467,0.023782212177878223,0.0004913437382347271
LogisticRegression,confidence,awareness,1.1775803453676277,1.0761929428173362,0.1515748342516575,0.0505249447505525,0.0006883242852363909
LogisticRegression,awareness,correct,1.0761929428173362,1.0420274809319325,1.0,0.6149178508214918,0.0017293779762496255
LogisticRegression,1_confidence,1_correct,,,0.03402445975540245,0.0028353716462835373,0.00016063724322504214
LogisticRegression,4_confidence,4_awareness,,,1.0,0.10460680393196067,0.0009452671616059189
LogisticRegression,1_awareness,1_correct,,,1.0,0.2569363806361936,0.001303729420977362
LogisticRegression,1_confidence,1_awareness,,,1.0,0.2887012129878701,0.0013730915782284234
LogisticRegression,3_confidence,3_awareness,,,1.0,0.30681348186518137,0.001505370809617317
LogisticRegression,3_confidence,3_correct,,,1.0,0.3958147418525815,0.0016654707544312925
LogisticRegression,4_correct,4_awareness,,,1.0,0.43836731632683673,0.0014973343880277388
LogisticRegression,4_confidence,4_correct,,,1.0,0.5970206797932022,0.0016750684046140363
LogisticRegression,2_correct,2_awareness,,,1.0,0.6841332586674134,0.0014573968264262856
LogisticRegression,2_confidence,2_awareness,,,1.0,0.6852446475535245,0.0014695793808137433
LogisticRegression,3_correct,3_awareness,,,1.0,0.8719152308476916,0.0010072187486372573
LogisticRegression,2_correct,2_confidence,,,1.0,0.9475696243037569,0.0007588363942833466
RandomForestClassifier,1,2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,1,3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,1,4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,2,3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,2,4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,3,4,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0
RandomForestClassifier,awareness,correct,0.33547456355762306,0.330721420974986,0.0016816331836681632,0.0005605443945560544,7.1141382314152e-05
RandomForestClassifier,confidence,correct,0.33380401546739086,0.330721420974986,0.002901420985790142,0.000967140328596714,0.0001032964863664349
RandomForestClassifier,awareness,confidence,0.33547456355762306,0.33380401546739086,0.7295459045409545,0.24318196818031818,0.0013106488026250764
RandomForestClassifier,1_awareness,1_correct,,,0.002286577134228658,0.00019054809451905482,4.408127308316936e-05
RandomForestClassifier,1_confidence,1_correct,,,0.0037547624523754765,0.0003128968710312897,5.412514581115569e-05
RandomForestClassifier,2_awareness,2_correct,,,0.07149468505314946,0.005957890421095788,0.00024304961639914606
RandomForestClassifier,1_awareness,1_confidence,,,0.6634481655183448,0.05528734712652874,0.000669860892785073
RandomForestClassifier,2_confidence,2_correct,,,1.0,0.11238122618773812,0.0009614808830641332
RandomForestClassifier,4_confidence,4_correct,,,1.0,0.2702743972560275,0.0013526788218262032
RandomForestClassifier,2_awareness,2_confidence,,,1.0,0.4272716772832271,0.0015906173317228357
RandomForestClassifier,3_confidence,3_correct,,,1.0,0.47245147548524513,0.0016052345698314117
RandomForestClassifier,4_confidence,4_awareness,,,1.0,0.5046959530404697,0.001602641142168312
RandomForestClassifier,3_awareness,3_correct,,,1.0,0.729431055689443,0.0013719329915521067
RandomForestClassifier,4_awareness,4_correct,,,1.0,0.7532466175338247,0.0012699283534823005
RandomForestClassifier,3_confidence,3_awareness,,,1.0,0.8273169268307318,0.0012077954232644033
