ps_mean,ps_std,level1,level2,p_corrected
0.00010358964103589638,1.8627146920819948e-05,2,1,0.0006215378462153783
0.00033556644335566444,0.00015699589233951505,3,1,0.0020133986601339865
0.002273372662733727,0.00048068370715488877,4,1,0.013640235976402362
0.020318368163183685,0.001420316992700941,3,2,0.12191020897910211
0.08021757824217579,0.002682220294255407,4,2,0.48130546945305475
0.9482119788021198,0.0023926906839390094,3,4,1.0
0.0009819018098190181,0.0003171370111126698,RT_confidence,RT_correct,0.0029457054294570544
0.0918016198380162,0.0028612455212627505,RT_confidence,RT_awareness,0.2754048595140486
0.933014698530147,0.0025757812414591297,RT_awareness,RT_correct,1.0
0.0003431656834316569,0.0001587725354219424,1_RT_confidence,1_RT_correct,0.004117988201179883
0.0004695530446955304,0.0001910720752159487,2_RT_confidence,2_RT_awareness,0.005634636536346365
0.000825917408259174,0.0002659884383251215,2_RT_confidence,2_RT_correct,0.009911008899110087
0.0049491050894910505,0.0006746323514972985,1_RT_confidence,1_RT_awareness,0.059389261073892606
0.14276272372762724,0.003398655721362333,4_RT_correct,4_RT_confidence,1.0
0.3097868213178682,0.0047482916590918575,4_RT_correct,4_RT_awareness,1.0
0.4123925607439256,0.004718498118306211,3_RT_awareness,3_RT_correct,1.0
0.4435078492150785,0.004847893822071317,3_RT_confidence,3_RT_correct,1.0
0.50004899510049,0.004863037007644624,1_RT_awareness,1_RT_correct,1.0
0.8651644835516447,0.0033438634247925014,3_RT_awareness,3_RT_confidence,1.0
0.8746461353864613,0.0032932266644089296,2_RT_correct,2_RT_awareness,1.0
0.8860591940805921,0.003288527355735696,4_RT_awareness,4_RT_confidence,1.0
0.11683491650834917,0.0031917347797001403,1,3,0.701009499050095
0.21732986701329868,0.004330273316903623,1,4,1.0
0.42806439356064396,0.004829985732305792,2,4,1.0
0.567918608139186,0.004932097878068554,2,3,1.0
0.6613618638136187,0.004455774345325116,1,2,1.0
1.0,0.0,3,4,1.0
0.16750364963503647,0.003672351626933887,RT_correct,RT_confidence,0.5025109489051094
0.3069425057494251,0.004762590165042687,RT_awareness,RT_confidence,0.9208275172482754
0.515990800919908,0.004726979283847844,RT_correct,RT_awareness,1.0
0.03241695830416958,0.0016469090657904306,1_RT_correct,1_RT_confidence,0.389003499650035
0.03973102689731026,0.0019903071863025573,1_RT_awareness,1_RT_confidence,0.4767723227677232
0.2421133886611339,0.004354178943906204,4_RT_correct,4_RT_awareness,1.0
0.27022657734226574,0.004332003416621131,2_RT_correct,2_RT_confidence,1.0
0.322035196480352,0.004426379838691696,2_RT_awareness,2_RT_confidence,1.0
0.39264073592640736,0.004624115407028253,1_RT_correct,1_RT_awareness,1.0
0.4835774422557744,0.00526999046700917,4_RT_correct,4_RT_confidence,1.0
0.4931154884511549,0.005085318928806115,3_RT_awareness,3_RT_correct,1.0
0.6305375462453755,0.004786075438949261,4_RT_confidence,4_RT_awareness,1.0
0.6694392560743927,0.0046847574056871335,3_RT_confidence,3_RT_correct,1.0
0.7039040095990401,0.004604991122607374,3_RT_awareness,3_RT_confidence,1.0
0.9418608139186081,0.002320982023760525,2_RT_correct,2_RT_awareness,1.0
