ps_mean,ps_std,level1,level2,p_corrected
0.0011876812318768123,0.0003410101189948322,1,2,0.007126087391260874
0.00893130686931307,0.000932785684641662,1,4,0.053587841215878416
0.029650234976502345,0.0017323537514276604,1,3,0.17790140985901406
0.08075992400759924,0.0027301950722308952,3,4,0.4845595440455954
0.3012056794320568,0.00455886186540744,2,4,1.0
0.9554198580141986,0.001970159002691296,2,3,1.0
0.049375862413758624,0.0021435933186094228,confidence,RT_awareness,0.7406379362063794
0.06604319568043195,0.0023293292491170267,confidence,correct,0.9906479352064792
0.06943325667433257,0.002577121569206224,confidence,RT_confidence,1.0
0.08771722827717228,0.0029677874518655284,confidence,awareness,1.0
0.17784901509849016,0.004035170513988051,confidence,RT_correct,1.0
0.45531066893310673,0.005125337791776573,awareness,RT_confidence,1.0
0.49624997500249973,0.004900758728258629,correct,RT_confidence,1.0
0.5357002299770023,0.0048653007196955336,awareness,RT_awareness,1.0
0.5481997800219979,0.004948476645484303,RT_correct,RT_confidence,1.0
0.634919508049195,0.004937936220056429,correct,RT_awareness,1.0
0.6385623437656234,0.004997237120100398,awareness,correct,1.0
0.7067397260273973,0.004416223617386459,RT_awareness,RT_confidence,1.0
0.7366073392660734,0.004557817904595646,awareness,RT_correct,1.0
0.7417460253974603,0.004487719224042097,RT_correct,RT_awareness,1.0
0.9885237476252374,0.0010772173174277496,correct,RT_correct,1.0
0.0010634936506349365,0.0003218917770006508,1_confidence,1_RT_awareness,0.06380961903809619
0.0011636836316368364,0.0003273654308311403,1_confidence,1_RT_confidence,0.06982101789821019
0.0014776522347765223,0.0003907641477275058,1_confidence,1_correct,0.08865913408659135
0.036244575542445756,0.0018635885095277364,1_confidence,1_RT_correct,1.0
0.054964503549645036,0.0022823273525681984,2_RT_confidence,2_RT_awareness,1.0
0.07320607939206078,0.0026253955569983814,1_RT_correct,1_RT_confidence,1.0
0.08602259774022597,0.00275708291183787,1_awareness,1_RT_confidence,1.0
0.1307277272272773,0.0035436850443689586,2_correct,2_RT_awareness,1.0
