,model,ps_mean,ps_std,window,ps_corrected
0,LogisticRegression,9.999000099989996e-05,5.421010862427522e-20,1,0.00039996000399959984
1,LogisticRegression,0.00029087091290870917,0.00013864827852785912,2,0.0011634836516348367
2,LogisticRegression,0.035372762723727635,0.0018614820042907715,3,0.14149105089491054
3,LogisticRegression,0.0435991400859914,0.0019761570462930598,4,0.1743965603439656
4,RandomForestClassifier,0.00010008999100089988,3.160380087847038e-06,1,0.00040035996400359953
5,RandomForestClassifier,0.0001664833516648335,8.535978367242592e-05,2,0.000665933406659334
6,RandomForestClassifier,0.001968603139686031,0.00043230681268637114,3,0.007874412558744125
7,RandomForestClassifier,0.0056835316468353166,0.0007266990893112521,4,0.022734126587341266
