df,model,pval,t,window,ps_corrected
15,LogisticRegression,0.0006420538422475062,4.292001149730223,1,0.0025682153689900247
15,LogisticRegression,0.0011506542875729196,4.003687693624605,2,0.004602617150291678
15,LogisticRegression,0.08603222980364228,1.8374596882956524,3,0.3441289192145691
15,LogisticRegression,0.0014341236374004343,3.8955721098720675,4,0.005736494549601737
15,RandomForestClassifier,0.0006458476434433877,4.289073531761404,1,0.002583390573773551
15,RandomForestClassifier,0.0016904395788627723,3.8150432022500715,2,0.006761758315451089
15,RandomForestClassifier,0.08921307094118866,1.8172234948439665,3,0.35685228376475464
15,RandomForestClassifier,0.0072256643068931755,3.1061643402398182,4,0.028902657227572702
