fold,model,score,test,train,window
1,RandomForestClassifier,0.5896796652434428,ATT,POS,0
2,RandomForestClassifier,0.5948451157941884,ATT,POS,0
3,RandomForestClassifier,0.5889276285883038,ATT,POS,0
4,RandomForestClassifier,0.5883926913733872,ATT,POS,0
5,RandomForestClassifier,0.5944764542504444,ATT,POS,0
6,RandomForestClassifier,0.5917314493704613,ATT,POS,0
7,RandomForestClassifier,0.5906589488692229,ATT,POS,0
8,RandomForestClassifier,0.5981444899023558,ATT,POS,0
9,RandomForestClassifier,0.5959739581026617,ATT,POS,0
10,RandomForestClassifier,0.5904021542713389,ATT,POS,0
11,RandomForestClassifier,0.5901777037277912,ATT,POS,0
12,RandomForestClassifier,0.5895973250089656,ATT,POS,0
13,RandomForestClassifier,0.5966304790395608,ATT,POS,0
14,RandomForestClassifier,0.5908786139058946,ATT,POS,0
15,RandomForestClassifier,0.5917874297716235,ATT,POS,0
16,RandomForestClassifier,0.5928327674378719,ATT,POS,0
17,RandomForestClassifier,0.5924804510595515,ATT,POS,0
18,RandomForestClassifier,0.5935346000603811,ATT,POS,0
19,RandomForestClassifier,0.5922986654307197,ATT,POS,0
20,RandomForestClassifier,0.6000063262253673,ATT,POS,0
21,RandomForestClassifier,0.5979813007121851,ATT,POS,0
22,RandomForestClassifier,0.588340037658071,ATT,POS,0
23,RandomForestClassifier,0.5943077122988778,ATT,POS,0
24,RandomForestClassifier,0.5902083596301834,ATT,POS,0
25,RandomForestClassifier,0.6005510093348245,ATT,POS,0
26,RandomForestClassifier,0.5921466627586172,ATT,POS,0
27,RandomForestClassifier,0.5969169851659131,ATT,POS,0
28,RandomForestClassifier,0.5887752354124035,ATT,POS,0
29,RandomForestClassifier,0.5971525447629789,ATT,POS,0
30,RandomForestClassifier,0.5912206930077056,ATT,POS,0
31,RandomForestClassifier,0.5980905503563465,ATT,POS,0
32,RandomForestClassifier,0.5947702984336379,ATT,POS,0
33,RandomForestClassifier,0.5982133018168959,ATT,POS,0
34,RandomForestClassifier,0.5944013826541635,ATT,POS,0
35,RandomForestClassifier,0.5905399224831266,ATT,POS,0
36,RandomForestClassifier,0.6022404446609682,ATT,POS,0
37,RandomForestClassifier,0.5926493295242806,ATT,POS,0
38,RandomForestClassifier,0.5944669740471555,ATT,POS,0
39,RandomForestClassifier,0.5969923289569452,ATT,POS,0
40,RandomForestClassifier,0.594208771602089,ATT,POS,0
41,RandomForestClassifier,0.5907005756933263,ATT,POS,0
42,RandomForestClassifier,0.5947551626489871,ATT,POS,0
43,RandomForestClassifier,0.5917309889720537,ATT,POS,0
44,RandomForestClassifier,0.5949359901523448,ATT,POS,0
45,RandomForestClassifier,0.5891499069501769,ATT,POS,0
46,RandomForestClassifier,0.5983876769727348,ATT,POS,0
47,RandomForestClassifier,0.5932511368162625,ATT,POS,0
48,RandomForestClassifier,0.5926075087942673,ATT,POS,0
49,RandomForestClassifier,0.596366107360287,ATT,POS,0
50,RandomForestClassifier,0.5937713998266888,ATT,POS,0
51,RandomForestClassifier,0.5863438000349899,ATT,POS,0
52,RandomForestClassifier,0.6019474967090108,ATT,POS,0
53,RandomForestClassifier,0.5970223114266692,ATT,POS,0
54,RandomForestClassifier,0.5953351086597567,ATT,POS,0
55,RandomForestClassifier,0.591304508038731,ATT,POS,0
56,RandomForestClassifier,0.5877517908488071,ATT,POS,0
57,RandomForestClassifier,0.5904739966786555,ATT,POS,0
58,RandomForestClassifier,0.5987136121747103,ATT,POS,0
59,RandomForestClassifier,0.5911224009671215,ATT,POS,0
60,RandomForestClassifier,0.5962081786757485,ATT,POS,0
61,RandomForestClassifier,0.5948053677043282,ATT,POS,0
62,RandomForestClassifier,0.5961223927421286,ATT,POS,0
63,RandomForestClassifier,0.5935250823487391,ATT,POS,0
64,RandomForestClassifier,0.591055167770967,ATT,POS,0
65,RandomForestClassifier,0.5934528456474446,ATT,POS,0
66,RandomForestClassifier,0.5954005076129092,ATT,POS,0
67,RandomForestClassifier,0.5968212703756202,ATT,POS,0
68,RandomForestClassifier,0.5970611026055936,ATT,POS,0
69,RandomForestClassifier,0.5942280568082147,ATT,POS,0
70,RandomForestClassifier,0.5889061401619085,ATT,POS,0
71,RandomForestClassifier,0.594405080280219,ATT,POS,0
72,RandomForestClassifier,0.5911728597369237,ATT,POS,0
73,RandomForestClassifier,0.5911371050073191,ATT,POS,0
74,RandomForestClassifier,0.5993155647675737,ATT,POS,0
75,RandomForestClassifier,0.6003377607679241,ATT,POS,0
76,RandomForestClassifier,0.5948363323196111,ATT,POS,0
77,RandomForestClassifier,0.5965964980438936,ATT,POS,0
78,RandomForestClassifier,0.5936584508988554,ATT,POS,0
79,RandomForestClassifier,0.5977752760996664,ATT,POS,0
80,RandomForestClassifier,0.593315401657059,ATT,POS,0
81,RandomForestClassifier,0.5965458100111798,ATT,POS,0
82,RandomForestClassifier,0.6009623412171538,ATT,POS,0
83,RandomForestClassifier,0.582092969241628,ATT,POS,0
84,RandomForestClassifier,0.5927391045240491,ATT,POS,0
85,RandomForestClassifier,0.5937196665615114,ATT,POS,0
86,RandomForestClassifier,0.5950799483698888,ATT,POS,0
87,RandomForestClassifier,0.5962665193447304,ATT,POS,0
88,RandomForestClassifier,0.5932316993721389,ATT,POS,0
89,RandomForestClassifier,0.5910579299348953,ATT,POS,0
90,RandomForestClassifier,0.5893179952372499,ATT,POS,0
91,RandomForestClassifier,0.5941497405848,ATT,POS,0
92,RandomForestClassifier,0.5971867356596021,ATT,POS,0
93,RandomForestClassifier,0.5941872763349042,ATT,POS,0
94,RandomForestClassifier,0.5988653458265523,ATT,POS,0
95,RandomForestClassifier,0.588523183960106,ATT,POS,0
96,RandomForestClassifier,0.5927607568498992,ATT,POS,0
97,RandomForestClassifier,0.5967622328385203,ATT,POS,0
98,RandomForestClassifier,0.593960534088436,ATT,POS,0
99,RandomForestClassifier,0.5974970848440591,ATT,POS,0
100,RandomForestClassifier,0.5980321355966673,ATT,POS,0
