"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","X"
"1",1,"left",0,0,0,0,0,0,0,0,1,2.047048913,2,0,1.999249244,2,1.657822762,0.02875,0,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"2",2,"down",0,0,0,0,0,1,1,7,2,0.811768157,2,1,0.76420642,3,0.740626523,0.02875,0.5,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"3",2,"down",0,0,0,0,0,2,2,5,2,1.258837938,1,0,4.775741882,1,0.999290439,0.02875,0.333333333,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"4",1,"left",0,0,0,0,0,3,3,6,1,0.988329787,2,0,1.222991073,1,0.446447615,0.02875,0.25,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"5",1,"left",0,0,0,0,0,4,4,2,3,0.952905657,2,0,0.764294201,2,1.599315388,0.02875,0.2,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"6",1,"left",0,0,0,0,0,5,5,4,3,0.317822715,2,0,0.411299917,2,0.246359604,0.02875,0.166666667,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"7",2,"down",0,0,0,0,0,6,6,3,3,0.141312676,2,1,1.69354296,2,0.799386074,0.02875,0.285714286,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"8",2,"down",0,0,0,0,0,7,7,9,2,1.035377931,2,1,3.563969412,1,1.611085316,0.02875,0.375,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"9",1,"left",0,0,0,0,0,8,8,8,3,0.458901309,2,0,0.634838079,3,0.740477527,0.02875,0.333333333,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"10",2,"down",0,0,0,0,0,9,9,1,3,0.823563111,2,1,0.740721619,3,1.034455463,0.02875,0.4,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"11",1,"left",0,0,0,0,1,0,10,8,3,0.08255813,2,0,0.834725119,1,1.105182064,0.02875,0.363636364,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"12",2,"down",0,0,0,0,1,1,11,1,2,0.717780057,1,0,3.82283199,1,1.116911567,0.02875,0.333333333,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
"13",1,"left",0,0,0,0,1,2,12,4,3,1.882362317,1,1,1.104763566,2,0.894004039,0.02875,0.384615385,0.02875,"metacognition_realexp","ack",85.01985251,1,"2013_Dec_12_1052",NA
