"","firstgabor","corrAns","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_2.keys","key_resp_2.rt","resp.keys","resp.corr","resp.rt","resp_mrating.keys","resp_mrating.rt","lumi","mean","luminance","expName","participant","frameRate","session","date","blocks.thisTrial","X"
"1",1,"left",0,0,0,0,0,0,0,0,2,0.952978259,2,0,2.434478221,1,0.457777531,0.09,0,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"2",1,"left",0,0,0,0,0,1,1,4,1,0.482468633,1,1,0.552730008,3,0.599049501,0.09,0.5,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"3",2,"down",0,0,0,0,0,2,2,7,2,1.070632135,2,1,0.940657349,3,0.634643157,0.09,0.666666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"4",2,"down",0,0,0,0,0,3,3,5,1,0.482393942,2,1,1.411246671,2,0.822884892,0.09,0.75,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"5",1,"left",0,0,0,0,0,4,4,2,1,0.305962986,1,1,0.62309726,3,0.505094956,0.09,0.8,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"6",1,"left",0,0,0,0,0,5,5,6,1,0.43532061,1,1,0.517174468,3,1.128701962,0.09,0.833333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"7",2,"down",0,0,0,0,0,6,6,3,2,1.270628439,2,1,2.846467951,2,0.822873342,0.09,0.857142857,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"8",1,"left",0,0,0,0,0,7,7,8,1,0.306025357,1,1,0.55241238,2,0.422899599,0.09,0.875,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"9",2,"down",0,0,0,0,0,8,8,9,1,0.682434521,2,1,0.564218924,2,0.669950369,0.09,0.888888889,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"10",2,"down",0,0,0,0,0,9,9,1,1,0.294237293,2,1,0.77532915,3,0.529380262,0.09,0.9,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"11",1,"left",0,0,0,0,1,0,10,8,2,0.282413038,1,1,0.552505551,3,0.399259945,0.09,0.909090909,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"12",2,"down",0,0,0,0,1,1,11,9,2,0.282755307,2,1,1.540348652,3,0.305218388,0.09,0.916666667,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"13",2,"down",0,0,0,0,1,2,12,5,2,1.317608599,2,1,1.705284532,2,0.516996211,0.09,0.923076923,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"14",2,"down",0,0,0,0,1,3,13,3,1,1.152969173,2,1,0.799585966,2,0.540433353,0.09,0.928571429,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"15",2,"down",0,0,0,0,1,4,14,1,1,0.624534867,2,1,0.576013149,2,0.693399831,0.09,0.933333333,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"16",1,"left",0,0,0,0,1,5,15,6,1,0.235513344,1,1,0.681740743,2,0.540494184,0.09,0.9375,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"17",1,"left",0,0,0,0,1,6,16,2,1,0.541276898,1,1,0.423042821,1,0.422893824,0.09,0.941176471,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"18",1,"left",0,0,0,0,1,7,17,4,2,0.600144454,1,1,0.917103935,1,0.434632223,0.09,0.944444444,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"19",1,"left",0,0,0,0,1,8,18,0,1,0.282445763,1,1,0.364356602,1,0.32862088,0.09,0.947368421,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"20",2,"down",0,0,0,0,1,9,19,7,2,0.352938142,2,1,2.23474988,2,0.422869954,0.09,0.95,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"21",2,"down",0,0,0,0,2,0,20,1,1,0.317757596,2,1,1.470115382,3,1.222188342,0.09,0.952380952,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"22",2,"down",0,0,0,0,2,1,21,5,2,0.623656287,2,1,1.811177678,1,0.975797854,0.09,0.954545455,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
"23",1,"left",0,0,0,0,2,2,22,8,2,0.482479798,1,1,0.56426012,2,0.728699729,0.09,0.956521739,0.09,"metacognition_realexp","ah",85.36801247,1,"2013_Dec_04_1036",NA,NA
