,awareness,chance,confidence,correctness,model,score,sub,window
0,0.3100125215561926,False,0.1751524381563348,0.3665887226586564,LogisticRegression,0.5580608974358975,eb,1
1,0.33610343664369047,False,0.3283740584684993,0.3355225048878102,RandomForestClassifier,0.5650160256410257,eb,1
2,0.05323576271249249,True,-0.1309139036009114,0.10283531389698908,LogisticRegression,0.4599519230769231,eb,1
3,0.33287506280069634,True,0.3344713266084539,0.33265361059084986,RandomForestClassifier,0.45752884615384626,eb,1
4,0.19731959637416452,False,-0.05321016783150094,0.1406960136600839,LogisticRegression,0.48320608108108104,eb,2
5,0.33600194356478574,False,0.33122559610379354,0.33277246033142044,RandomForestClassifier,0.48836824324324324,eb,2
6,0.09044999768050703,True,-0.38080718888558496,0.15487334682375692,LogisticRegression,0.5467162162162161,eb,2
7,0.3292542264845216,True,0.34198026232183276,0.3287655111936458,RandomForestClassifier,0.5361216216216217,eb,2
8,-0.025988521772477586,False,0.061349692481878756,-0.26385375332930644,LogisticRegression,0.4591476091476092,eb,3
9,0.3311192258317903,False,0.33104595944194587,0.33783481472626375,RandomForestClassifier,0.4621136521136521,eb,3
10,-0.032545410815898256,True,0.15401510950805022,0.24916133414545957,LogisticRegression,0.4845183645183645,eb,3
11,0.3296501591818066,True,0.33333584482392786,0.33701399599426574,RandomForestClassifier,0.4884753984753985,eb,3
12,-0.07620218951190669,False,-0.2175062257839048,0.3526666131112389,LogisticRegression,0.5114400584795322,eb,4
13,0.32981429707530885,False,0.33239806929873483,0.33778763362595604,RandomForestClassifier,0.501673976608187,eb,4
14,-0.061897770594275585,True,0.13817635074088153,0.18611557153740982,LogisticRegression,0.47880847953216366,eb,4
15,0.3300473076139518,True,0.33457848957781416,0.335374202808234,RandomForestClassifier,0.48086988304093564,eb,4
