awareness,confidence,correct,experiment_test,experiment_train,fold,model,participant,score,sub,window
,,,ATT,POS,50.5,RandomForestClassifier,WT,0.5226507421150275,,1
,,,POS,ATT,50.5,RandomForestClassifier,WT,0.5410480160233863,,1
,,,ATT,POS,50.5,RandomForestClassifier,YS,0.49378974239962836,,1
,,,POS,ATT,50.5,LogisticRegression,AC,0.5103296358813598,,2
,,,ATT,POS,50.5,LogisticRegression,AS,0.5246244272968418,,2
,,,ATT,POS,50.5,LogisticRegression,BG,0.5018660956631884,,2
,,,POS,ATT,50.5,LogisticRegression,CL,0.5210520869265259,,2
,,,ATT,POS,50.5,LogisticRegression,EU,0.5737089462261871,,2
,,,POS,ATT,50.5,LogisticRegression,FW,0.5224050118079241,,2
,,,POS,ATT,50.5,LogisticRegression,HB,0.5705523426712058,,2
,,,ATT,POS,50.5,LogisticRegression,IK,0.47414483933787666,,2
,,,ATT,POS,50.5,LogisticRegression,JD,0.4620673233425363,,2
,,,ATT,POS,50.5,LogisticRegression,JZ,0.5884386337438562,,2
,,,ATT,POS,50.5,LogisticRegression,KK,0.6095415950920234,,2
,,,POS,ATT,50.5,LogisticRegression,KK,0.5250345606725062,,2
,,,ATT,POS,50.5,LogisticRegression,KS,0.45545785646233133,,2
,,,POS,ATT,50.5,LogisticRegression,LM,0.4976678531080311,,2
,,,POS,ATT,50.5,LogisticRegression,MC,0.48907230666509544,,2
,,,POS,ATT,50.5,LogisticRegression,MP1,0.5387060069276185,,2
,,,POS,ATT,50.5,LogisticRegression,MP2,0.6054906555248153,,2
,,,POS,ATT,50.5,LogisticRegression,NN,0.4748531256029325,,2
,,,ATT,POS,50.5,LogisticRegression,OE,0.5208415734130816,,2
,,,ATT,POS,50.5,LogisticRegression,OS,0.519493435234176,,2
,,,ATT,POS,50.5,LogisticRegression,PC,0.4933857668711649,,2
,,,ATT,POS,50.5,LogisticRegression,RL,0.47112502419667096,,2
,,,POS,ATT,50.5,LogisticRegression,RP,0.46688870520737075,,2
,,,POS,ATT,50.5,LogisticRegression,SD,0.5667562118494412,,2
,,,ATT,POS,50.5,LogisticRegression,SO,0.5324198747868522,,2
,,,ATT,POS,50.5,LogisticRegression,SP,0.4459841954022993,,2
,,,POS,ATT,50.5,LogisticRegression,TJ,0.5164661635832519,,2
,,,POS,ATT,50.5,LogisticRegression,TS,0.5198241824910517,,2
,,,ATT,POS,50.5,LogisticRegression,WT,0.49416744141120234,,2
,,,POS,ATT,50.5,LogisticRegression,WT,0.49081125757035954,,2
,,,ATT,POS,50.5,LogisticRegression,YS,0.45641689241486,,2
,,,POS,ATT,50.5,RandomForestClassifier,AC,0.49661056185194113,,2
,,,ATT,POS,50.5,RandomForestClassifier,AS,0.5233533879913197,,2
,,,ATT,POS,50.5,RandomForestClassifier,BG,0.49979890222570733,,2
,,,POS,ATT,50.5,RandomForestClassifier,CL,0.5193475336322868,,2
,,,ATT,POS,50.5,RandomForestClassifier,EU,0.5745282131661438,,2
,,,POS,ATT,50.5,RandomForestClassifier,FW,0.5138890055103643,,2
,,,POS,ATT,50.5,RandomForestClassifier,HB,0.5753601848433889,,2
,,,ATT,POS,50.5,RandomForestClassifier,IK,0.48018549172346586,,2
,,,ATT,POS,50.5,RandomForestClassifier,JD,0.4608760232931044,,2
,,,ATT,POS,50.5,RandomForestClassifier,JZ,0.5874664806163918,,2
,,,ATT,POS,50.5,RandomForestClassifier,KK,0.6082410429447848,,2
,,,POS,ATT,50.5,RandomForestClassifier,KK,0.5334222961892154,,2
,,,ATT,POS,50.5,RandomForestClassifier,KS,0.4534426367901206,,2
,,,POS,ATT,50.5,RandomForestClassifier,LM,0.5042648720222549,,2
,,,POS,ATT,50.5,RandomForestClassifier,MC,0.4776053572129923,,2
,,,POS,ATT,50.5,RandomForestClassifier,MP1,0.5378614117266993,,2
,,,POS,ATT,50.5,RandomForestClassifier,MP2,0.6029080091468583,,2
,,,POS,ATT,50.5,RandomForestClassifier,NN,0.47527300791047644,,2
,,,ATT,POS,50.5,RandomForestClassifier,OE,0.5224377170557594,,2
,,,ATT,POS,50.5,RandomForestClassifier,OS,0.5159243337252595,,2
,,,ATT,POS,50.5,RandomForestClassifier,PC,0.4961125153374229,,2
,,,ATT,POS,50.5,RandomForestClassifier,RL,0.4672975948509489,,2
