window,model,participant,experiment_test,experiment_train,fold,score
1,LogisticRegression,AC,POS,ATT,50.5,0.4853431599407632
1,LogisticRegression,AS,ATT,POS,50.5,0.5352734424712202
1,LogisticRegression,BG,ATT,POS,50.5,0.5874541836356907
1,LogisticRegression,CL,POS,ATT,50.5,0.5709708186480021
1,LogisticRegression,EU,ATT,POS,50.5,0.5779554578585064
1,LogisticRegression,FW,POS,ATT,50.5,0.5408059386274781
1,LogisticRegression,HB,POS,ATT,50.5,0.563504925947673
1,LogisticRegression,IK,ATT,POS,50.5,0.5332751838149207
1,LogisticRegression,JD,ATT,POS,50.5,0.5478249803322695
1,LogisticRegression,JZ,ATT,POS,50.5,0.6766360956054589
1,LogisticRegression,KK,ATT,POS,50.5,0.6304792776651432
1,LogisticRegression,KK,POS,ATT,50.5,0.5427459188432834
1,LogisticRegression,KS,ATT,POS,50.5,0.47800185185185257
1,LogisticRegression,LM,POS,ATT,50.5,0.48371595149253727
1,LogisticRegression,MC,POS,ATT,50.5,0.5619424994028688
1,LogisticRegression,MP1,POS,ATT,50.5,0.5879469546436278
1,LogisticRegression,MP2,POS,ATT,50.5,0.6493474945533773
1,LogisticRegression,NN,POS,ATT,50.5,0.5136466613442549
1,LogisticRegression,OE,ATT,POS,50.5,0.5135452441564459
1,LogisticRegression,OS,ATT,POS,50.5,0.5372468939527765
1,LogisticRegression,PC,ATT,POS,50.5,0.5093830300889123
1,LogisticRegression,RL,ATT,POS,50.5,0.49244907992695564
1,LogisticRegression,RP,POS,ATT,50.5,0.5280780367066742
1,LogisticRegression,SD,POS,ATT,50.5,0.5294599063837726
1,LogisticRegression,SO,ATT,POS,50.5,0.5353299576855414
1,LogisticRegression,SP,ATT,POS,50.5,0.48066396663241256
1,LogisticRegression,TJ,POS,ATT,50.5,0.5646598516268475
1,LogisticRegression,TS,POS,ATT,50.5,0.5677820178704391
1,LogisticRegression,WT,ATT,POS,50.5,0.521294758812616
1,LogisticRegression,WT,POS,ATT,50.5,0.5421455637958111
1,LogisticRegression,YS,ATT,POS,50.5,0.4931487584126241
1,RandomForestClassifier,AC,POS,ATT,50.5,0.4843011847463909
1,RandomForestClassifier,AS,ATT,POS,50.5,0.5357972464857977
1,RandomForestClassifier,BG,ATT,POS,50.5,0.5823016938171056
1,RandomForestClassifier,CL,POS,ATT,50.5,0.5725277698899216
1,RandomForestClassifier,EU,ATT,POS,50.5,0.5782217851564763
1,RandomForestClassifier,FW,POS,ATT,50.5,0.539901190491156
1,RandomForestClassifier,HB,POS,ATT,50.5,0.5641336204084284
1,RandomForestClassifier,IK,ATT,POS,50.5,0.5348522455861
1,RandomForestClassifier,JD,ATT,POS,50.5,0.5479626544495356
1,RandomForestClassifier,JZ,ATT,POS,50.5,0.6789082984698941
1,RandomForestClassifier,KK,ATT,POS,50.5,0.6291279645433552
1,RandomForestClassifier,KK,POS,ATT,50.5,0.5439451958955219
1,RandomForestClassifier,KS,ATT,POS,50.5,0.4780648148148154
1,RandomForestClassifier,LM,POS,ATT,50.5,0.4821522854477612
1,RandomForestClassifier,MC,POS,ATT,50.5,0.5605025959495638
1,RandomForestClassifier,MP1,POS,ATT,50.5,0.5876089848812087
1,RandomForestClassifier,MP2,POS,ATT,50.5,0.6495731209150334
1,RandomForestClassifier,NN,POS,ATT,50.5,0.5132351579946072
1,RandomForestClassifier,OE,ATT,POS,50.5,0.5152568849803296
1,RandomForestClassifier,OS,ATT,POS,50.5,0.5368003297415063
1,RandomForestClassifier,PC,ATT,POS,50.5,0.5096861567449797
1,RandomForestClassifier,RL,ATT,POS,50.5,0.4905265252610384
1,RandomForestClassifier,RP,POS,ATT,50.5,0.5272348573296601
1,RandomForestClassifier,SD,POS,ATT,50.5,0.5185720191499857
1,RandomForestClassifier,SO,ATT,POS,50.5,0.5395033994199587
1,RandomForestClassifier,SP,ATT,POS,50.5,0.4809212355679142
1,RandomForestClassifier,TJ,POS,ATT,50.5,0.5636850283310938
1,RandomForestClassifier,TS,POS,ATT,50.5,0.5665492367833211
1,RandomForestClassifier,WT,ATT,POS,50.5,0.5226507421150275
1,RandomForestClassifier,WT,POS,ATT,50.5,0.5410480160233863
1,RandomForestClassifier,YS,ATT,POS,50.5,0.49378974239962836
2,LogisticRegression,AC,POS,ATT,50.5,0.5103296358813598
2,LogisticRegression,AS,ATT,POS,50.5,0.5246244272968418
2,LogisticRegression,BG,ATT,POS,50.5,0.5018660956631884
2,LogisticRegression,CL,POS,ATT,50.5,0.5210520869265259
2,LogisticRegression,EU,ATT,POS,50.5,0.5737089462261871
2,LogisticRegression,FW,POS,ATT,50.5,0.5224050118079241
